1712599090467861761 ('EPT', 'ASK') 1 5255 -754
[CANCELLED] 1712599090467861806 ('IGM', 'BID')
[CANCELLED] 1712599090467861807 ('IGM', 'ASK')
[CANCELLED] 1712599090467861808 ('BRV', 'BID')
[CANCELLED] 1712599090467861809 ('BRV', 'ASK')
[CANCELLED] 1712599090467861810 ('EPT', 'BID')
[CANCELLED] 1712599090467861811 ('EPT', 'ASK')
[CANCELLED] 1712599090467861812 ('EPT', 'BID')
[CANCELLED] 1712599090467861813 ('EPT', 'ASK')
[CANCELLED] 1712599090467861814 ('EPT', 'BID')
[CANCELLED] 1712599090467861815 ('EPT', 'ASK')
[CANCELLED] 1712599090467861816 ('DLO', 'BID')
[CANCELLED] 1712599090467861817 ('DLO', 'ASK')
[CANCELLED] 1712599090467861818 ('DLO', 'BID')
[CANCELLED] 1712599090467861819 ('DLO', 'ASK')
[CANCELLED] 1712599090467861820 ('DLO', 'BID')
[CANCELLED] 1712599090467861821 ('DLO', 'ASK')
[CANCELLED] 1712599090467861822 ('MKU', 'BID')
[CANCELLED] 1712599090467861823 ('MKU', 'ASK')
[CANCELLED] 1712599090467861824 ('MKU', 'BID')
[CANCELLED] 1712599090467861825 ('MKU', 'ASK')
[CANCELLED] 1712599090467861826 ('MKU', 'BID')
[CANCELLED] 1712599090467861827 ('MKU', 'ASK')
[CANCELLED] 1712599090467861828 ('IGM', 'BID')
[CANCELLED] 1712599090467861829 ('IGM', 'ASK')
[CANCELLED] 1712599090467861830 ('IGM', 'BID')
[CANCELLED] 1712599090467861831 ('IGM', 'ASK')
[CANCELLED] 1712599090467861832 ('IGM', 'BID')
[CANCELLED] 1712599090467861833 ('IGM', 'ASK')
[CANCELLED] 1712599090467861834 ('BRV', 'BID')
[CANCELLED] 1712599090467861835 ('BRV', 'ASK')
[CANCELLED] 1712599090467861836 ('BRV', 'BID')
[CANCELLED] 1712599090467861837 ('BRV', 'ASK')
[CANCELLED] 1712599090467861838 ('BRV', 'BID')
[CANCELLED] 1712599090467861839 ('BRV', 'ASK')
[CANCELLED] 1712599090467861840 ('EPT', 'BID')
[CANCELLED] 1712599090467861841 ('DLO', 'BID')
[CANCELLED] 1712599090467861842 ('MKU', 'BID')
[CANCELLED] 1712599090467861843 ('IGM', 'BID')
[CANCELLED] 1712599090467861844 ('BRV', 'BID')
[CANCELLED] 1712599090467861845 ('EPT', 'BID')
[CANCELLED] 1712599090467861846 ('EPT', 'ASK')
[CANCELLED] 1712599090467861847 ('EPT', 'BID')
[CANCELLED] 1712599090467861848 ('DLO', 'BID')
[CANCELLED] 1712599090467861849 ('DLO', 'ASK')
[CANCELLED] 1712599090467861850 ('DLO', 'BID')
[CANCELLED] 1712599090467861851 ('DLO', 'ASK')
[CANCELLED] 1712599090467861852 ('MKU', 'BID')
[CANCELLED] 1712599090467861853 ('MKU', 'ASK')
[CANCELLED] 1712599090467861854 ('MKU', 'BID')
[CANCELLED] 1712599090467861855 ('IGM', 'BID')
[CANCELLED] 1712599090467861856 ('IGM', 'ASK')
[CANCELLED] 1712599090467861857 ('IGM', 'BID')
[CANCELLED] 1712599090467861858 ('IGM', 'ASK')
[CANCELLED] 1712599090467861859 ('BRV', 'BID')
[CANCELLED] 1712599090467861860 ('BRV', 'ASK')
[CANCELLED] 1712599090467861861 ('BRV', 'BID')
[CANCELLED] 1712599090467861862 ('EPT', 'BID')
[CANCELLED] 1712599090467861863 ('EPT', 'ASK')
[CANCELLED] 1712599090467861864 ('DLO', 'BID')
[CANCELLED] 1712599090467861865 ('DLO', 'ASK')
[CANCELLED] 1712599090467861866 ('MKU', 'BID')
[CANCELLED] 1712599090467861867 ('MKU', 'ASK')
[CANCELLED] 1712599090467861868 ('IGM', 'BID')
[CANCELLED] 1712599090467861869 ('IGM', 'ASK')
[CANCELLED] 1712599090467861870 ('BRV', 'BID')
[CANCELLED] 1712599090467861871 ('BRV', 'ASK')
[CANCELLED] 1712599090467861872 ('EPT', 'BID')
[CANCELLED] 1712599090467861873 ('EPT', 'ASK')
[CANCELLED] 1712599090467861874 ('EPT', 'BID')
[CANCELLED] 1712599090467861875 ('EPT', 'ASK')
[CANCELLED] 1712599090467861876 ('EPT', 'BID')
[CANCELLED] 1712599090467861877 ('EPT', 'ASK')
[CANCELLED] 1712599090467861878 ('DLO', 'BID')
[CANCELLED] 1712599090467861879 ('DLO', 'ASK')
[CANCELLED] 1712599090467861880 ('DLO', 'BID')
[CANCELLED] 1712599090467861881 ('DLO', 'ASK')
[CANCELLED] 1712599090467861882 ('DLO', 'BID')
[CANCELLED] 1712599090467861883 ('MKU', 'BID')
[CANCELLED] 1712599090467861884 ('MKU', 'ASK')
[CANCELLED] 1712599090467861885 ('MKU', 'BID')
[CANCELLED] 1712599090467861886 ('MKU', 'ASK')
[CANCELLED] 1712599090467861887 ('IGM', 'BID')
[CANCELLED] 1712599090467861888 ('IGM', 'ASK')
[CANCELLED] 1712599090467861889 ('IGM', 'BID')
[CANCELLED] 1712599090467861890 ('BRV', 'BID')
[CANCELLED] 1712599090467861891 ('BRV', 'ASK')
[CANCELLED] 1712599090467861892 ('BRV', 'BID')
[CANCELLED] 1712599090467861893 ('BRV', 'ASK')
[CANCELLED] 1712599090467861894 ('EPT', 'BID')
[CANCELLED] 1712599090467861895 ('DLO', 'BID')
[CANCELLED] 1712599090467861896 ('MKU', 'BID')
[CANCELLED] 1712599090467861897 ('IGM', 'BID')
[CANCELLED] 1712599090467861898 ('BRV', 'BID')
[CANCELLED] 1712599090467861899 ('EPT', 'BID')
[CANCELLED] 1712599090467861900 ('EPT', 'ASK')
[CANCELLED] 1712599090467861901 ('EPT', 'BID')
[CANCELLED] 1712599090467861902 ('DLO', 'BID')
[CANCELLED] 1712599090467861903 ('DLO', 'ASK')
[CANCELLED] 1712599090467861904 ('DLO', 'BID')
[CANCELLED] 1712599090467861905 ('DLO', 'ASK')
[CANCELLED] 1712599090467861906 ('MKU', 'BID')
[CANCELLED] 1712599090467861907 ('MKU', 'ASK')
[CANCELLED] 1712599090467861908 ('MKU', 'BID')
[CANCELLED] 1712599090467861909 ('IGM', 'BID')
[CANCELLED] 1712599090467861910 ('IGM', 'ASK')
[CANCELLED] 1712599090467861911 ('IGM', 'BID')
[CANCELLED] 1712599090467861912 ('IGM', 'ASK')
[CANCELLED] 1712599090467861913 ('BRV', 'BID')
[CANCELLED] 1712599090467861914 ('BRV', 'ASK')
[CANCELLED] 1712599090467861915 ('BRV', 'BID')
[CANCELLED] 1712599090467861916 ('EPT', 'BID')
[CANCELLED] 1712599090467861917 ('EPT', 'ASK')
[CANCELLED] 1712599090467861918 ('DLO', 'BID')
[CANCELLED] 1712599090467861919 ('DLO', 'ASK')
[CANCELLED] 1712599090467861920 ('MKU', 'BID')
[CANCELLED] 1712599090467861921 ('MKU', 'ASK')
[CANCELLED] 1712599090467861922 ('IGM', 'BID')
[CANCELLED] 1712599090467861923 ('BRV', 'BID')
[CANCELLED] 1712599090467861924 ('BRV', 'ASK')
[CANCELLED] 1712599090467861925 ('EPT', 'BID')
[CANCELLED] 1712599090467861926 ('EPT', 'ASK')
[CANCELLED] 1712599090467861927 ('EPT', 'BID')
[CANCELLED] 1712599090467861928 ('EPT', 'ASK')
[CANCELLED] 1712599090467861929 ('EPT', 'BID')
[CANCELLED] 1712599090467861930 ('EPT', 'ASK')
[CANCELLED] 1712599090467861931 ('DLO', 'BID')
[CANCELLED] 1712599090467861932 ('DLO', 'ASK')
[CANCELLED] 1712599090467861933 ('MKU', 'BID')
[CANCELLED] 1712599090467861934 ('MKU', 'ASK')
[CANCELLED] 1712599090467861935 ('MKU', 'BID')
[CANCELLED] 1712599090467861936 ('IGM', 'BID')
[CANCELLED] 1712599090467861937 ('IGM', 'ASK')
[CANCELLED] 1712599090467861938 ('IGM', 'BID')
[CANCELLED] 1712599090467861939 ('BRV', 'BID')
[CANCELLED] 1712599090467861940 ('BRV', 'ASK')
[CANCELLED] 1712599090467861941 ('BRV', 'BID')
1712599104382939905 ('EPT', 'ASK') 1 4725 -224
1712599104382939907 ('DLO', 'ASK') 1 4945 -444
1712599104382939909 ('MKU', 'ASK') 1 5062 -561
1712599104382939911 ('IGM', 'ASK') 1 5577 -1076
1712599104382939913 ('BRV', 'ASK') 1 5045 -544
1712599104382939915 ('EPT', 'ASK') 10 4725 -204
1712599104382939917 ('EPT', 'ASK') 10 4725 -184
1712599104382939919 ('EPT', 'ASK') 9 4725 -164
1712599104382939919 ('EPT', 'ASK') 1 4724 -163
1712599104382939921 ('DLO', 'ASK') 10 4945 -424
1712599104382939923 ('DLO', 'ASK') 10 4945 -404
1712599104382939925 ('DLO', 'ASK') 9 4945 -384
1712599104382939925 ('DLO', 'ASK') 1 4944 -383
1712599104382939927 ('MKU', 'ASK') 10 5062 -541
1712599104382939929 ('MKU', 'ASK') 10 5062 -521
1712599104382939931 ('MKU', 'ASK') 9 5062 -501
1712599104382939931 ('MKU', 'ASK') 1 5061 -500
1712599104382939933 ('IGM', 'ASK') 10 5577 -1056
1712599104382939935 ('IGM', 'ASK') 10 5577 -1036
1712599104382939937 ('IGM', 'ASK') 10 5577 -1016
1712599104382939939 ('BRV', 'ASK') 10 5045 -524
1712599104382939941 ('BRV', 'ASK') 10 5045 -504
1712599104382939943 ('BRV', 'ASK') 10 5045 -484
[CANCELLED] 1712599104382939904 ('EPT', 'BID')
[CANCELLED] 1712599104382939906 ('DLO', 'BID')
[CANCELLED] 1712599104382939908 ('MKU', 'BID')
[CANCELLED] 1712599104382939910 ('IGM', 'BID')
[CANCELLED] 1712599104382939912 ('BRV', 'BID')
[CANCELLED] 1712599104382939914 ('EPT', 'BID')
[CANCELLED] 1712599104382939916 ('EPT', 'BID')
[CANCELLED] 1712599104382939918 ('EPT', 'BID')
[CANCELLED] 1712599104382939920 ('DLO', 'BID')
[CANCELLED] 1712599104382939922 ('DLO', 'BID')
[CANCELLED] 1712599104382939924 ('DLO', 'BID')
[CANCELLED] 1712599104382939926 ('MKU', 'BID')
[CANCELLED] 1712599104382939928 ('MKU', 'BID')
[CANCELLED] 1712599104382939930 ('MKU', 'BID')
[CANCELLED] 1712599104382939932 ('IGM', 'BID')
[CANCELLED] 1712599104382939934 ('IGM', 'BID')
[CANCELLED] 1712599104382939936 ('IGM', 'BID')
[CANCELLED] 1712599104382939938 ('BRV', 'BID')
[CANCELLED] 1712599104382939940 ('BRV', 'BID')
[CANCELLED] 1712599104382939942 ('BRV', 'BID')
1712599104382939944 ('EPT', 'BID') 30 4708 20
1712599104382939944 ('EPT', 'BID') 2 4709 19
1712599104382939946 ('DLO', 'BID') 30 4938 9
1712599104382939946 ('DLO', 'BID') 2 4939 8
1712599104382939948 ('MKU', 'BID') 30 5036 17
1712599104382939948 ('MKU', 'BID') 2 5037 16
1712599104382939951 ('IGM', 'ASK') 6 5649 -53
1712599104382939952 ('BRV', 'BID') 30 5049 20
1712599104382939952 ('BRV', 'BID') 2 5050 19
[CANCELLED] 1712599104382939945 ('EPT', 'ASK')
[CANCELLED] 1712599104382939947 ('DLO', 'ASK')
[CANCELLED] 1712599104382939949 ('MKU', 'ASK')
[CANCELLED] 1712599104382939950 ('IGM', 'BID')
[CANCELLED] 1712599104382939953 ('BRV', 'ASK')
1712599104382939954 ('EPT', 'BID') 1 4632 25
1712599104382939956 ('DLO', 'BID') 1 4918 0
1712599104382939958 ('MKU', 'BID') 1 5006 4
1712599104382939961 ('IGM', 'ASK') 1 5759 -30
1712599104382939963 ('BRV', 'ASK') 7 5065 -7
1712599104382939964 ('EPT', 'BID') 10 4632 5
1712599104382939983 ('IGM', 'ASK') 10 5759 -10
1712599104382939987 ('BRV', 'ASK') 10 5078 0
1712599104382939989 ('BRV', 'ASK') 10 5098 0
1712599104382939991 ('BRV', 'ASK') 10 5118 0
1712599104382939966 ('EPT', 'BID') 10 4617 0
1712599104382939968 ('EPT', 'BID') 10 4597 0
1712599104382939957 ('DLO', 'ASK') 7 4925 0
1712599104382939976 ('MKU', 'BID') 10 4990 0
[CANCELLED] 1712599104382939955 ('EPT', 'ASK')
[CANCELLED] 1712599104382939959 ('MKU', 'ASK')
[CANCELLED] 1712599104382939960 ('IGM', 'BID')
[CANCELLED] 1712599104382939962 ('BRV', 'BID')
[CANCELLED] 1712599104382939965 ('EPT', 'ASK')
[CANCELLED] 1712599104382939967 ('EPT', 'ASK')
[CANCELLED] 1712599104382939969 ('EPT', 'ASK')
[CANCELLED] 1712599104382939970 ('DLO', 'BID')
[CANCELLED] 1712599104382939971 ('DLO', 'ASK')
[CANCELLED] 1712599104382939972 ('DLO', 'BID')
[CANCELLED] 1712599104382939973 ('DLO', 'ASK')
[CANCELLED] 1712599104382939974 ('DLO', 'BID')
[CANCELLED] 1712599104382939975 ('DLO', 'ASK')
[CANCELLED] 1712599104382939977 ('MKU', 'ASK')
[CANCELLED] 1712599104382939978 ('MKU', 'BID')
[CANCELLED] 1712599104382939979 ('MKU', 'ASK')
[CANCELLED] 1712599104382939980 ('MKU', 'BID')
[CANCELLED] 1712599104382939981 ('MKU', 'ASK')
[CANCELLED] 1712599104382939982 ('IGM', 'BID')
[CANCELLED] 1712599104382939984 ('IGM', 'BID')
[CANCELLED] 1712599104382939985 ('IGM', 'ASK')
[CANCELLED] 1712599104382939986 ('BRV', 'BID')
[CANCELLED] 1712599104382939988 ('BRV', 'BID')
[CANCELLED] 1712599104382939990 ('BRV', 'BID')
1712599104382939992 ('EPT', 'BID') 1 4587 7
1712599104382939994 ('DLO', 'BID') 30 4925 10
1712599104382939994 ('DLO', 'BID') 1 4926 9
1712599104382939996 ('MKU', 'BID') 21 4974 10
1712599104382939998 ('IGM', 'BID') 30 5744 16
1712599104382939998 ('IGM', 'BID') 13 5745 15
1712599104382940000 ('BRV', 'ASK') 1 5121 -2
1712599104382940001 ('EPT', 'BID') 10 4574 0
[CANCELLED] 1712599104382939993 ('EPT', 'ASK')
[CANCELLED] 1712599104382939995 ('DLO', 'ASK')
[CANCELLED] 1712599104382939997 ('MKU', 'ASK')
[CANCELLED] 1712599104382939999 ('BRV', 'BID')
[CANCELLED] 1712599104382940002 ('EPT', 'ASK')
[CANCELLED] 1712599104382940003 ('EPT', 'BID')
[CANCELLED] 1712599104382940004 ('BRV', 'BID')
[CANCELLED] 1712599104382940005 ('BRV', 'ASK')
[CANCELLED] 1712599104382940006 ('BRV', 'BID')
[CANCELLED] 1712599104382940007 ('BRV', 'ASK')
1712599104382940008 ('EPT', 'BID') 16 4574 8
1712599104382940010 ('DLO', 'BID') 30 4904 19
1712599104382940010 ('DLO', 'BID') 2 4905 18
1712599104382940012 ('MKU', 'BID') 22 4954 18
1712599104382940015 ('IGM', 'ASK') 1 5752 0
1712599104382940017 ('DLO', 'BID') 10 4903 0
1712599104382940019 ('MKU', 'BID') 10 4952 0
1712599104382940022 ('IGM', 'ASK') 2 5772 0
1712599104382940014 ('IGM', 'BID') 44 5743 0
1712599104382940021 ('IGM', 'BID') 10 5723 0
[CANCELLED] 1712599104382940009 ('EPT', 'ASK')
[CANCELLED] 1712599104382940011 ('DLO', 'ASK')
[CANCELLED] 1712599104382940013 ('MKU', 'ASK')
[CANCELLED] 1712599104382940016 ('BRV', 'BID')
[CANCELLED] 1712599104382940018 ('DLO', 'ASK')
[CANCELLED] 1712599104382940020 ('MKU', 'ASK')
1712599104382940023 ('EPT', 'BID') 1 4547 30
1712599104382940024 ('DLO', 'BID') 30 4902 14
1712599104382940024 ('DLO', 'BID') 1 4903 13
1712599104382940026 ('IGM', 'BID') 30 5735 0
1712599104382940026 ('IGM', 'BID') 13 5735 0
1712599104382940025 ('MKU', 'BID') 21 4966 0
[CANCELLED] 1712599104382940027 ('BRV', 'BID')
1712599104382940035 ('IGM', 'ASK') 1 5702 -5
1712599104382940036 ('BRV', 'BID') 2 5274 14
1712599104382940029 ('EPT', 'ASK') 1 4537 0
1712599104382940060 ('BRV', 'BID') 10 5268 0
1712599104382940031 ('DLO', 'ASK') 1 4889 0
1712599104382940057 ('IGM', 'ASK') 10 5717 0
1712599104382940033 ('MKU', 'ASK') 1 4961 0
1712599104382940051 ('MKU', 'ASK') 10 4981 0
1712599104382940062 ('BRV', 'BID') 10 5248 0
1712599104382940064 ('BRV', 'BID') 10 5228 0
[CANCELLED] 1712599104382940028 ('EPT', 'BID')
[CANCELLED] 1712599104382940030 ('DLO', 'BID')
[CANCELLED] 1712599104382940032 ('MKU', 'BID')
[CANCELLED] 1712599104382940034 ('IGM', 'BID')
[CANCELLED] 1712599104382940037 ('BRV', 'ASK')
[CANCELLED] 1712599104382940038 ('EPT', 'BID')
[CANCELLED] 1712599104382940039 ('EPT', 'ASK')
[CANCELLED] 1712599104382940040 ('EPT', 'BID')
[CANCELLED] 1712599104382940041 ('EPT', 'ASK')
[CANCELLED] 1712599104382940042 ('EPT', 'BID')
[CANCELLED] 1712599104382940043 ('EPT', 'ASK')
[CANCELLED] 1712599104382940044 ('DLO', 'BID')
[CANCELLED] 1712599104382940045 ('DLO', 'ASK')
[CANCELLED] 1712599104382940046 ('DLO', 'BID')
[CANCELLED] 1712599104382940047 ('DLO', 'ASK')
[CANCELLED] 1712599104382940048 ('DLO', 'BID')
[CANCELLED] 1712599104382940049 ('DLO', 'ASK')
[CANCELLED] 1712599104382940050 ('MKU', 'BID')
[CANCELLED] 1712599104382940052 ('MKU', 'BID')
[CANCELLED] 1712599104382940053 ('MKU', 'ASK')
[CANCELLED] 1712599104382940054 ('MKU', 'BID')
[CANCELLED] 1712599104382940055 ('MKU', 'ASK')
[CANCELLED] 1712599104382940056 ('IGM', 'BID')
[CANCELLED] 1712599104382940058 ('IGM', 'BID')
[CANCELLED] 1712599104382940059 ('IGM', 'ASK')
[CANCELLED] 1712599104382940061 ('BRV', 'ASK')
[CANCELLED] 1712599104382940063 ('BRV', 'ASK')
[CANCELLED] 1712599104382940065 ('BRV', 'ASK')
1712599104382940066 ('EPT', 'BID') 30 4533 2
1712599104382940066 ('EPT', 'BID') 2 4534 1
1712599104382940071 ('MKU', 'ASK') 21 4974 -3
1712599104382940072 ('IGM', 'BID') 22 5680 22
1712599104382940074 ('BRV', 'BID') 11 5213 17
[REJECTED] 1712599104382940078 ('IGM', 'BID')
1712599104382940079 ('BRV', 'BID') 10 5210 0
1712599104382940073 ('IGM', 'ASK') 11 5704 0
1712599104382940068 ('DLO', 'BID') 2 4892 0
[CANCELLED] 1712599104382940067 ('EPT', 'ASK')
[CANCELLED] 1712599104382940069 ('DLO', 'ASK')
[CANCELLED] 1712599104382940070 ('MKU', 'BID')
[CANCELLED] 1712599104382940075 ('BRV', 'ASK')
[CANCELLED] 1712599104382940076 ('DLO', 'BID')
[CANCELLED] 1712599104382940077 ('MKU', 'BID')
[CANCELLED] 1712599104382940080 ('BRV', 'ASK')
1712599104382940084 ('MKU', 'BID') 29 4992 5
1712599104382940087 ('IGM', 'ASK') 1 5743 -3
1712599104382940082 ('EPT', 'ASK') 8 4532 0
1712599104382940099 ('MKU', 'BID') 10 4977 0
1712599104382940089 ('BRV', 'ASK') 30 5187 0
1712599104382940089 ('BRV', 'ASK') 9 5187 0
1712599104382940083 ('DLO', 'ASK') 30 4895 0
1712599104382940083 ('DLO', 'ASK') 2 4895 0
1712599104382940091 ('EPT', 'ASK') 10 4552 0
[CANCELLED] 1712599104382940081 ('EPT', 'BID')
[CANCELLED] 1712599104382940085 ('MKU', 'ASK')
[CANCELLED] 1712599104382940086 ('IGM', 'BID')
[CANCELLED] 1712599104382940088 ('BRV', 'BID')
[CANCELLED] 1712599104382940090 ('EPT', 'BID')
[CANCELLED] 1712599104382940092 ('EPT', 'BID')
[CANCELLED] 1712599104382940093 ('EPT', 'ASK')
[CANCELLED] 1712599104382940094 ('EPT', 'BID')
[CANCELLED] 1712599104382940095 ('EPT', 'ASK')
1712599104382940105 ('IGM', 'ASK') 10 5760 0
[CANCELLED] 1712599104382940096 ('DLO', 'ASK')
[CANCELLED] 1712599104382940097 ('DLO', 'ASK')
[CANCELLED] 1712599104382940098 ('DLO', 'ASK')
[CANCELLED] 1712599104382940100 ('MKU', 'ASK')
[CANCELLED] 1712599104382940101 ('MKU', 'BID')
[CANCELLED] 1712599104382940102 ('MKU', 'ASK')
[CANCELLED] 1712599104382940103 ('MKU', 'BID')
[CANCELLED] 1712599104382940104 ('IGM', 'BID')
[CANCELLED] 1712599104382940106 ('IGM', 'BID')
[CANCELLED] 1712599104382940107 ('IGM', 'ASK')
[CANCELLED] 1712599104382940108 ('BRV', 'BID')
[CANCELLED] 1712599104382940109 ('BRV', 'ASK')
[CANCELLED] 1712599104382940110 ('BRV', 'BID')
1712599104382940112 ('EPT', 'ASK') 30 4564 -8
1712599104382940112 ('EPT', 'ASK') 1 4563 -7
1712599104382940115 ('MKU', 'BID') 7 4960 4
1712599104382940118 ('IGM', 'ASK') 21 5770 -11
[REJECTED] 1712599104382940123 ('MKU', 'BID')
1712599104382940114 ('DLO', 'ASK') 30 4905 0
1712599104382940114 ('DLO', 'ASK') 1 4905 0
1712599104382940111 ('EPT', 'BID') 17 4551 0
1712599104382940121 ('EPT', 'BID') 4 4531 0
[CANCELLED] 1712599104382940113 ('DLO', 'BID')
[CANCELLED] 1712599104382940116 ('MKU', 'ASK')
[CANCELLED] 1712599104382940117 ('IGM', 'BID')
[CANCELLED] 1712599104382940119 ('BRV', 'BID')
[CANCELLED] 1712599104382940120 ('BRV', 'ASK')
[CANCELLED] 1712599104382940122 ('DLO', 'BID')
[CANCELLED] 1712599104382940124 ('MKU', 'ASK')
[CANCELLED] 1712599104382940125 ('BRV', 'BID')
1712599104382940126 ('EPT', 'BID') 22 4542 13
1712599104382940129 ('DLO', 'ASK') 1 4918 -1
1712599104382940131 ('IGM', 'BID') 13 5778 8
1712599104382940135 ('EPT', 'BID') 10 4535 0
1712599104382940145 ('IGM', 'BID') 10 5766 0
1712599104382940134 ('BRV', 'ASK') 12 5192 0
1712599104382940147 ('IGM', 'BID') 10 5746 0
1712599104382940137 ('EPT', 'BID') 10 4515 0
1712599104382940132 ('IGM', 'ASK') 1 5788 0
[CANCELLED] 1712599104382940127 ('EPT', 'ASK')
[CANCELLED] 1712599104382940128 ('DLO', 'BID')
[CANCELLED] 1712599104382940130 ('MKU', 'ASK')
[CANCELLED] 1712599104382940133 ('BRV', 'BID')
[CANCELLED] 1712599104382940136 ('EPT', 'ASK')
[CANCELLED] 1712599104382940138 ('EPT', 'ASK')
[CANCELLED] 1712599104382940139 ('EPT', 'BID')
[CANCELLED] 1712599104382940140 ('DLO', 'BID')
[CANCELLED] 1712599104382940141 ('DLO', 'ASK')
[CANCELLED] 1712599104382940142 ('DLO', 'BID')
[CANCELLED] 1712599104382940143 ('MKU', 'ASK')
[CANCELLED] 1712599104382940144 ('MKU', 'ASK')
[CANCELLED] 1712599104382940146 ('IGM', 'ASK')
[CANCELLED] 1712599104382940148 ('IGM', 'ASK')
[CANCELLED] 1712599104382940149 ('BRV', 'BID')
[CANCELLED] 1712599104382940150 ('BRV', 'ASK')
[CANCELLED] 1712599104382940151 ('BRV', 'BID')
[REJECTED] 1712599104382940152 ('EPT', 'BID')
1712599104382940158 ('IGM', 'ASK') 22 5784 -41
1712599104382940160 ('BRV', 'ASK') 3 5201 -2
[REJECTED] 1712599104382940161 ('EPT', 'BID')
[REJECTED] 1712599104382940163 ('EPT', 'BID')
1712599104382940166 ('IGM', 'ASK') 10 5784 -21
1712599104382940155 ('DLO', 'ASK') 11 4924 0
1712599104382940154 ('DLO', 'BID') 30 4920 0
1712599104382940154 ('DLO', 'BID') 3 4920 0
[CANCELLED] 1712599104382940153 ('EPT', 'ASK')
[CANCELLED] 1712599104382940156 ('MKU', 'ASK')
[CANCELLED] 1712599104382940157 ('IGM', 'BID')
[CANCELLED] 1712599104382940159 ('BRV', 'BID')
[CANCELLED] 1712599104382940162 ('EPT', 'ASK')
[CANCELLED] 1712599104382940164 ('DLO', 'BID')
[CANCELLED] 1712599104382940165 ('IGM', 'BID')
[REJECTED] 1712599104382940167 ('EPT', 'BID')
1712599104382940170 ('DLO', 'ASK') 1 4931 -2
1712599104382940175 ('BRV', 'ASK') 1 5342 -48
[REJECTED] 1712599104382940176 ('EPT', 'BID')
[REJECTED] 1712599104382940178 ('EPT', 'BID')
[REJECTED] 1712599104382940180 ('EPT', 'BID')
[CANCELLED] 1712599104382940168 ('EPT', 'ASK')
[CANCELLED] 1712599104382940169 ('DLO', 'BID')
[CANCELLED] 1712599104382940171 ('MKU', 'ASK')
[CANCELLED] 1712599104382940172 ('IGM', 'BID')
[CANCELLED] 1712599104382940173 ('IGM', 'ASK')
[CANCELLED] 1712599104382940174 ('BRV', 'BID')
[CANCELLED] 1712599104382940177 ('EPT', 'ASK')
[CANCELLED] 1712599104382940179 ('EPT', 'ASK')
[CANCELLED] 1712599104382940181 ('DLO', 'BID')
