1712712283294821888 ('EPT', <Side.BUY: 1>) 1 4559 0
1712712283294821927 ('BRV', <Side.BUY: 1>) 1 5392 70
1712712283294821940 ('MKU', <Side.BUY: 1>) 2 5081 21
1712712283294821942 ('MKU', <Side.BUY: 1>) 2 5081 1
1712712283294821929 ('EPT', <Side.SELL: 2>) 2 4582 0
1712712283294821944 ('MKU', <Side.BUY: 1>) 2 5062 0
[CANCELLED] 1712712283294821923 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821928 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821930 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821931 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294821932 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821933 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294821934 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821935 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294821936 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821937 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294821938 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821939 ('DLO', <Side.SELL: 2>)
1712712283294821947 ('DLO', <Side.BUY: 1>) 20 5020 6
1712712283294821947 ('DLO', <Side.BUY: 1>) 11 5021 5
[CANCELLED] 1712712283294821941 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294821943 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294821945 ('MKU', <Side.SELL: 2>)
1712712283294821948 ('MKU', <Side.BUY: 1>) 20 5044 47
1712712283294821948 ('MKU', <Side.BUY: 1>) 13 5045 46
1712712283294821950 ('BRV', <Side.BUY: 1>) 1 5310 85
1712712283294821949 ('IGM', <Side.BUY: 1>) 1 5987 0
1712712283294821952 ('EPT', <Side.SELL: 2>) 2 4601 0
1712712283294821955 ('DLO', <Side.BUY: 1>) 18 4976 14
1712712283294821955 ('DLO', <Side.BUY: 1>) 9 4977 13
1712712283294821956 ('MKU', <Side.BUY: 1>) 18 4959 29
1712712283294821956 ('MKU', <Side.BUY: 1>) 9 4960 28
1712712283294821957 ('IGM', <Side.BUY: 1>) 1 5911 60
1712712283294821958 ('BRV', <Side.BUY: 1>) 20 5174 66
1712712283294821958 ('BRV', <Side.BUY: 1>) 11 5175 65
1712712283294821971 ('MKU', <Side.BUY: 1>) 2 4964 4
1712712283294821965 ('DLO', <Side.BUY: 1>) 2 4970 0
1712712283294821960 ('EPT', <Side.SELL: 2>) 2 4620 0
[CANCELLED] 1712712283294821946 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821951 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821953 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821954 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821959 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821961 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821962 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294821963 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821964 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294821966 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294821967 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821968 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294821969 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821970 ('DLO', <Side.SELL: 2>)
1712712283294821978 ('DLO', <Side.BUY: 1>) 17 4970 1
1712712283294821978 ('DLO', <Side.BUY: 1>) 8 4971 0
[CANCELLED] 1712712283294821972 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294821973 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294821974 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294821975 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294821976 ('MKU', <Side.SELL: 2>)
1712712283294821980 ('IGM', <Side.BUY: 1>) 20 5882 0
1712712283294821980 ('IGM', <Side.BUY: 1>) 11 5882 0
1712712283294821977 ('EPT', <Side.BUY: 1>) 1 4612 0
1712712283294821982 ('EPT', <Side.BUY: 1>) 1 4605 8
1712712283294821984 ('MKU', <Side.BUY: 1>) 16 4962 0
1712712283294821984 ('MKU', <Side.BUY: 1>) 7 4962 0
1712712283294821986 ('BRV', <Side.BUY: 1>) 18 5179 0
1712712283294821986 ('BRV', <Side.BUY: 1>) 9 5179 0
1712712283294821983 ('DLO', <Side.BUY: 1>) 15 4950 0
1712712283294821985 ('IGM', <Side.BUY: 1>) 18 5866 0
1712712283294821985 ('IGM', <Side.BUY: 1>) 9 5866 0
1712712283294821979 ('MKU', <Side.BUY: 1>) 16 4949 0
1712712283294821979 ('MKU', <Side.BUY: 1>) 7 4949 0
1712712283294821981 ('BRV', <Side.BUY: 1>) 7 5160 0
[CANCELLED] 1712712283294821987 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821988 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294821989 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821990 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294821991 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294821992 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294821993 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821994 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294821995 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821996 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294821997 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294821998 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294821999 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822000 ('MKU', <Side.SELL: 2>)
1712712283294822003 ('MKU', <Side.BUY: 1>) 14 4946 4
1712712283294822003 ('MKU', <Side.BUY: 1>) 8 4947 3
1712712283294822004 ('IGM', <Side.BUY: 1>) 18 5867 0
1712712283294822005 ('BRV', <Side.BUY: 1>) 5 5159 2
1712712283294822005 ('BRV', <Side.BUY: 1>) 3 5160 1
1712712283294822001 ('EPT', <Side.BUY: 1>) 1 4601 0
1712712283294822008 ('MKU', <Side.BUY: 1>) 11 4906 4
1712712283294822008 ('MKU', <Side.BUY: 1>) 2 4907 3
1712712283294822009 ('IGM', <Side.BUY: 1>) 15 5850 38
1712712283294822009 ('IGM', <Side.BUY: 1>) 6 5851 37
1712712283294822010 ('BRV', <Side.BUY: 1>) 15 5113 24
1712712283294822010 ('BRV', <Side.BUY: 1>) 6 5114 23
1712712283294822029 ('IGM', <Side.BUY: 1>) 2 5851 17
1712712283294822035 ('BRV', <Side.BUY: 1>) 2 5114 3
1712712283294822023 ('MKU', <Side.BUY: 1>) 2 4890 0
1712712283294822031 ('IGM', <Side.BUY: 1>) 2 5848 0
1712712283294822007 ('DLO', <Side.BUY: 1>) 13 4932 0
1712712283294822007 ('DLO', <Side.BUY: 1>) 4 4932 0
1712712283294822002 ('DLO', <Side.BUY: 1>) 13 4931 0
1712712283294822002 ('DLO', <Side.BUY: 1>) 4 4931 0
1712712283294822025 ('MKU', <Side.BUY: 1>) 2 4870 0
1712712283294822017 ('DLO', <Side.BUY: 1>) 2 4912 0
1712712283294822027 ('MKU', <Side.BUY: 1>) 2 4850 0
1712712283294822006 ('EPT', <Side.BUY: 1>) 1 4566 0
[CANCELLED] 1712712283294822011 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822012 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822013 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822014 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822015 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822016 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822018 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822019 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822020 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822021 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822022 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822024 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822026 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822028 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822030 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822032 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822033 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822034 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822036 ('BRV', <Side.SELL: 2>)
1712712283294822038 ('DLO', <Side.BUY: 1>) 10 4913 2
1712712283294822038 ('DLO', <Side.BUY: 1>) 1 4914 1
1712712283294822040 ('IGM', <Side.BUY: 1>) 13 5825 45
1712712283294822040 ('IGM', <Side.BUY: 1>) 4 5826 44
1712712283294822060 ('IGM', <Side.BUY: 1>) 2 5825 25
1712712283294822062 ('IGM', <Side.BUY: 1>) 2 5825 5
1712712283294822064 ('IGM', <Side.BUY: 1>) 2 5810 0
1712712283294822048 ('DLO', <Side.BUY: 1>) 2 4895 0
[CANCELLED] 1712712283294822037 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822042 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822043 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822044 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822045 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822046 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822047 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822049 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822050 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822051 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822052 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822053 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822039 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822054 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822055 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822056 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822057 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822058 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822059 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822061 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822063 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822065 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822041 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822066 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822067 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712712283294822068 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822069 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712712283294822070 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822071 ('BRV', <Side.SELL: 2>)
1712712283294822075 ('IGM', <Side.BUY: 1>) 11 5831 0
1712712283294822075 ('IGM', <Side.BUY: 1>) 2 5831 0
1712712283294822095 ('MKU', <Side.SELL: 2>) 2 4954 -4
[CANCELLED] 1712712283294822072 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822077 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822082 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822083 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822084 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822085 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822086 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822087 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822073 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822078 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822088 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822089 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822090 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822091 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822092 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822093 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822074 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822079 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822094 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822096 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822097 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822098 ('MKU', <Side.BUY: 1>)
1712712283294822101 ('MKU', <Side.BUY: 1>) 3 4947 8
[CANCELLED] 1712712283294822080 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822076 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822081 ('BRV', <Side.BUY: 1>)
1712712283294822100 ('DLO', <Side.BUY: 1>) 9 4937 0
1712712283294822102 ('EPT', <Side.BUY: 1>) 1 4587 10
1712712283294822099 ('EPT', <Side.BUY: 1>) 1 4580 0
1712712283294822103 ('DLO', <Side.BUY: 1>) 8 4917 0
1712712283294822105 ('IGM', <Side.BUY: 1>) 10 5794 0
1712712283294822104 ('MKU', <Side.BUY: 1>) 9 4909 0
1712712283294822107 ('EPT', <Side.BUY: 1>) 2 4577 0
[CANCELLED] 1712712283294822108 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822109 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822110 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822111 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822112 ('EPT', <Side.SELL: 2>)
1712712283294822137 ('EPT', <Side.BUY: 1>) 19 4576 1
1712712283294822137 ('EPT', <Side.BUY: 1>) 12 4577 0
[CANCELLED] 1712712283294822113 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822114 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822115 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822116 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822117 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822118 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822119 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822120 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822121 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822122 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822123 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822124 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822105 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822125 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822126 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822127 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822128 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822129 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822130 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822106 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822131 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822132 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712712283294822133 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822134 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712712283294822135 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822136 ('BRV', <Side.SELL: 2>)
1712712283294822141 ('IGM', <Side.BUY: 1>) 9 5737 45
1712712283294822142 ('BRV', <Side.BUY: 1>) 14 5110 15
1712712283294822142 ('BRV', <Side.BUY: 1>) 5 5111 14
1712712283294822161 ('IGM', <Side.BUY: 1>) 2 5753 9
1712712283294822167 ('BRV', <Side.BUY: 1>) 2 5105 0
1712712283294822162 ('IGM', <Side.SELL: 2>) 2 5806 0
1712712283294822162 ('IGM', <Side.SELL: 2>) 1 5806 0
1712712283294822138 ('EPT', <Side.BUY: 1>) 18 4587 0
1712712283294822138 ('EPT', <Side.BUY: 1>) 9 4587 0
1712712283294822168 ('BRV', <Side.SELL: 2>) 2 5155 0
1712712283294822164 ('IGM', <Side.SELL: 2>) 2 5826 0
1712712283294822139 ('DLO', <Side.BUY: 1>) 8 4905 0
[CANCELLED] 1712712283294822143 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822144 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822145 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822146 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822147 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822148 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822149 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822150 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822151 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822152 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822153 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822154 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822140 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822155 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822156 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822157 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822158 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822159 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822160 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822163 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822165 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822166 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822169 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822170 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712712283294822171 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822172 ('BRV', <Side.SELL: 2>)
1712712283294822173 ('EPT', <Side.BUY: 1>) 17 4568 0
1712712283294822173 ('EPT', <Side.BUY: 1>) 8 4568 0
1712712283294822175 ('MKU', <Side.BUY: 1>) 8 4929 0
1712712283294822174 ('DLO', <Side.BUY: 1>) 8 4908 0
1712712283294822178 ('EPT', <Side.BUY: 1>) 15 4515 19
1712712283294822178 ('EPT', <Side.BUY: 1>) 6 4516 18
1712712283294822202 ('IGM', <Side.SELL: 2>) 2 5955 -16
1712712283294822182 ('BRV', <Side.BUY: 1>) 12 5160 0
1712712283294822181 ('IGM', <Side.BUY: 1>) 9 5899 0
1712712283294822182 ('BRV', <Side.BUY: 1>) 3 5160 0
1712712283294822177 ('BRV', <Side.BUY: 1>) 12 5157 0
1712712283294822177 ('BRV', <Side.BUY: 1>) 6 5157 0
[CANCELLED] 1712712283294822183 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822184 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822185 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822186 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822187 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822188 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822179 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822189 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822190 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822191 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822192 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822193 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822194 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822180 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822195 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822196 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822197 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822198 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822199 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822200 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822176 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822201 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822203 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822204 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822205 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822206 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822207 ('BRV', <Side.BUY: 1>)
1712712283294822213 ('IGM', <Side.BUY: 1>) 8 5918 0
1712712283294822233 ('IGM', <Side.BUY: 1>) 2 5898 0
[CANCELLED] 1712712283294822208 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822210 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822215 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822216 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822217 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822218 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712712283294822219 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712712283294822220 ('EPT', <Side.SELL: 2>)
1712712283294822244 ('EPT', <Side.BUY: 1>) 10 4546 2
1712712283294822244 ('EPT', <Side.BUY: 1>) 1 4547 1
[CANCELLED] 1712712283294822209 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822211 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822221 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822222 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822223 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822224 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822225 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712712283294822226 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712712283294822212 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822227 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822228 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822229 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822230 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822231 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712712283294822232 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712712283294822234 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822235 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822236 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822237 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712712283294822238 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712712283294822214 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822239 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822240 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712712283294822241 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712712283294822242 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712712283294822243 ('BRV', <Side.BUY: 1>)
1712712283294822245 ('EPT', <Side.BUY: 1>) 12 4525 0
1712712283294822249 ('BRV', <Side.BUY: 1>) 10 5148 0
1712712283294822249 ('BRV', <Side.BUY: 1>) 1 5148 0
1712712283294822246 ('DLO', <Side.BUY: 1>) 6 4886 0
1712712283294822247 ('MKU', <Side.BUY: 1>) 8 4903 0
[CANCELLED] 1712712283294822250 ('EPT', <Side.BUY: 1>)
