1712596776315601920 ('EPT', 'BID') 3 4474 25
[REJECTED] 1712596805923600411 ('MKU', 'ASK')
[REJECTED] 1712596805923600412 ('IGM', 'BID')
[REJECTED] 1712596805923600413 ('IGM', 'ASK')
[REJECTED] 1712596805923600414 ('IGM', 'BID')
[REJECTED] 1712596805923600415 ('IGM', 'ASK')
[REJECTED] 1712596805923600416 ('IGM', 'BID')
[REJECTED] 1712596805923600417 ('IGM', 'ASK')
[REJECTED] 1712596805923600418 ('BRV', 'BID')
[REJECTED] 1712596805923600419 ('BRV', 'ASK')
[REJECTED] 1712596805923600420 ('BRV', 'BID')
[REJECTED] 1712596805923600421 ('BRV', 'ASK')
[REJECTED] 1712596805923600422 ('BRV', 'BID')
[REJECTED] 1712596805923600423 ('BRV', 'ASK')
[CANCELLED] 1712596805923600384 ('EPT', 'BID')
[CANCELLED] 1712596805923600386 ('DLO', 'BID')
[CANCELLED] 1712596805923600390 ('IGM', 'BID')
[CANCELLED] 1712596805923600392 ('BRV', 'BID')
[CANCELLED] 1712596805923600394 ('EPT', 'BID')
[CANCELLED] 1712596805923600396 ('EPT', 'BID')
[CANCELLED] 1712596805923600398 ('EPT', 'BID')
[CANCELLED] 1712596805923600400 ('DLO', 'BID')
[CANCELLED] 1712596805923600402 ('DLO', 'BID')
[CANCELLED] 1712596805923600404 ('DLO', 'BID')
1712596805923600425 ('EPT', 'ASK') 3 4697 0
[REJECTED] 1712596805923600427 ('DLO', 'ASK')
[REJECTED] 1712596805923600428 ('MKU', 'BID')
[REJECTED] 1712596805923600429 ('MKU', 'ASK')
[REJECTED] 1712596805923600430 ('IGM', 'BID')
[REJECTED] 1712596805923600433 ('BRV', 'ASK')
[REJECTED] 1712596805923600435 ('EPT', 'ASK')
[REJECTED] 1712596805923600436 ('EPT', 'BID')
[REJECTED] 1712596805923600437 ('DLO', 'BID')
[REJECTED] 1712596805923600438 ('DLO', 'ASK')
[REJECTED] 1712596805923600439 ('DLO', 'BID')
[REJECTED] 1712596805923600440 ('MKU', 'BID')
[REJECTED] 1712596805923600441 ('MKU', 'ASK')
[REJECTED] 1712596805923600442 ('MKU', 'BID')
[REJECTED] 1712596805923600443 ('MKU', 'ASK')
[REJECTED] 1712596805923600444 ('MKU', 'BID')
[REJECTED] 1712596805923600445 ('MKU', 'ASK')
[REJECTED] 1712596805923600446 ('IGM', 'BID')
[REJECTED] 1712596805923600447 ('IGM', 'ASK')
[REJECTED] 1712596805923600448 ('IGM', 'BID')
[REJECTED] 1712596805923600449 ('IGM', 'ASK')
[REJECTED] 1712596805923600450 ('IGM', 'BID')
[REJECTED] 1712596805923600451 ('IGM', 'ASK')
[REJECTED] 1712596805923600452 ('BRV', 'BID')
[REJECTED] 1712596805923600453 ('BRV', 'ASK')
[REJECTED] 1712596805923600454 ('BRV', 'BID')
[REJECTED] 1712596805923600455 ('BRV', 'ASK')
[REJECTED] 1712596805923600456 ('BRV', 'BID')
[REJECTED] 1712596805923600457 ('BRV', 'ASK')
1712596805923600431 ('IGM', 'ASK') 3 4722 0
1712596805923600432 ('BRV', 'BID') 6 5008 0
[CANCELLED] 1712596805923600424 ('EPT', 'BID')
[CANCELLED] 1712596805923600426 ('DLO', 'BID')
[CANCELLED] 1712596805923600434 ('EPT', 'BID')
[REJECTED] 1712596805923600458 ('EPT', 'BID')
1712596805923600459 ('EPT', 'ASK') 3 4704 -8
[REJECTED] 1712596805923600460 ('DLO', 'BID')
[REJECTED] 1712596805923600462 ('MKU', 'BID')
[REJECTED] 1712596805923600463 ('MKU', 'ASK')
[REJECTED] 1712596805923600465 ('IGM', 'ASK')
[REJECTED] 1712596805923600466 ('BRV', 'BID')
[REJECTED] 1712596805923600472 ('MKU', 'BID')
[REJECTED] 1712596805923600473 ('MKU', 'ASK')
[REJECTED] 1712596805923600474 ('MKU', 'BID')
[REJECTED] 1712596805923600475 ('MKU', 'ASK')
[REJECTED] 1712596805923600476 ('MKU', 'BID')
[REJECTED] 1712596805923600477 ('MKU', 'ASK')
[REJECTED] 1712596805923600478 ('IGM', 'BID')
[REJECTED] 1712596805923600479 ('IGM', 'ASK')
[REJECTED] 1712596805923600480 ('IGM', 'BID')
[REJECTED] 1712596805923600481 ('IGM', 'ASK')
[REJECTED] 1712596805923600482 ('IGM', 'BID')
[REJECTED] 1712596805923600483 ('IGM', 'ASK')
[REJECTED] 1712596805923600484 ('BRV', 'BID')
[REJECTED] 1712596805923600485 ('BRV', 'ASK')
[REJECTED] 1712596805923600486 ('BRV', 'BID')
[REJECTED] 1712596805923600487 ('BRV', 'ASK')
[REJECTED] 1712596805923600488 ('BRV', 'BID')
[REJECTED] 1712596805923600489 ('BRV', 'ASK')
[CANCELLED] 1712596805923600461 ('DLO', 'ASK')
[CANCELLED] 1712596805923600464 ('IGM', 'BID')
[CANCELLED] 1712596805923600467 ('BRV', 'ASK')
[CANCELLED] 1712596805923600468 ('EPT', 'BID')
[CANCELLED] 1712596805923600469 ('DLO', 'BID')
[CANCELLED] 1712596805923600470 ('DLO', 'ASK')
[CANCELLED] 1712596805923600471 ('DLO', 'BID')
1712596805923600491 ('EPT', 'ASK') 3 4729 -2
[REJECTED] 1712596805923600494 ('MKU', 'BID')
[REJECTED] 1712596805923600495 ('MKU', 'ASK')
[REJECTED] 1712596805923600496 ('IGM', 'BID')
1712596805923600497 ('IGM', 'ASK') 3 4753 -8
[REJECTED] 1712596805923600499 ('BRV', 'ASK')
[REJECTED] 1712596805923600501 ('DLO', 'BID')
[REJECTED] 1712596805923600502 ('MKU', 'BID')
[REJECTED] 1712596805923600503 ('MKU', 'ASK')
[REJECTED] 1712596805923600504 ('MKU', 'BID')
[REJECTED] 1712596805923600505 ('MKU', 'ASK')
[REJECTED] 1712596805923600506 ('MKU', 'BID')
[REJECTED] 1712596805923600507 ('MKU', 'ASK')
[REJECTED] 1712596805923600508 ('IGM', 'BID')
[REJECTED] 1712596805923600509 ('IGM', 'ASK')
1712596805923600493 ('DLO', 'ASK') 16 4715 0
[REJECTED] 1712596805923600510 ('IGM', 'BID')
[REJECTED] 1712596805923600511 ('IGM', 'ASK')
[REJECTED] 1712596805923600512 ('IGM', 'BID')
[REJECTED] 1712596805923600513 ('IGM', 'ASK')
[REJECTED] 1712596805923600514 ('BRV', 'BID')
[REJECTED] 1712596805923600515 ('BRV', 'ASK')
[REJECTED] 1712596805923600516 ('BRV', 'BID')
[REJECTED] 1712596805923600517 ('BRV', 'ASK')
[REJECTED] 1712596805923600518 ('BRV', 'BID')
[REJECTED] 1712596805923600519 ('BRV', 'ASK')
1712596805923600490 ('EPT', 'BID') 5 4723 0
1712596805923600492 ('DLO', 'BID') 15 4713 0
[CANCELLED] 1712596805923600498 ('BRV', 'BID')
[CANCELLED] 1712596805923600500 ('EPT', 'BID')
1712596805923600521 ('EPT', 'ASK') 3 4724 -183
[REJECTED] 1712596805923600524 ('MKU', 'BID')
[REJECTED] 1712596805923600525 ('MKU', 'ASK')
[REJECTED] 1712596805923600527 ('IGM', 'ASK')
[REJECTED] 1712596805923600529 ('BRV', 'ASK')
[REJECTED] 1712596805923600532 ('DLO', 'ASK')
[REJECTED] 1712596805923600533 ('DLO', 'BID')
[REJECTED] 1712596805923600534 ('DLO', 'ASK')
[REJECTED] 1712596805923600535 ('MKU', 'BID')
[REJECTED] 1712596805923600536 ('MKU', 'ASK')
[REJECTED] 1712596805923600537 ('MKU', 'BID')
[REJECTED] 1712596805923600538 ('MKU', 'ASK')
[REJECTED] 1712596805923600539 ('MKU', 'BID')
[REJECTED] 1712596805923600540 ('MKU', 'ASK')
[REJECTED] 1712596805923600541 ('IGM', 'BID')
[REJECTED] 1712596805923600542 ('IGM', 'ASK')
[REJECTED] 1712596805923600543 ('IGM', 'BID')
[REJECTED] 1712596805923600544 ('IGM', 'ASK')
[REJECTED] 1712596805923600545 ('IGM', 'BID')
[REJECTED] 1712596805923600546 ('IGM', 'ASK')
[REJECTED] 1712596805923600547 ('BRV', 'BID')
[REJECTED] 1712596805923600548 ('BRV', 'ASK')
[REJECTED] 1712596805923600549 ('BRV', 'BID')
[REJECTED] 1712596805923600550 ('BRV', 'ASK')
[REJECTED] 1712596805923600551 ('BRV', 'BID')
[REJECTED] 1712596805923600552 ('BRV', 'ASK')
1712596805923600523 ('DLO', 'ASK') 3 4713 0
1712596805923600528 ('BRV', 'BID') 6 4997 0
[CANCELLED] 1712596805923600520 ('EPT', 'BID')
[CANCELLED] 1712596805923600522 ('DLO', 'BID')
[CANCELLED] 1712596805923600526 ('IGM', 'BID')
[CANCELLED] 1712596805923600530 ('EPT', 'BID')
[CANCELLED] 1712596805923600531 ('DLO', 'BID')
1712596805923600555 ('DLO', 'BID') 30 4714 3
1712596814156450305 ('EPT', 'ASK') 3 4822 -321
[REJECTED] 1712596823188214784 ('EPT', 'BID')
[REJECTED] 1712596823188214785 ('EPT', 'ASK')
1712596823188214787 ('DLO', 'ASK') 3 4720 -219
[REJECTED] 1712596823188214788 ('MKU', 'BID')
[REJECTED] 1712596823188214789 ('MKU', 'ASK')
[REJECTED] 1712596823188214791 ('IGM', 'ASK')
1712596823188214793 ('BRV', 'ASK') 3 4867 -366
[REJECTED] 1712596823188214794 ('EPT', 'BID')
[REJECTED] 1712596823188214795 ('EPT', 'ASK')
[REJECTED] 1712596823188214796 ('EPT', 'BID')
[REJECTED] 1712596823188214797 ('EPT', 'ASK')
[REJECTED] 1712596823188214798 ('EPT', 'BID')
[REJECTED] 1712596823188214799 ('EPT', 'ASK')
[REJECTED] 1712596823188214801 ('DLO', 'ASK')
[REJECTED] 1712596823188214802 ('DLO', 'BID')
[REJECTED] 1712596823188214803 ('DLO', 'ASK')
[REJECTED] 1712596823188214804 ('DLO', 'BID')
[REJECTED] 1712596823188214805 ('DLO', 'ASK')
[REJECTED] 1712596823188214806 ('MKU', 'BID')
[REJECTED] 1712596823188214807 ('MKU', 'ASK')
[REJECTED] 1712596823188214808 ('MKU', 'BID')
[REJECTED] 1712596823188214809 ('MKU', 'ASK')
[REJECTED] 1712596823188214810 ('MKU', 'BID')
[REJECTED] 1712596823188214811 ('MKU', 'ASK')
[REJECTED] 1712596823188214812 ('IGM', 'BID')
[REJECTED] 1712596823188214813 ('IGM', 'ASK')
[REJECTED] 1712596823188214814 ('IGM', 'BID')
[REJECTED] 1712596823188214815 ('IGM', 'ASK')
[REJECTED] 1712596823188214816 ('IGM', 'BID')
[REJECTED] 1712596823188214817 ('IGM', 'ASK')
[REJECTED] 1712596823188214818 ('BRV', 'BID')
[REJECTED] 1712596823188214819 ('BRV', 'ASK')
[REJECTED] 1712596823188214820 ('BRV', 'BID')
[REJECTED] 1712596823188214821 ('BRV', 'ASK')
[REJECTED] 1712596823188214822 ('BRV', 'BID')
[REJECTED] 1712596823188214823 ('BRV', 'ASK')
1712596827234251777 ('EPT', 'ASK') 3 4800 -299
[REJECTED] 1712596834249398272 ('EPT', 'BID')
[REJECTED] 1712596834249398273 ('EPT', 'ASK')
1712596834249398275 ('DLO', 'ASK') 3 4810 -309
[REJECTED] 1712596834249398276 ('MKU', 'BID')
[REJECTED] 1712596834249398277 ('MKU', 'ASK')
1712596834249398279 ('IGM', 'ASK') 3 4894 -393
1712596834249398281 ('BRV', 'ASK') 3 4850 -349
[REJECTED] 1712596834249398282 ('EPT', 'BID')
[REJECTED] 1712596834249398283 ('EPT', 'ASK')
[REJECTED] 1712596834249398284 ('EPT', 'BID')
[REJECTED] 1712596834249398285 ('EPT', 'ASK')
[REJECTED] 1712596834249398286 ('EPT', 'BID')
[REJECTED] 1712596834249398287 ('EPT', 'ASK')
1712596834249398289 ('DLO', 'ASK') 10 4811 -290
[REJECTED] 1712596834249398291 ('DLO', 'ASK')
[REJECTED] 1712596834249398293 ('DLO', 'ASK')
[REJECTED] 1712596834249398294 ('MKU', 'BID')
[REJECTED] 1712596834249398295 ('MKU', 'ASK')
[REJECTED] 1712596834249398296 ('MKU', 'BID')
[REJECTED] 1712596834249398297 ('MKU', 'ASK')
[REJECTED] 1712596834249398298 ('MKU', 'BID')
[REJECTED] 1712596834249398299 ('MKU', 'ASK')
[REJECTED] 1712596834249398301 ('IGM', 'ASK')
[REJECTED] 1712596834249398302 ('IGM', 'BID')
[REJECTED] 1712596834249398303 ('IGM', 'ASK')
[REJECTED] 1712596834249398304 ('IGM', 'BID')
[REJECTED] 1712596834249398305 ('IGM', 'ASK')
[REJECTED] 1712596834249398306 ('BRV', 'BID')
[REJECTED] 1712596834249398307 ('BRV', 'ASK')
[REJECTED] 1712596834249398308 ('BRV', 'BID')
[REJECTED] 1712596834249398309 ('BRV', 'ASK')
[REJECTED] 1712596834249398310 ('BRV', 'BID')
[REJECTED] 1712596834249398311 ('BRV', 'ASK')
[REJECTED] 1712596842528876288 ('EPT', 'BID')
[REJECTED] 1712596842528876289 ('EPT', 'ASK')
1712596842528876291 ('DLO', 'ASK') 3 4821 -320
[REJECTED] 1712596842528876292 ('MKU', 'BID')
[REJECTED] 1712596842528876293 ('MKU', 'ASK')
1712596842528876295 ('IGM', 'ASK') 3 5053 -552
1712596842528876297 ('BRV', 'ASK') 3 4710 -209
[REJECTED] 1712596842528876298 ('EPT', 'BID')
[REJECTED] 1712596842528876299 ('EPT', 'ASK')
[REJECTED] 1712596842528876300 ('EPT', 'BID')
[REJECTED] 1712596842528876301 ('EPT', 'ASK')
[REJECTED] 1712596842528876302 ('EPT', 'BID')
[REJECTED] 1712596842528876303 ('EPT', 'ASK')
1712596842528876305 ('DLO', 'ASK') 10 4823 -302
1712596842528876307 ('DLO', 'ASK') 10 4823 -282
[REJECTED] 1712596842528876309 ('DLO', 'ASK')
[REJECTED] 1712596842528876310 ('MKU', 'BID')
[REJECTED] 1712596842528876311 ('MKU', 'ASK')
[REJECTED] 1712596842528876312 ('MKU', 'BID')
[REJECTED] 1712596842528876313 ('MKU', 'ASK')
[REJECTED] 1712596842528876314 ('MKU', 'BID')
[REJECTED] 1712596842528876315 ('MKU', 'ASK')
[REJECTED] 1712596842528876316 ('IGM', 'BID')
[REJECTED] 1712596842528876317 ('IGM', 'ASK')
[REJECTED] 1712596842528876318 ('IGM', 'BID')
[REJECTED] 1712596842528876319 ('IGM', 'ASK')
[REJECTED] 1712596842528876320 ('IGM', 'BID')
[REJECTED] 1712596842528876321 ('IGM', 'ASK')
[REJECTED] 1712596842528876322 ('BRV', 'BID')
[REJECTED] 1712596842528876323 ('BRV', 'ASK')
[REJECTED] 1712596842528876324 ('BRV', 'BID')
[REJECTED] 1712596842528876325 ('BRV', 'ASK')
[REJECTED] 1712596842528876326 ('BRV', 'BID')
[REJECTED] 1712596842528876327 ('BRV', 'ASK')
[CANCELLED] 1712596842528876290 ('DLO', 'BID')
[CANCELLED] 1712596842528876294 ('IGM', 'BID')
[CANCELLED] 1712596842528876296 ('BRV', 'BID')
[CANCELLED] 1712596842528876304 ('DLO', 'BID')
[CANCELLED] 1712596842528876306 ('DLO', 'BID')
[CANCELLED] 1712596842528876308 ('DLO', 'BID')
[REJECTED] 1712596842528876328 ('EPT', 'BID')
[REJECTED] 1712596842528876329 ('EPT', 'ASK')
[REJECTED] 1712596842528876332 ('MKU', 'BID')
[REJECTED] 1712596842528876333 ('MKU', 'ASK')
1712596842528876335 ('IGM', 'ASK') 3 5056 -9
1712596842528876336 ('BRV', 'BID') 6 4747 3
[REJECTED] 1712596842528876338 ('EPT', 'BID')
[REJECTED] 1712596842528876339 ('EPT', 'ASK')
[REJECTED] 1712596842528876340 ('EPT', 'BID')
[REJECTED] 1712596842528876341 ('EPT', 'ASK')
[REJECTED] 1712596842528876342 ('EPT', 'BID')
[REJECTED] 1712596842528876343 ('EPT', 'ASK')
[REJECTED] 1712596842528876344 ('DLO', 'BID')
[REJECTED] 1712596842528876345 ('DLO', 'ASK')
[REJECTED] 1712596842528876346 ('DLO', 'BID')
[REJECTED] 1712596842528876347 ('MKU', 'BID')
[REJECTED] 1712596842528876348 ('MKU', 'ASK')
[REJECTED] 1712596842528876349 ('MKU', 'BID')
[REJECTED] 1712596842528876350 ('MKU', 'ASK')
[REJECTED] 1712596842528876351 ('MKU', 'BID')
[REJECTED] 1712596842528876352 ('MKU', 'ASK')
[REJECTED] 1712596842528876353 ('IGM', 'BID')
[REJECTED] 1712596842528876354 ('IGM', 'ASK')
[REJECTED] 1712596842528876355 ('IGM', 'BID')
[REJECTED] 1712596842528876356 ('IGM', 'ASK')
[REJECTED] 1712596842528876357 ('IGM', 'BID')
[REJECTED] 1712596842528876358 ('IGM', 'ASK')
[REJECTED] 1712596842528876359 ('BRV', 'BID')
[REJECTED] 1712596842528876360 ('BRV', 'ASK')
[REJECTED] 1712596842528876361 ('BRV', 'BID')
[REJECTED] 1712596842528876362 ('BRV', 'ASK')
[REJECTED] 1712596842528876363 ('BRV', 'BID')
[REJECTED] 1712596842528876364 ('BRV', 'ASK')
1712596842528876331 ('DLO', 'ASK') 3 4822 0
[CANCELLED] 1712596842528876330 ('DLO', 'BID')
[CANCELLED] 1712596842528876334 ('IGM', 'BID')
[CANCELLED] 1712596842528876337 ('BRV', 'ASK')
[REJECTED] 1712596842528876365 ('EPT', 'BID')
[REJECTED] 1712596842528876366 ('EPT', 'ASK')
[REJECTED] 1712596842528876368 ('DLO', 'ASK')
[REJECTED] 1712596842528876369 ('MKU', 'BID')
[REJECTED] 1712596842528876370 ('MKU', 'ASK')
1712596842528876371 ('IGM', 'BID') 9 5080 1
[REJECTED] 1712596842528876374 ('BRV', 'ASK')
[REJECTED] 1712596842528876375 ('EPT', 'BID')
[REJECTED] 1712596842528876376 ('EPT', 'ASK')
[REJECTED] 1712596842528876377 ('EPT', 'BID')
[REJECTED] 1712596842528876378 ('EPT', 'ASK')
[REJECTED] 1712596842528876379 ('EPT', 'BID')
[REJECTED] 1712596842528876380 ('EPT', 'ASK')
[REJECTED] 1712596842528876381 ('DLO', 'BID')
[REJECTED] 1712596842528876382 ('DLO', 'ASK')
[REJECTED] 1712596842528876383 ('DLO', 'BID')
[REJECTED] 1712596842528876384 ('MKU', 'BID')
[REJECTED] 1712596842528876385 ('MKU', 'ASK')
[REJECTED] 1712596842528876386 ('MKU', 'BID')
[REJECTED] 1712596842528876387 ('MKU', 'ASK')
[REJECTED] 1712596842528876388 ('MKU', 'BID')
[REJECTED] 1712596842528876389 ('MKU', 'ASK')
[REJECTED] 1712596842528876390 ('IGM', 'BID')
[REJECTED] 1712596842528876391 ('IGM', 'ASK')
[REJECTED] 1712596842528876392 ('IGM', 'BID')
[REJECTED] 1712596842528876393 ('IGM', 'ASK')
[REJECTED] 1712596842528876394 ('IGM', 'BID')
[REJECTED] 1712596842528876395 ('IGM', 'ASK')
[REJECTED] 1712596842528876396 ('BRV', 'BID')
[REJECTED] 1712596842528876397 ('BRV', 'ASK')
[REJECTED] 1712596842528876398 ('BRV', 'BID')
[REJECTED] 1712596842528876399 ('BRV', 'ASK')
[REJECTED] 1712596842528876400 ('BRV', 'BID')
[REJECTED] 1712596842528876401 ('BRV', 'ASK')
1712596842528876367 ('DLO', 'BID') 30 4827 0
[REJECTED] 1712596852974810880 ('EPT', 'BID')
[REJECTED] 1712596852974810881 ('EPT', 'ASK')
1712596852974810883 ('DLO', 'ASK') 3 4747 -246
[REJECTED] 1712596852974810884 ('MKU', 'BID')
[REJECTED] 1712596852974810885 ('MKU', 'ASK')
1712596852974810887 ('IGM', 'ASK') 3 5102 -601
[REJECTED] 1712596852974810889 ('BRV', 'ASK')
[REJECTED] 1712596852974810890 ('EPT', 'BID')
[REJECTED] 1712596852974810891 ('EPT', 'ASK')
[REJECTED] 1712596852974810892 ('EPT', 'BID')
[REJECTED] 1712596852974810893 ('EPT', 'ASK')
[REJECTED] 1712596852974810894 ('EPT', 'BID')
[REJECTED] 1712596852974810895 ('EPT', 'ASK')
1712596852974810897 ('DLO', 'ASK') 10 4747 -226
1712596852974810899 ('DLO', 'ASK') 10 4747 -206
[REJECTED] 1712596852974810901 ('DLO', 'ASK')
[REJECTED] 1712596852974810902 ('MKU', 'BID')
[REJECTED] 1712596852974810903 ('MKU', 'ASK')
[REJECTED] 1712596852974810904 ('MKU', 'BID')
[REJECTED] 1712596852974810905 ('MKU', 'ASK')
