1712715879992584705 ('DLO', <Side.BUY: 1>) 1 4848 6
[CANCELLED] 1712715879992584760 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584761 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584742 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584762 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584764 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584766 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584767 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992584769 ('BRV', <Side.SELL: 2>)
1712715879992584771 ('EPT', <Side.BUY: 1>) 1 4656 0
1712715879992584775 ('BRV', <Side.BUY: 1>) 1 4627 5
1712715879992584773 ('MKU', <Side.BUY: 1>) 1 4583 0
1712715879992584782 ('DLO', <Side.BUY: 1>) 2 4814 0
1712715879992584800 ('BRV', <Side.BUY: 1>) 2 4612 0
[CANCELLED] 1712715879992584776 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584777 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584778 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584779 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584780 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584781 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584783 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584784 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584785 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584786 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584787 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584788 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584789 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584790 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584791 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584792 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584793 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584774 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584794 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584795 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992584796 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584797 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992584798 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584799 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992584801 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715879992584802 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584803 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715879992584804 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584805 ('BRV', <Side.SELL: 2>)
1712715879992584810 ('BRV', <Side.BUY: 1>) 1 4607 5
1712715879992584836 ('BRV', <Side.SELL: 2>) 2 4634 0
1712715879992584809 ('IGM', <Side.BUY: 1>) 1 5562 0
1712715879992584812 ('EPT', <Side.SELL: 2>) 2 4668 0
1712715879992584829 ('IGM', <Side.BUY: 1>) 2 5542 0
[CANCELLED] 1712715879992584806 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584811 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584813 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584814 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584815 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584816 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584807 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584817 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584818 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584819 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584820 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584821 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584822 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584808 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584823 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584824 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584825 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584826 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584827 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584828 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584830 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992584831 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584832 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992584833 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584834 ('IGM', <Side.SELL: 2>)
1712715879992584843 ('IGM', <Side.BUY: 1>) 1 5550 2
[CANCELLED] 1712715879992584835 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584837 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584838 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715879992584839 ('BRV', <Side.BUY: 1>)
1712715879992584870 ('BRV', <Side.SELL: 2>) 2 4654 0
1712715879992584852 ('DLO', <Side.SELL: 2>) 2 4838 0
1712715879992584864 ('IGM', <Side.SELL: 2>) 2 5574 0
1712715879992584858 ('MKU', <Side.SELL: 2>) 2 4626 0
1712715879992584872 ('BRV', <Side.SELL: 2>) 2 4674 0
1712715879992584866 ('IGM', <Side.SELL: 2>) 2 5594 0
1712715879992584840 ('EPT', <Side.BUY: 1>) 1 4658 0
1712715879992584860 ('MKU', <Side.SELL: 2>) 2 4646 0
1712715879992584868 ('IGM', <Side.SELL: 2>) 2 5614 0
1712715879992584845 ('EPT', <Side.BUY: 1>) 2 4638 0
1712715879992584862 ('MKU', <Side.SELL: 2>) 2 4666 0
1712715879992584847 ('EPT', <Side.BUY: 1>) 2 4618 0
1712715879992584854 ('DLO', <Side.SELL: 2>) 2 4858 0
[CANCELLED] 1712715879992584846 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584848 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584849 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584850 ('EPT', <Side.SELL: 2>)
1712715879992584873 ('EPT', <Side.BUY: 1>) 1 4615 24
[CANCELLED] 1712715879992584841 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584851 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584853 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584855 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584856 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584842 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584857 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584859 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584861 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584863 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584865 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584867 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584844 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584869 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584871 ('BRV', <Side.BUY: 1>)
1712715879992584878 ('EPT', <Side.BUY: 1>) 2 4615 4
1712715879992584897 ('IGM', <Side.SELL: 2>) 2 5686 -42
1712715879992584899 ('IGM', <Side.SELL: 2>) 2 5686 -22
1712715879992584901 ('IGM', <Side.SELL: 2>) 2 5686 -2
1712715879992584903 ('BRV', <Side.SELL: 2>) 2 4774 -16
1712715879992584905 ('BRV', <Side.SELL: 2>) 2 4778 0
1712715879992584891 ('MKU', <Side.SELL: 2>) 2 4685 0
1712715879992584893 ('MKU', <Side.SELL: 2>) 2 4705 0
1712715879992584907 ('BRV', <Side.SELL: 2>) 2 4798 0
1712715879992584880 ('EPT', <Side.BUY: 1>) 2 4599 0
1712715879992584885 ('DLO', <Side.SELL: 2>) 2 4877 0
1712715879992584895 ('MKU', <Side.SELL: 2>) 2 4725 0
1712715879992584887 ('DLO', <Side.SELL: 2>) 2 4897 0
1712715879992584882 ('EPT', <Side.BUY: 1>) 2 4579 0
[CANCELLED] 1712715879992584879 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584881 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584883 ('EPT', <Side.SELL: 2>)
1712715879992584908 ('EPT', <Side.BUY: 1>) 1 4577 2
[CANCELLED] 1712715879992584874 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584884 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584886 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584888 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584889 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584875 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584890 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584892 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584894 ('MKU', <Side.BUY: 1>)
1712715879992584910 ('MKU', <Side.BUY: 1>) 1 4713 6
[CANCELLED] 1712715879992584876 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584896 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584898 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584900 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584877 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584902 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584904 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584906 ('BRV', <Side.BUY: 1>)
1712715879992584912 ('BRV', <Side.BUY: 1>) 1 4863 15
1712715879992584909 ('DLO', <Side.BUY: 1>) 1 4883 0
1712715879992584913 ('EPT', <Side.BUY: 1>) 2 4559 0
1712715879992584937 ('BRV', <Side.BUY: 1>) 2 4858 0
1712715879992584932 ('IGM', <Side.SELL: 2>) 2 5785 0
1712715879992584938 ('BRV', <Side.SELL: 2>) 2 4901 0
1712715879992584934 ('IGM', <Side.SELL: 2>) 2 5805 0
1712715879992584940 ('BRV', <Side.SELL: 2>) 2 4921 0
1712715879992584936 ('IGM', <Side.SELL: 2>) 2 5825 0
[CANCELLED] 1712715879992584914 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584915 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584916 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584917 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584918 ('EPT', <Side.SELL: 2>)
1712715879992584926 ('MKU', <Side.SELL: 2>) 2 4747 0
1712715879992584943 ('EPT', <Side.BUY: 1>) 1 4538 21
[CANCELLED] 1712715879992584919 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584920 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584921 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584922 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584923 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584924 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584925 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584927 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584928 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584929 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584930 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584911 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584931 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584933 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584935 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584939 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584941 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584942 ('BRV', <Side.SELL: 2>)
1712715879992584948 ('EPT', <Side.BUY: 1>) 2 4538 1
1712715879992584967 ('IGM', <Side.SELL: 2>) 2 5849 -31
1712715879992584969 ('IGM', <Side.SELL: 2>) 2 5849 -11
1712715879992584973 ('BRV', <Side.SELL: 2>) 2 4940 -20
1712715879992584975 ('BRV', <Side.SELL: 2>) 2 4940 0
1712715879992584971 ('IGM', <Side.SELL: 2>) 2 5858 0
1712715879992584977 ('BRV', <Side.SELL: 2>) 2 4960 0
1712715879992584961 ('MKU', <Side.SELL: 2>) 2 4758 0
1712715879992584950 ('EPT', <Side.BUY: 1>) 2 4519 0
1712715879992584952 ('EPT', <Side.BUY: 1>) 2 4499 0
[CANCELLED] 1712715879992584949 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584951 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584953 ('EPT', <Side.SELL: 2>)
1712715879992584978 ('EPT', <Side.BUY: 1>) 1 4498 2
[CANCELLED] 1712715879992584944 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584954 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584955 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584956 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584957 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584958 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584959 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584945 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584960 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584962 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584963 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584964 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584965 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584946 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584966 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584968 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584970 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992584947 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584972 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584974 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992584976 ('BRV', <Side.BUY: 1>)
1712715879992585008 ('BRV', <Side.SELL: 2>) 2 5016 0
1712715879992584981 ('IGM', <Side.BUY: 1>) 1 5892 0
1712715879992585001 ('IGM', <Side.BUY: 1>) 2 5872 0
[CANCELLED] 1712715879992584983 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584984 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584985 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584986 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584987 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992584988 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992584979 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584989 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584990 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584991 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584992 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992584993 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992584994 ('DLO', <Side.SELL: 2>)
1712715879992585014 ('DLO', <Side.BUY: 1>) 1 4920 3
[CANCELLED] 1712715879992584980 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584995 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584996 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584997 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992584998 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992584999 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992585000 ('MKU', <Side.SELL: 2>)
1712715879992585015 ('MKU', <Side.BUY: 1>) 1 4775 13
[CANCELLED] 1712715879992585002 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992585003 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992585004 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992585005 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992585006 ('IGM', <Side.SELL: 2>)
1712715879992585016 ('IGM', <Side.BUY: 1>) 1 5869 4
[CANCELLED] 1712715879992584982 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992585007 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992585009 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992585010 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715879992585011 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992585012 ('BRV', <Side.SELL: 2>)
1712715879992585017 ('BRV', <Side.BUY: 1>) 1 5015 9
1712715879992585030 ('MKU', <Side.BUY: 1>) 2 4758 10
1712715879992585042 ('BRV', <Side.BUY: 1>) 2 4966 38
1712715879992585044 ('BRV', <Side.BUY: 1>) 2 4966 18
1712715879992585032 ('MKU', <Side.BUY: 1>) 2 4748 0
1712715879992585024 ('DLO', <Side.BUY: 1>) 2 4903 0
1712715879992585013 ('EPT', <Side.BUY: 1>) 1 4507 0
1712715879992585037 ('IGM', <Side.SELL: 2>) 2 5897 0
[CANCELLED] 1712715879992585018 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992585019 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992585020 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992585021 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992585022 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992585023 ('EPT', <Side.SELL: 2>)
1712715879992585045 ('EPT', <Side.BUY: 1>) 1 4491 17
[CANCELLED] 1712715879992585025 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992585026 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992585027 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992585028 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992585029 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992585031 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992585033 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992585034 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992585035 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992585036 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992585038 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992585039 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992585040 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992585041 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992585043 ('BRV', <Side.SELL: 2>)
1712715879992585075 ('BRV', <Side.SELL: 2>) 2 5009 -4
1712715879992585048 ('IGM', <Side.BUY: 1>) 1 5885 0
1712715879992585068 ('IGM', <Side.BUY: 1>) 2 5865 0
1712715879992585070 ('IGM', <Side.BUY: 1>) 2 5845 0
[CANCELLED] 1712715879992585050 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992585051 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992585052 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992585053 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992585054 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992585055 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992585046 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992585056 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992585057 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992585058 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992585059 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992585060 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992585061 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992585047 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992585062 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992585063 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992585064 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992585065 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992585066 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715879992585067 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715879992585069 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992585071 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715879992585072 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715879992585073 ('IGM', <Side.SELL: 2>)
1712715879992585083 ('IGM', <Side.BUY: 1>) 1 5845 30
[CANCELLED] 1712715879992585049 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992585074 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992585076 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992585077 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715879992585078 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715879992585079 ('BRV', <Side.SELL: 2>)
1712715879992585103 ('IGM', <Side.BUY: 1>) 2 5845 10
1712715879992585105 ('IGM', <Side.BUY: 1>) 2 5835 0
1712715879992585086 ('EPT', <Side.SELL: 2>) 2 4528 0
1712715879992585098 ('MKU', <Side.SELL: 2>) 2 4793 0
1712715879992585107 ('IGM', <Side.BUY: 1>) 2 5815 0
[CANCELLED] 1712715879992585080 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992585085 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992585087 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992585088 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992585089 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715879992585090 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715879992585081 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992585091 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992585092 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715879992585093 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715879992585094 ('DLO', <Side.SELL: 2>)
