1712715259482565892 ('BRV', <Side.BUY: 1>) 1 5384 4
1712715259482565982 ('BRV', <Side.BUY: 1>) 1 5586 9
1712715259482565995 ('MKU', <Side.BUY: 1>) 2 5047 0
1712715259482565979 ('DLO', <Side.BUY: 1>) 1 5017 0
1712715259482566002 ('IGM', <Side.SELL: 2>) 2 6293 0
[CANCELLED] 1712715259482565983 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482565984 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482565985 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482565986 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482565987 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482565988 ('EPT', <Side.SELL: 2>)
1712715259482566009 ('EPT', <Side.BUY: 1>) 1 4228 3
[CANCELLED] 1712715259482565989 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565990 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482565991 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565992 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482565993 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482565994 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482565996 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482565997 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482565998 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482565999 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566000 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482565981 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566001 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566003 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566004 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566005 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566006 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566007 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566008 ('BRV', <Side.SELL: 2>)
1712715259482566033 ('IGM', <Side.SELL: 2>) 2 6301 0
1712715259482566011 ('MKU', <Side.BUY: 1>) 1 5038 0
1712715259482566013 ('BRV', <Side.BUY: 1>) 1 5576 0
[CANCELLED] 1712715259482566014 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566015 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566016 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566017 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566018 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566019 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566010 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566020 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566021 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566022 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566023 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566024 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566025 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566026 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566027 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566028 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566029 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566030 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566031 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566012 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566032 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566034 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566035 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566036 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566037 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566038 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566039 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566040 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566041 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566042 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566043 ('BRV', <Side.SELL: 2>)
1712715259482566044 ('EPT', <Side.BUY: 1>) 1 4214 0
1712715259482566068 ('IGM', <Side.SELL: 2>) 2 6322 0
1712715259482566049 ('EPT', <Side.BUY: 1>) 2 4194 0
1712715259482566074 ('BRV', <Side.SELL: 2>) 2 5596 0
1712715259482566070 ('IGM', <Side.SELL: 2>) 2 6342 0
[CANCELLED] 1712715259482566050 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566051 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566052 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566053 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566054 ('EPT', <Side.SELL: 2>)
1712715259482566077 ('EPT', <Side.BUY: 1>) 1 4193 11
[CANCELLED] 1712715259482566045 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566055 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566056 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566057 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566058 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566059 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566060 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566046 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566061 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566062 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566063 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566064 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566065 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566066 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566047 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566067 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566069 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566071 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566072 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566048 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566073 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566075 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566076 ('BRV', <Side.SELL: 2>)
1712715259482566101 ('IGM', <Side.SELL: 2>) 2 6359 -17
1712715259482566095 ('MKU', <Side.SELL: 2>) 2 5041 0
1712715259482566103 ('IGM', <Side.SELL: 2>) 2 6362 0
1712715259482566107 ('BRV', <Side.SELL: 2>) 2 5595 0
1712715259482566109 ('BRV', <Side.SELL: 2>) 2 5615 0
1712715259482566082 ('EPT', <Side.BUY: 1>) 2 4184 0
1712715259482566089 ('DLO', <Side.SELL: 2>) 2 5036 0
1712715259482566105 ('IGM', <Side.SELL: 2>) 2 6382 0
1712715259482566097 ('MKU', <Side.SELL: 2>) 2 5061 0
1712715259482566099 ('MKU', <Side.SELL: 2>) 2 5081 0
[CANCELLED] 1712715259482566083 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566084 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566085 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566086 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566087 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566078 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566088 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566090 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566091 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566092 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566093 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566079 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566094 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566096 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566098 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566080 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566100 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566102 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566104 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566081 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566106 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566108 ('BRV', <Side.BUY: 1>)
1712715259482566112 ('MKU', <Side.BUY: 1>) 1 5072 0
1712715259482566110 ('EPT', <Side.BUY: 1>) 1 4165 0
1712715259482566134 ('IGM', <Side.SELL: 2>) 2 6436 0
[CANCELLED] 1712715259482566115 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566116 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566117 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566118 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566119 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566120 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566111 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566121 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566122 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566123 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566124 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566125 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566126 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566127 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566128 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566129 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566130 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566131 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566132 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566113 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566133 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566135 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566136 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566137 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566138 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566114 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566139 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566140 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566141 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566142 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566143 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566144 ('BRV', <Side.SELL: 2>)
1712715259482566145 ('EPT', <Side.BUY: 1>) 1 4152 0
1712715259482566169 ('IGM', <Side.SELL: 2>) 2 6456 0
1712715259482566150 ('EPT', <Side.BUY: 1>) 2 4132 0
1712715259482566146 ('DLO', <Side.BUY: 1>) 1 5050 0
1712715259482566171 ('IGM', <Side.SELL: 2>) 2 6476 0
[CANCELLED] 1712715259482566151 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566152 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566153 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566154 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566155 ('EPT', <Side.SELL: 2>)
1712715259482566176 ('EPT', <Side.BUY: 1>) 1 4132 2
[CANCELLED] 1712715259482566156 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566157 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566158 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566159 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566160 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566161 ('DLO', <Side.SELL: 2>)
1712715259482566177 ('DLO', <Side.BUY: 1>) 1 5050 0
[CANCELLED] 1712715259482566147 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566162 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566163 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566164 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566165 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566166 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566167 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566148 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566168 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566170 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566172 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566173 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566149 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566174 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566175 ('BRV', <Side.SELL: 2>)
1712715259482566178 ('MKU', <Side.BUY: 1>) 1 5071 0
1712715259482566187 ('DLO', <Side.BUY: 1>) 2 5030 0
1712715259482566179 ('IGM', <Side.BUY: 1>) 1 6468 0
[CANCELLED] 1712715259482566181 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566182 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566183 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566184 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566185 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566186 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566188 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566189 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566190 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566191 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566192 ('DLO', <Side.SELL: 2>)
1712715259482566193 ('MKU', <Side.BUY: 1>) 2 5051 0
1712715259482566212 ('DLO', <Side.BUY: 1>) 1 5023 7
[CANCELLED] 1712715259482566194 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566195 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566196 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566197 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566198 ('MKU', <Side.SELL: 2>)
1712715259482566213 ('MKU', <Side.BUY: 1>) 1 5051 5
[CANCELLED] 1712715259482566199 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566200 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566201 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566202 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566203 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566204 ('IGM', <Side.SELL: 2>)
1712715259482566214 ('IGM', <Side.BUY: 1>) 1 6461 7
1712715259482566211 ('EPT', <Side.BUY: 1>) 1 4115 0
1712715259482566180 ('BRV', <Side.BUY: 1>) 1 5677 0
[CANCELLED] 1712715259482566205 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566206 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566207 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566208 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566209 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566210 ('BRV', <Side.SELL: 2>)
1712715259482566215 ('BRV', <Side.BUY: 1>) 1 5675 7
1712715259482566222 ('DLO', <Side.BUY: 1>) 2 5010 0
1712715259482566228 ('MKU', <Side.BUY: 1>) 2 5036 0
1712715259482566216 ('EPT', <Side.BUY: 1>) 2 4095 0
1712715259482566240 ('BRV', <Side.BUY: 1>) 2 5662 0
1712715259482566235 ('IGM', <Side.SELL: 2>) 2 6490 0
[CANCELLED] 1712715259482566217 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566218 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566219 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566220 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566221 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566223 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566224 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566225 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566226 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566227 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566229 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566230 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566231 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566232 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566233 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566234 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566236 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566237 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566238 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566239 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566241 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566242 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712715259482566243 ('BRV', <Side.SELL: 2>)
1712715259482566248 ('BRV', <Side.BUY: 1>) 1 5658 0
1712715259482566246 ('MKU', <Side.BUY: 1>) 1 5024 0
1712715259482566273 ('BRV', <Side.BUY: 1>) 2 5638 0
1712715259482566245 ('DLO', <Side.BUY: 1>) 1 4996 0
1712715259482566261 ('MKU', <Side.BUY: 1>) 2 5004 0
1712715259482566247 ('IGM', <Side.BUY: 1>) 1 6491 0
1712715259482566275 ('BRV', <Side.BUY: 1>) 2 5618 0
1712715259482566277 ('BRV', <Side.BUY: 1>) 2 5598 0
1712715259482566250 ('EPT', <Side.SELL: 2>) 2 4112 0
1712715259482566267 ('IGM', <Side.BUY: 1>) 2 6471 0
1712715259482566263 ('MKU', <Side.BUY: 1>) 2 4984 0
1712715259482566269 ('IGM', <Side.BUY: 1>) 2 6451 0
[CANCELLED] 1712715259482566244 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566249 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566251 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566252 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566253 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712715259482566254 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712715259482566255 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566256 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566257 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566258 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566259 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712715259482566260 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712715259482566262 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566264 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712715259482566265 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712715259482566266 ('MKU', <Side.SELL: 2>)
1712715259482566281 ('MKU', <Side.BUY: 1>) 1 4984 1
[CANCELLED] 1712715259482566268 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566270 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712715259482566271 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712715259482566272 ('IGM', <Side.SELL: 2>)
1712715259482566282 ('IGM', <Side.BUY: 1>) 1 6446 8
[CANCELLED] 1712715259482566274 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712715259482566276 ('BRV', <Side.SELL: 2>)
