1712705588984174593 ('DLO', <Side.BUY: 1>) 3 4918 0
[REJECTED] 1712705613421836569 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705613421836570 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705613421836571 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705613421836572 ('IGM', <Side.SELL: 2>)
1712705613421836573 ('BRV', <Side.BUY: 1>) 2 4840 7
[REJECTED] 1712705613421836576 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705613421836577 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705613421836578 ('BRV', <Side.SELL: 2>)
1712705613421836575 ('BRV', <Side.BUY: 1>) 2 4827 0
1712705613421836545 ('DLO', <Side.BUY: 1>) 1 4943 0
1712705613421836561 ('MKU', <Side.BUY: 1>) 2 4904 0
[REJECTED] 1712705630903301120 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301121 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301123 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301125 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301126 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301127 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301128 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301129 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301130 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301131 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301132 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301133 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301134 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301135 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301136 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301137 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301138 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301139 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301140 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301141 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301142 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301143 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301144 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301145 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301146 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301147 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301148 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301149 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301150 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301151 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301152 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301153 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301154 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301155 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301156 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301157 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301158 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301159 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301160 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301161 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301162 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301163 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301164 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301165 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301166 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301167 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301168 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301169 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301170 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301171 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301172 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301173 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301174 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301175 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301176 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301177 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301178 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301179 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301180 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301181 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301182 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301183 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301184 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301185 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301186 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301187 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301188 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301189 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301190 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301191 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301192 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301193 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301194 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301195 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301196 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301197 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301198 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301199 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301200 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301201 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301202 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301203 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301204 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301205 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301206 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301207 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301208 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301209 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301210 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301211 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301212 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301213 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301214 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301215 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301216 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301217 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301218 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301219 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301220 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301221 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301222 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301223 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301224 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301225 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301226 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301227 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301228 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301229 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301230 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301231 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301232 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301233 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301234 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301235 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301236 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301237 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301238 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301239 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301240 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301241 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301242 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301243 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301244 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301245 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301246 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301247 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301248 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301249 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301250 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301251 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301252 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301253 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301254 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301255 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301256 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301257 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301258 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301259 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301260 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301261 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301262 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301263 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301264 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301265 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301266 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301267 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301268 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301269 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301270 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301271 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301272 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301273 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301274 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301275 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301276 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301277 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301278 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301279 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301280 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301281 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301282 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301283 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301284 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301285 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301286 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301287 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301288 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301289 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301290 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301291 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301292 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301293 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301294 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301295 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301296 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301297 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301298 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301299 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301300 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301301 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301302 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301303 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301304 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301305 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301306 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301307 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301308 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301309 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301310 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301311 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301312 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301313 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301314 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301315 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301316 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301317 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301318 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301319 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301320 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301321 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301322 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301323 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301324 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301325 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301326 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301327 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301328 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301329 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301330 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301331 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301332 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301333 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301334 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301335 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301336 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301337 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301338 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301339 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301340 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301341 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301342 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301343 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712705630903301344 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712705630903301345 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301346 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301347 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301348 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301349 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712705630903301350 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712705630903301351 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301352 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301353 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301354 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301355 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712705630903301356 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712705630903301357 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301358 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301359 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301360 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301361 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712705630903301362 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712705630903301363 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301364 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301365 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301366 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712705630903301367 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712705630903301368 ('BRV', <Side.SELL: 2>)
1712705645482558976 ('EPT', <Side.BUY: 1>) 1 4778 0
1712705645482558980 ('BRV', <Side.BUY: 1>) 1 5188 0
1712705645482559005 ('BRV', <Side.BUY: 1>) 2 5168 0
1712705645482558978 ('MKU', <Side.BUY: 1>) 1 5051 0
1712705645482558977 ('DLO', <Side.BUY: 1>) 1 4964 0
1712705645482558979 ('IGM', <Side.BUY: 1>) 1 5621 0
1712705645482559007 ('BRV', <Side.BUY: 1>) 2 5148 0
1712705645482558993 ('MKU', <Side.BUY: 1>) 2 5031 0
1712705645482559009 ('BRV', <Side.BUY: 1>) 2 5128 0
1712705645482558999 ('IGM', <Side.BUY: 1>) 2 5601 0
1712705645482558987 ('DLO', <Side.BUY: 1>) 2 4944 0
1712705645482558995 ('MKU', <Side.BUY: 1>) 2 5011 0
1712705645482558982 ('EPT', <Side.SELL: 2>) 2 4819 0
1712705645482559001 ('IGM', <Side.BUY: 1>) 2 5581 0
1712705645482559012 ('DLO', <Side.BUY: 1>) 1 4946 20
1712705645482559013 ('MKU', <Side.BUY: 1>) 1 4999 58
1712705645482559014 ('IGM', <Side.BUY: 1>) 1 5571 51
1712705645482559015 ('BRV', <Side.BUY: 1>) 1 5077 113
1712705645482559017 ('EPT', <Side.SELL: 2>) 2 4821 -1
[REJECTED] 1712705645482559021 ('EPT', <Side.SELL: 2>)
1712705645482559022 ('DLO', <Side.BUY: 1>) 2 4946 0
1712705645482558997 ('MKU', <Side.BUY: 1>) 2 4991 0
1712705645482559011 ('EPT', <Side.BUY: 1>) 10 4787 0
1712705645482559027 ('EPT', <Side.BUY: 1>) 10 4782 28
1712705645482559029 ('DLO', <Side.BUY: 1>) 10 4949 2
1712705645482559031 ('IGM', <Side.BUY: 1>) 4 5624 8
1712705645482559030 ('MKU', <Side.BUY: 1>) 10 5011 0
1712705645482559028 ('EPT', <Side.BUY: 1>) 10 4773 0
1712705645482559016 ('EPT', <Side.BUY: 1>) 2 4767 0
1712705645482559034 ('MKU', <Side.BUY: 1>) 2 4975 24
1712705645482559032 ('EPT', <Side.BUY: 1>) 9 4774 0
1712705645482559000 ('IGM', <Side.SELL: 2>) 2 5662 0
1712705645482559002 ('IGM', <Side.SELL: 2>) 2 5682 0
1712705645482559004 ('IGM', <Side.SELL: 2>) 2 5702 0
[REJECTED] 1712705645482559036 ('DLO', <Side.BUY: 1>)
1712705645482559023 ('DLO', <Side.SELL: 2>) 2 4998 0
1712705645482559039 ('DLO', <Side.BUY: 1>) 9 4991 0
[REJECTED] 1712705645482559041 ('EPT', <Side.BUY: 1>)
1712705645482559040 ('MKU', <Side.BUY: 1>) 1 5042 0
1712705645482559042 ('DLO', <Side.BUY: 1>) 4 4972 28
1712705645482559037 ('MKU', <Side.BUY: 1>) 9 5002 0
[REJECTED] 1712705645482559043 ('EPT', <Side.BUY: 1>)
1712705645482559044 ('DLO', <Side.BUY: 1>) 2 4953 24
1712705645482559035 ('EPT', <Side.BUY: 1>) 8 4760 0
1712705645482559038 ('EPT', <Side.BUY: 1>) 7 4759 0
