[REJECTED] 1712716296886696720 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696820 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696807 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696822 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696823 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696824 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696825 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696826 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696827 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696829 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696830 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696831 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696832 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696833 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696809 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696834 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696836 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696837 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886696838 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696839 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712716296886696856 ('DLO', <Side.SELL: 2>)
1712716296886696864 ('IGM', <Side.SELL: 2>) 2 4865 0
1712716296886696866 ('IGM', <Side.SELL: 2>) 2 4885 0
1712716296886696870 ('BRV', <Side.SELL: 2>) 2 5361 0
1712716296886696844 ('BRV', <Side.BUY: 1>) 1 5327 0
1712716296886696842 ('MKU', <Side.BUY: 1>) 1 5275 0
1712716296886696841 ('DLO', <Side.BUY: 1>) 1 5156 0
1712716296886696869 ('BRV', <Side.BUY: 1>) 2 5307 0
1712716296886696857 ('MKU', <Side.BUY: 1>) 2 5255 0
1712716296886696871 ('BRV', <Side.BUY: 1>) 2 5287 0
[CANCELLED] 1712716296886696845 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696846 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696847 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696848 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696849 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696850 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696851 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696852 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696853 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696854 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696855 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696858 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696859 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696860 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696861 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696862 ('MKU', <Side.SELL: 2>)
1712716296886696876 ('MKU', <Side.BUY: 1>) 1 5241 15
[CANCELLED] 1712716296886696843 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696863 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696865 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696867 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696868 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696872 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886696873 ('BRV', <Side.BUY: 1>)
1712716296886696878 ('BRV', <Side.BUY: 1>) 1 5283 28
[REJECTED] 1712716296886696890 ('DLO', <Side.SELL: 2>)
1712716296886696874 ('EPT', <Side.BUY: 1>) 1 5112 0
1712716296886696875 ('DLO', <Side.BUY: 1>) 1 5144 0
1712716296886696903 ('BRV', <Side.BUY: 1>) 2 5264 27
1712716296886696905 ('BRV', <Side.BUY: 1>) 2 5264 7
1712716296886696891 ('MKU', <Side.BUY: 1>) 2 5236 0
1712716296886696907 ('BRV', <Side.BUY: 1>) 2 5251 0
1712716296886696893 ('MKU', <Side.BUY: 1>) 2 5216 0
1712716296886696895 ('MKU', <Side.BUY: 1>) 2 5196 0
1712716296886696877 ('IGM', <Side.BUY: 1>) 1 4852 0
1712716296886696885 ('DLO', <Side.BUY: 1>) 2 5124 0
1712716296886696897 ('IGM', <Side.BUY: 1>) 2 4832 0
1712716296886696899 ('IGM', <Side.BUY: 1>) 2 4812 0
1712716296886696887 ('DLO', <Side.BUY: 1>) 2 5104 0
[CANCELLED] 1712716296886696879 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696880 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696881 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696882 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696883 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696884 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696886 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696888 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696889 ('DLO', <Side.BUY: 1>)
1712716296886696910 ('DLO', <Side.BUY: 1>) 1 5097 8
[CANCELLED] 1712716296886696892 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696894 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696896 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696898 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696900 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696901 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696902 ('IGM', <Side.SELL: 2>)
1712716296886696912 ('IGM', <Side.BUY: 1>) 1 4795 18
[CANCELLED] 1712716296886696904 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886696906 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886696908 ('BRV', <Side.SELL: 2>)
1712716296886696913 ('BRV', <Side.BUY: 1>) 1 5128 24
1712716296886696938 ('BRV', <Side.BUY: 1>) 2 5128 4
1712716296886696932 ('IGM', <Side.BUY: 1>) 2 4793 0
1712716296886696915 ('EPT', <Side.SELL: 2>) 2 5150 0
[CANCELLED] 1712716296886696909 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696914 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696916 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696917 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696918 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696919 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696920 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696921 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696922 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696923 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696924 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696925 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696911 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696926 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696927 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696928 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696929 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696930 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696931 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696933 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696934 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696935 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696936 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696937 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696939 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886696940 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696941 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886696942 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696943 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712716296886696960 ('DLO', <Side.SELL: 2>)
1712716296886696948 ('BRV', <Side.BUY: 1>) 1 5168 0
1712716296886696968 ('IGM', <Side.SELL: 2>) 2 4858 0
[CANCELLED] 1712716296886696944 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696949 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696950 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696951 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696952 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696953 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696954 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696945 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696955 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696956 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696957 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696958 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696959 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696946 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696961 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696962 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696963 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696964 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696965 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696966 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696947 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696967 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696969 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696970 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696971 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886696972 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696973 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696974 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886696975 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886696976 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886696977 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712716296886696994 ('DLO', <Side.SELL: 2>)
1712716296886696978 ('EPT', <Side.BUY: 1>) 1 5141 0
1712716296886697002 ('IGM', <Side.SELL: 2>) 2 4885 0
1712716296886697008 ('BRV', <Side.SELL: 2>) 2 5200 0
[CANCELLED] 1712716296886696983 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696984 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696985 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696986 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696987 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886696988 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886696979 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696989 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696990 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696991 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696992 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886696993 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886696980 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696995 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696996 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696997 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886696998 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696999 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697000 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886696981 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697001 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697003 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697004 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697005 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697006 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886696982 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697007 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697009 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697010 ('BRV', <Side.SELL: 2>)
1712716296886697015 ('BRV', <Side.BUY: 1>) 1 5204 2
[REJECTED] 1712716296886697027 ('DLO', <Side.SELL: 2>)
1712716296886697014 ('IGM', <Side.BUY: 1>) 1 4903 0
1712716296886697012 ('DLO', <Side.BUY: 1>) 1 5146 0
1712716296886697013 ('MKU', <Side.BUY: 1>) 1 5197 0
1712716296886697040 ('BRV', <Side.BUY: 1>) 2 5186 0
[CANCELLED] 1712716296886697011 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697016 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697017 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697018 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697019 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697020 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697021 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697022 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697023 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697024 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697025 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697026 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697028 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697029 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697030 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697031 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697032 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697033 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697034 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697035 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697036 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697037 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697038 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697039 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697041 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697042 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697043 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697044 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697045 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712716296886697062 ('DLO', <Side.SELL: 2>)
1712716296886697046 ('EPT', <Side.BUY: 1>) 1 5152 0
1712716296886697050 ('BRV', <Side.BUY: 1>) 1 5167 0
1712716296886697048 ('MKU', <Side.BUY: 1>) 1 5178 0
1712716296886697047 ('DLO', <Side.BUY: 1>) 1 5127 0
1712716296886697070 ('IGM', <Side.SELL: 2>) 2 4907 0
1712716296886697051 ('EPT', <Side.BUY: 1>) 2 5132 0
[CANCELLED] 1712716296886697052 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697053 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697054 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697055 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697056 ('EPT', <Side.SELL: 2>)
1712716296886697080 ('EPT', <Side.BUY: 1>) 1 5131 2
[CANCELLED] 1712716296886697057 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697058 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697059 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697060 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697061 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697063 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697064 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697065 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697066 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697067 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697068 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697049 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697069 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697071 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697072 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697073 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697074 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697075 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697076 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697077 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697078 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697079 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712716296886697096 ('DLO', <Side.SELL: 2>)
1712716296886697083 ('IGM', <Side.BUY: 1>) 1 4903 0
1712716296886697103 ('IGM', <Side.BUY: 1>) 2 4883 0
1712716296886697105 ('IGM', <Side.BUY: 1>) 2 4863 0
1712716296886697084 ('BRV', <Side.BUY: 1>) 1 5148 0
1712716296886697109 ('BRV', <Side.BUY: 1>) 2 5128 0
1712716296886697082 ('MKU', <Side.BUY: 1>) 1 5159 0
1712716296886697086 ('EPT', <Side.SELL: 2>) 2 5164 0
1712716296886697107 ('IGM', <Side.BUY: 1>) 2 4843 0
1712716296886697081 ('DLO', <Side.BUY: 1>) 1 5111 0
1712716296886697111 ('BRV', <Side.BUY: 1>) 2 5108 0
1712716296886697113 ('BRV', <Side.BUY: 1>) 2 5088 0
1712716296886697097 ('MKU', <Side.BUY: 1>) 2 5139 0
[CANCELLED] 1712716296886697085 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697087 ('EPT', <Side.BUY: 1>)
