1712534590239372800 ('EPT', 'BID') 1 4485
1712534590239373478 ('MKU', 'BID') 1 4498
1712534590239373452 ('MKU', 'BID') 1 4497
1712534590239373551 ('IGM', 'ASK') 1 5596
1712534590239373544 ('EPT', 'BID') 1 4480
1712534590239373574 ('IGM', 'ASK') 1 5655
1712534590239373567 ('EPT', 'BID') 1 4458
1712534590239373474 ('EPT', 'BID') 1 4440
1712534590239373576 ('BRV', 'ASK') 1 4830
1712534590239373084 ('EPT', 'BID') 1 4428
1712534590239373590 ('EPT', 'BID') 1 4428
1712534590239373597 ('IGM', 'ASK') 1 5696
1712534590239373594 ('MKU', 'BID') 1 4487
1712534590239373571 ('MKU', 'BID') 1 4486
1712534590239373599 ('BRV', 'ASK') 1 4815
1712534590239373548 ('MKU', 'BID') 1 4482
1712534590239373407 ('MKU', 'BID') 1 4481
1712534590239373619 ('IGM', 'ASK') 1 5765
1712534590239373612 ('EPT', 'BID') 1 4397
1712534590239373615 ('DLO', 'ASK') 1 5181
1712534590239373593 ('DLO', 'ASK') 1 5190
1712534590239373621 ('BRV', 'ASK') 1 4829
1712534590239373616 ('MKU', 'BID') 1 4474
1712534590239373553 ('BRV', 'ASK') 1 4844
1712534590239373617 ('MKU', 'ASK') 1 4516
1712534590239373595 ('MKU', 'ASK') 1 4517
1712534590239373572 ('MKU', 'ASK') 1 4518
1712534590239373549 ('MKU', 'ASK') 1 4519
1712534590239373527 ('MKU', 'ASK') 1 4560
1712534590239373640 ('MKU', 'ASK') 1 4509
1712534590239373644 ('BRV', 'ASK') 1 4877
1712534590239373638 ('DLO', 'ASK') 1 5202
1712534590239373531 ('BRV', 'ASK') 1 4888
1712534590239373666 ('MKU', 'ASK') 1 4564
1712534590239373661 ('EPT', 'BID') 1 4408
1712534590239373504 ('MKU', 'ASK') 1 4576
1712534590239373272 ('MKU', 'ASK') 1 4577
1712534590239373670 ('BRV', 'ASK') 1 4901
1712534590239373635 ('EPT', 'BID') 1 4406
1712534590239373203 ('MKU', 'ASK') 1 4578
1712534590239372951 ('MKU', 'ASK') 1 4592
1712534590239373508 ('BRV', 'ASK') 1 4939
1712534590239373693 ('BRV', 'ASK') 1 4942
1712534590239373689 ('MKU', 'ASK') 1 4582
1712534590239373691 ('IGM', 'ASK') 1 5744
1712534590239373684 ('EPT', 'BID') 1 4404
1712534590239373668 ('IGM', 'ASK') 1 5749
1712534590239373483 ('BRV', 'ASK') 1 4963
1712534590239373457 ('BRV', 'ASK') 1 4964
1712534590239373642 ('IGM', 'ASK') 1 5775
1712534590239373712 ('MKU', 'ASK') 1 4639
1712534590239373716 ('BRV', 'ASK') 1 4973
1712534590239373714 ('IGM', 'ASK') 1 5762
1712534590239373707 ('EPT', 'BID') 1 4394
1712534590239373710 ('DLO', 'ASK') 1 5145
1712534590239373687 ('DLO', 'ASK') 1 5158
1712534590239373435 ('BRV', 'ASK') 1 4983
1712534590239373412 ('BRV', 'ASK') 1 5002
1712534590239373731 ('EPT', 'BID') 1 4363
1712534590239373738 ('IGM', 'ASK') 1 5802
1712534590239373740 ('BRV', 'ASK') 1 5022
1712534590239373734 ('DLO', 'ASK') 1 5154
1712534590239373736 ('MKU', 'ASK') 1 4636
1712534590239373759 ('MKU', 'ASK') 1 4652
1712534590239373761 ('IGM', 'ASK') 1 5849
1712534590239373763 ('BRV', 'ASK') 1 5018
1712534590239373783 ('IGM', 'ASK') 1 5891
1712534590239373785 ('BRV', 'ASK') 1 5037
1712534590239373390 ('BRV', 'ASK') 1 5054
1712534590239373776 ('EPT', 'BID') 1 4417
1712534590239373808 ('BRV', 'ASK') 1 5064
1712534590239373799 ('EPT', 'BID') 1 4401
1712534590239373804 ('MKU', 'ASK') 1 4629
1712534590239373827 ('MKU', 'ASK') 1 4634
1712534590239373831 ('BRV', 'ASK') 1 5103
1712534590239373822 ('EPT', 'BID') 1 4394
1712534590239373851 ('IGM', 'ASK') 1 5827
1712534590239373853 ('BRV', 'ASK') 1 5092
1712534590239373847 ('DLO', 'ASK') 1 5118
1712534590239373829 ('IGM', 'ASK') 1 5855
1712534590239373873 ('IGM', 'ASK') 1 5858
1712534590239373875 ('BRV', 'ASK') 1 5115
1712534590239373866 ('EPT', 'BID') 1 4419
1712534590239373844 ('EPT', 'BID') 1 4401
1712534590239373893 ('EPT', 'BID') 1 4401
1712534590239373902 ('BRV', 'ASK') 1 5170
1712534590239373896 ('DLO', 'ASK') 1 5108
1712534590239373898 ('MKU', 'ASK') 1 4619
1712534590239373871 ('MKU', 'ASK') 1 4626
1712534590239373849 ('MKU', 'ASK') 1 4645
1712534590239373781 ('MKU', 'ASK') 1 4659
1712534590239373919 ('DLO', 'ASK') 1 5121
1712534590239373921 ('MKU', 'ASK') 1 4650
1712534590239373916 ('EPT', 'BID') 1 4394
1712534590239373754 ('EPT', 'BID') 1 4391
1712534590239373923 ('IGM', 'ASK') 1 5837
1712534590239373939 ('EPT', 'BID') 1 4358
1712534590239373944 ('MKU', 'ASK') 1 4680
1712534590239373946 ('IGM', 'ASK') 1 5847
1712534590239373968 ('IGM', 'ASK') 1 5857
1712534590239373900 ('IGM', 'ASK') 1 5858
1712534590239373966 ('MKU', 'ASK') 1 4667
1712534590239373991 ('MKU', 'ASK') 1 4710
1712534590239373993 ('IGM', 'ASK') 1 5893
1712534590239373986 ('EPT', 'BID') 1 4364
1712534590239373961 ('EPT', 'BID') 1 4363
1712534590239374008 ('EPT', 'BID') 1 4353
1712534590239374017 ('BRV', 'ASK') 1 5111
1712534590239374030 ('EPT', 'BID') 1 4304
1712534590239374037 ('IGM', 'ASK') 1 5803
1712534590239374061 ('BRV', 'ASK') 1 5085
1712534590239374057 ('MKU', 'ASK') 1 4584
1712534590239374039 ('BRV', 'ASK') 1 5130
1712534590239374083 ('BRV', 'ASK') 1 5135
1712534590239373995 ('BRV', 'ASK') 1 5136
1712534590239373970 ('BRV', 'ASK') 1 5143
1712534590239373948 ('BRV', 'ASK') 1 5144
1712534590239373925 ('BRV', 'ASK') 1 5146
1712534590239374074 ('EPT', 'BID') 1 4298
1712534590239374077 ('DLO', 'ASK') 1 5038
1712534590239374052 ('EPT', 'BID') 1 4288
1712534590239374081 ('IGM', 'ASK') 1 5785
1712534590239374102 ('MKU', 'ASK') 1 4601
1712534590239374079 ('MKU', 'ASK') 1 4602
1712534590239374106 ('BRV', 'ASK') 1 5167
1712534590239374097 ('EPT', 'BID') 1 4293
1712534590239374100 ('DLO', 'ASK') 1 5041
1712534590239374104 ('IGM', 'ASK') 1 5782
1712534590239374055 ('DLO', 'ASK') 1 5042
1712534590239374035 ('MKU', 'ASK') 1 4628
1712534590239374129 ('BRV', 'ASK') 1 5221
1712534590239374125 ('MKU', 'ASK') 1 4634
1712534590239374120 ('EPT', 'BID') 1 4267
1712534590239374147 ('DLO', 'ASK') 1 5046
1712534590239374123 ('DLO', 'ASK') 1 5050
1712534590239374151 ('IGM', 'ASK') 1 5784
1712534590239374033 ('DLO', 'ASK') 1 5059
1712534590239374175 ('BRV', 'ASK') 1 5166
1712534590239374196 ('IGM', 'ASK') 1 5739
1712534590239374192 ('DLO', 'ASK') 1 5058
1712534590239374169 ('DLO', 'ASK') 1 5059
1712534590239374011 ('DLO', 'ASK') 1 5060
1712534590239374173 ('IGM', 'ASK') 1 5793
1712534590239374127 ('IGM', 'ASK') 1 5794
1712534590239374059 ('IGM', 'ASK') 1 5816
1712534590239374015 ('IGM', 'ASK') 1 5871
1712534590239374219 ('IGM', 'ASK') 1 5793
1712534590239374221 ('BRV', 'ASK') 1 5148
1712534590239374212 ('EPT', 'BID') 1 4367
1712534590239374189 ('EPT', 'BID') 1 4366
1712534590239374217 ('MKU', 'ASK') 1 4545
1712534590239374240 ('MKU', 'ASK') 1 4536
1712534590239374238 ('DLO', 'ASK') 1 5054
1712534590239374235 ('EPT', 'BID') 1 4354
1712534590239374215 ('DLO', 'ASK') 1 5065
1712534590239374265 ('IGM', 'ASK') 1 5853
1712534590239374263 ('MKU', 'ASK') 1 4564
1712534590239374286 ('MKU', 'ASK') 1 4564
1712534590239374194 ('MKU', 'ASK') 1 4565
1712534590239374288 ('IGM', 'ASK') 1 5865
1712534590239374171 ('MKU', 'ASK') 1 4596
1712534590239374304 ('EPT', 'BID') 1 4365
1712534590239374309 ('MKU', 'ASK') 1 4581
1712534590239374311 ('IGM', 'ASK') 1 5870
1712534590239374313 ('BRV', 'ASK') 1 5090
1712534590239374281 ('EPT', 'BID') 1 4359
1712534590239374242 ('IGM', 'ASK') 1 5876
1712534590239374258 ('EPT', 'BID') 1 4345
1712534590239374290 ('BRV', 'ASK') 1 5114
1712534590239374334 ('IGM', 'ASK') 1 5904
1712534590239373806 ('IGM', 'ASK') 1 5911
1712534590239374327 ('EPT', 'BID') 1 4314
1712534590239374166 ('EPT', 'BID') 1 4306
1712534590239374350 ('EPT', 'BID') 1 4313
1712534590239374353 ('DLO', 'ASK') 1 5024
1712534590239374330 ('DLO', 'ASK') 1 5028
1712534590239374401 ('IGM', 'ASK') 1 5926
1712534590239374403 ('BRV', 'ASK') 1 5051
1712534590239374394 ('EPT', 'BID') 1 4288
1712534590239374372 ('EPT', 'BID') 1 4287
1712534590239374379 ('IGM', 'ASK') 1 5941
1712534590239374399 ('MKU', 'ASK') 1 4556
1712534590239374357 ('IGM', 'ASK') 1 5952
1712534590239374419 ('DLO', 'ASK') 1 4989
1712534590239374439 ('EPT', 'BID') 1 4325
1712534590239374471 ('BRV', 'ASK') 1 5058
1712534590239374465 ('DLO', 'ASK') 1 5005
1712534590239374442 ('DLO', 'ASK') 1 5008
1712534590239374397 ('DLO', 'ASK') 1 5011
1712534590239374448 ('BRV', 'ASK') 1 5062
1712534590239374425 ('BRV', 'ASK') 1 5074
1712534590239374381 ('BRV', 'ASK') 1 5080
1712534590239374467 ('MKU', 'ASK') 1 4534
1712534590239374490 ('MKU', 'ASK') 1 4537
1712534590239374485 ('EPT', 'BID') 1 4316
1712534590239374444 ('MKU', 'ASK') 1 4548
1712534590239374421 ('MKU', 'ASK') 1 4567
1712534590239374515 ('IGM', 'ASK') 1 5764
1712534590239374511 ('DLO', 'ASK') 1 5017
1712534590239374508 ('EPT', 'BID') 1 4295
1712534590239374488 ('DLO', 'ASK') 1 5029
1712534590239374375 ('DLO', 'ASK') 1 5030
1712534590239374307 ('DLO', 'ASK') 1 5031
1712534590239374533 ('DLO', 'ASK') 1 5037
1712534590239374537 ('IGM', 'ASK') 1 5786
1712534590239374560 ('IGM', 'ASK') 1 5800
1712534590239374558 ('MKU', 'ASK') 1 4538
1712534590239374556 ('DLO', 'ASK') 1 5035
1712534590239374562 ('BRV', 'ASK') 1 5012
1712534590239374553 ('EPT', 'BID') 1 4341
1712534590239374577 ('EPT', 'BID') 1 4336
1712534590239374582 ('MKU', 'ASK') 1 4539
1712534590239374584 ('IGM', 'ASK') 1 5827
1712534590239374492 ('IGM', 'ASK') 1 5829
1712534590239374530 ('EPT', 'BID') 1 4294
1712534590239374462 ('EPT', 'BID') 1 4290
1712534590239374599 ('EPT', 'BID') 1 4313
1712534590239374604 ('MKU', 'ASK') 1 4548
1712534590239374580 ('DLO', 'ASK') 1 5048
1712534590239374284 ('DLO', 'ASK') 1 5056
1712534590239374622 ('EPT', 'BID') 1 4284
1712534590239374416 ('EPT', 'BID') 1 4281
1712534590239374144 ('EPT', 'BID') 1 4266
1712534590239374629 ('IGM', 'ASK') 1 5799
1712534590239374631 ('BRV', 'ASK') 1 4954
1712534590239374653 ('BRV', 'ASK') 1 4968
1712534590239374608 ('BRV', 'ASK') 1 4976
1712534590239374651 ('IGM', 'ASK') 1 5807
1712534590239374649 ('MKU', 'ASK') 1 4550
1712534590239374671 ('MKU', 'BID') 1 4499
1712534590239374648 ('MKU', 'BID') 1 4499
1712534590239374626 ('MKU', 'BID') 1 4499
1712534590239374603 ('MKU', 'BID') 1 4499
1712534590239374581 ('MKU', 'BID') 1 4499
1712534590239374557 ('MKU', 'BID') 1 4499
1712534590239374534 ('MKU', 'BID') 1 4499
1712534590239374512 ('MKU', 'BID') 1 4499
1712534590239374489 ('MKU', 'BID') 1 4499
1712534590239374466 ('MKU', 'BID') 1 4499
1712534590239374443 ('MKU', 'BID') 1 4499
1712534590239374420 ('MKU', 'BID') 1 4499
1712534590239374398 ('MKU', 'BID') 1 4499
1712534590239374376 ('MKU', 'BID') 1 4499
1712534590239374354 ('MKU', 'BID') 1 4499
1712534590239374331 ('MKU', 'BID') 1 4499
1712534590239374308 ('MKU', 'BID') 1 4499
1712534590239374285 ('MKU', 'BID') 1 4499
1712534590239374262 ('MKU', 'BID') 1 4499
1712534590239374239 ('MKU', 'BID') 1 4499
1712534590239374216 ('MKU', 'BID') 1 4499
1712534590239374193 ('MKU', 'BID') 1 4499
1712534590239374170 ('MKU', 'BID') 1 4499
1712534590239374148 ('MKU', 'BID') 1 4499
1712534590239374124 ('MKU', 'BID') 1 4499
1712534590239374101 ('MKU', 'BID') 1 4499
1712534590239374078 ('MKU', 'BID') 1 4499
1712534590239374056 ('MKU', 'BID') 1 4499
1712534590239374034 ('MKU', 'BID') 1 4499
1712534590239374012 ('MKU', 'BID') 1 4499
1712534590239373990 ('MKU', 'BID') 1 4499
1712534590239373965 ('MKU', 'BID') 1 4499
1712534590239373943 ('MKU', 'BID') 1 4499
1712534590239373920 ('MKU', 'BID') 1 4499
1712534590239373897 ('MKU', 'BID') 1 4499
1712534590239373870 ('MKU', 'BID') 1 4499
1712534590239373848 ('MKU', 'BID') 1 4499
1712534590239373826 ('MKU', 'BID') 1 4499
1712534590239373803 ('MKU', 'BID') 1 4499
1712534590239373780 ('MKU', 'BID') 1 4499
1712534590239373758 ('MKU', 'BID') 1 4499
1712534590239373735 ('MKU', 'BID') 1 4499
1712534590239373711 ('MKU', 'BID') 1 4499
1712534590239373688 ('MKU', 'BID') 1 4499
1712534590239373665 ('MKU', 'BID') 1 4499
1712534590239373639 ('MKU', 'BID') 1 4499
1712534590239373042 ('MKU', 'BID') 1 4470
1712534590239374690 ('EPT', 'BID') 1 4286
1712534590239374694 ('MKU', 'BID') 1 4454
1712534590239374724 ('EPT', 'BID') 1 4279
1712534590239374708 ('EPT', 'BID') 1 4268
1712534590239374729 ('MKU', 'ASK') 1 4509
1712534590239374731 ('IGM', 'ASK') 1 5765
1712534590239374715 ('IGM', 'ASK') 1 5766
1712534590239374753 ('IGM', 'ASK') 1 5767
1712534590239374750 ('MKU', 'BID') 1 4499
1712534590239374728 ('MKU', 'BID') 1 4499
1712534590239374697 ('IGM', 'ASK') 1 5799
1712534590239374767 ('MKU', 'ASK') 1 4503
1712534590239374769 ('IGM', 'ASK') 1 5784
1712534590239374751 ('MKU', 'ASK') 1 4511
1712534590239374674 ('IGM', 'ASK') 1 5815
1712534590239374606 ('IGM', 'ASK') 1 5833
1712534590239374713 ('MKU', 'ASK') 1 4539
1712534590239374695 ('MKU', 'ASK') 1 4540
1712534590239374625 ('DLO', 'ASK') 1 5057
1712534590239374672 ('MKU', 'ASK') 1 4541
1712534590239374794 ('IGM', 'ASK') 1 5809
1712534590239374261 ('DLO', 'ASK') 1 5071
1712534590239373989 ('DLO', 'ASK') 1 5076
1712534590239374816 ('MKU', 'ASK') 1 4529
1712534590239374814 ('DLO', 'ASK') 1 5093
1712534590239374811 ('EPT', 'BID') 1 4277
1712534590239374787 ('EPT', 'BID') 1 4270
1712534590239374762 ('EPT', 'BID') 1 4269
1712534590239374746 ('EPT', 'BID') 1 4258
1712534590239373964 ('DLO', 'ASK') 1 5097
1712534590239374837 ('DLO', 'ASK') 1 5104
1712534590239374834 ('EPT', 'BID') 1 4277
1712534590239374839 ('MKU', 'ASK') 1 4544
1712534590239374863 ('MKU', 'ASK') 1 4546
1712534590239374858 ('EPT', 'BID') 1 4258
1712534590239374667 ('EPT', 'BID') 1 4257
1712534590239374792 ('MKU', 'ASK') 1 4547
1712534590239374627 ('MKU', 'ASK') 1 4562
1712534590239374535 ('MKU', 'ASK') 1 4563
1712534590239374513 ('MKU', 'ASK') 1 4578
1712534590239374644 ('EPT', 'BID') 1 4247
1712534590239374865 ('IGM', 'ASK') 1 5716
1712534590239374887 ('IGM', 'ASK') 1 5728
1712534590239374885 ('MKU', 'ASK') 1 4568
1712534590239374880 ('EPT', 'BID') 1 4233
1712534590239374914 ('IGM', 'ASK') 1 5764
1712534590239374936 ('MKU', 'ASK') 1 4541
1712534590239374959 ('MKU', 'ASK') 1 4549
1712534590239374954 ('EPT', 'BID') 1 4275
1712534590239374912 ('MKU', 'ASK') 1 4577
1712534590239374931 ('EPT', 'BID') 1 4260
1712534590239374976 ('EPT', 'BID') 1 4252
1712534590239374981 ('MKU', 'ASK') 1 4556
1712534590239374907 ('EPT', 'BID') 1 4224
1712534590239375004 ('MKU', 'ASK') 1 4590
1712534590239374999 ('EPT', 'BID') 1 4207
1712534590239374841 ('IGM', 'ASK') 1 5795
1712534590239375071 ('MKU', 'ASK') 1 4596
1712534590239375066 ('EPT', 'BID') 1 4230
1712534590239375049 ('MKU', 'ASK') 1 4609
1712534590239375093 ('MKU', 'ASK') 1 4609
1712534590239375111 ('EPT', 'BID') 1 4224
