1712652724528383488 ('EPT', <Side.SELL: 2>) 1 4368 -4367
[REJECTED] 1712652729064779528 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779529 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779530 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779531 ('SCP', <Side.SELL: 2>)
1712652729064779532 ('JAK', <Side.SELL: 2>) 4 4927 -19
[REJECTED] 1712652729064779533 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779534 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779535 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779536 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779537 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779538 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779539 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779540 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779541 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779542 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779543 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779544 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779545 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779546 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779547 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779548 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779549 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779550 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779551 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779552 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779553 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779554 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779555 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779556 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779557 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779558 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779559 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779560 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779561 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779562 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779563 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779564 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779565 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779566 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779567 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779568 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779569 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779570 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779571 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779572 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779573 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779574 ('JAK', <Side.SELL: 2>)
[REJECTED] 1712652729064779575 ('JAK', <Side.SELL: 2>)
1712652729064779576 ('EPT', <Side.SELL: 2>) 2 4443 -10
1712652729064779577 ('DLO', <Side.SELL: 2>) 2 5193 -13
1712652729064779579 ('IGM', <Side.SELL: 2>) 2 5323 -14
[REJECTED] 1712652729064779581 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779582 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779583 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779584 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779585 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779586 ('SCP', <Side.SELL: 2>)
1712652729064779587 ('EPT', <Side.SELL: 2>) 2 4497 -4
1712652729064779591 ('BRV', <Side.SELL: 2>) 2 4840 -5
1712652729064779588 ('DLO', <Side.SELL: 2>) 2 5189 0
1712652729064779580 ('BRV', <Side.SELL: 2>) 2 4874 0
[REJECTED] 1712652729064779592 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779593 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779594 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779595 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779596 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779597 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779598 ('SCP', <Side.SELL: 2>)
1712652729064779602 ('IGM', <Side.SELL: 2>) 2 5303 -8
1712652729064779603 ('BRV', <Side.SELL: 2>) 2 4909 -12
[REJECTED] 1712652729064779604 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779605 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779606 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779607 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779608 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779609 ('SCP', <Side.SELL: 2>)
1712652729064779611 ('DLO', <Side.SELL: 2>) 2 5204 0
1712652729064779600 ('DLO', <Side.SELL: 2>) 2 5205 0
1712652729064779613 ('IGM', <Side.SELL: 2>) 2 5309 0
[REJECTED] 1712652729064779615 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779616 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779617 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779618 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779619 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779620 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779621 ('SCP', <Side.SELL: 2>)
1712652729064779623 ('DLO', <Side.SELL: 2>) 3 5234 -7
1712652729064779625 ('IGM', <Side.SELL: 2>) 2 5330 -11
1712652729064779590 ('IGM', <Side.SELL: 2>) 2 5338 0
[REJECTED] 1712652729064779627 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779628 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779629 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779630 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779631 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779632 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652729064779633 ('SCP', <Side.SELL: 2>)
1712652729064779634 ('EPT', <Side.SELL: 2>) 2 4401 -1
1712652729064779636 ('MKU', <Side.SELL: 2>) 2 4502 -8
1712652729064779637 ('IGM', <Side.SELL: 2>) 3 5354 -2
1712652743395644928 ('EPT', <Side.SELL: 2>) 1 4434 -4433
1712652743395644929 ('DLO', <Side.SELL: 2>) 1 5141 -5140
1712652743395644930 ('MKU', <Side.SELL: 2>) 1 4530 -4529
1712652743395644931 ('IGM', <Side.SELL: 2>) 1 5372 -5371
1712652743395644932 ('BRV', <Side.SELL: 2>) 1 4621 -4620
1712652744965849600 ('EPT', <Side.SELL: 2>) 1 4440 -4439
1712652744965849601 ('DLO', <Side.SELL: 2>) 1 5161 -5160
1712652744965849602 ('MKU', <Side.SELL: 2>) 1 4583 -4582
1712652744965849603 ('IGM', <Side.SELL: 2>) 1 5374 -5373
1712652744965849604 ('BRV', <Side.SELL: 2>) 1 4664 -4663
1712652749194036224 ('EPT', <Side.SELL: 2>) 1 4473 -4472
1712652749194036225 ('DLO', <Side.SELL: 2>) 1 5215 -5214
1712652749194036226 ('MKU', <Side.SELL: 2>) 1 4621 -4620
1712652749194036227 ('IGM', <Side.SELL: 2>) 1 5410 -5409
1712652749194036228 ('BRV', <Side.SELL: 2>) 1 4680 -4679
[REJECTED] 1712652749194036229 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652749194036230 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652749194036231 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652749194036232 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652749194036233 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652749194036234 ('SCP', <Side.SELL: 2>)
1712652749194036236 ('DLO', <Side.SELL: 2>) 4 5230 -2
1712652749194036238 ('IGM', <Side.SELL: 2>) 5 5421 0
1712652753345885952 ('EPT', <Side.SELL: 2>) 1 4480 -4479
1712652753345885953 ('DLO', <Side.SELL: 2>) 1 5245 -5244
1712652753345885954 ('MKU', <Side.SELL: 2>) 1 4648 -4647
1712652753345885955 ('IGM', <Side.SELL: 2>) 1 5441 -5440
1712652753345885956 ('BRV', <Side.SELL: 2>) 1 4831 -4830
1712652762017363968 ('EPT', <Side.SELL: 2>) 1 4382 -4381
1712652762017363969 ('DLO', <Side.SELL: 2>) 1 5293 -5292
1712652762017363970 ('MKU', <Side.SELL: 2>) 1 4645 -4644
1712652762017363971 ('IGM', <Side.SELL: 2>) 1 5492 -5491
1712652762017363972 ('BRV', <Side.SELL: 2>) 1 4722 -4721
[REJECTED] 1712652762017363973 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363974 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363975 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363976 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363977 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363978 ('SCP', <Side.SELL: 2>)
1712652762017363979 ('EPT', <Side.SELL: 2>) 7 4422 -17
1712652762017363982 ('IGM', <Side.SELL: 2>) 8 5570 0
[REJECTED] 1712652762017363984 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363985 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363986 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363987 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363988 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363989 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363990 ('SCP', <Side.SELL: 2>)
1712652762017363991 ('EPT', <Side.SELL: 2>) 7 4451 -5
1712652762017363993 ('MKU', <Side.SELL: 2>) 7 4619 -11
1712652762017363994 ('IGM', <Side.SELL: 2>) 8 5575 -26
1712652762017363995 ('BRV', <Side.SELL: 2>) 6 4743 0
1712652762017363992 ('DLO', <Side.SELL: 2>) 8 5262 0
[REJECTED] 1712652762017363996 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363997 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363998 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017363999 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017364000 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652762017364001 ('SCP', <Side.SELL: 2>)
1712652762017364002 ('EPT', <Side.SELL: 2>) 8 4443 0
1712652762017364005 ('IGM', <Side.SELL: 2>) 10 5587 0
1712652768242894592 ('EPT', <Side.SELL: 2>) 1 4489 -4488
1712652768242894593 ('DLO', <Side.SELL: 2>) 1 5272 -5271
1712652768242894594 ('MKU', <Side.SELL: 2>) 1 4602 -4601
1712652768242894595 ('IGM', <Side.SELL: 2>) 1 5512 -5511
1712652768242894596 ('BRV', <Side.SELL: 2>) 1 4738 -4737
[REJECTED] 1712652781689395968 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712652781689395969 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712652781689395970 ('MKU', <Side.SELL: 2>)
1712652781689395971 ('IGM', <Side.SELL: 2>) 1 5313 -5312
1712652781689395972 ('BRV', <Side.SELL: 2>) 1 4906 -4905
[REJECTED] 1712652781689395973 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395974 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395975 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395976 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395977 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395978 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395979 ('SCP', <Side.SELL: 2>)
1712652781689395980 ('IGM', <Side.SELL: 2>) 2 5322 -2
1712652781689395981 ('BRV', <Side.SELL: 2>) 3 4966 -13
[REJECTED] 1712652781689395982 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395983 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395984 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395985 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395986 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395987 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652781689395988 ('SCP', <Side.SELL: 2>)
[REJECTED] 1712652787426699520 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712652787426699521 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712652787426699522 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712652787426699523 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712652787426699524 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712652819407788288 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712652819407788289 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712652819407788290 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712652819407788291 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712652819407788292 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712652822518156800 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712652822518156801 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712652822518156802 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712652822518156803 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712652822518156804 ('BRV', <Side.SELL: 2>)
