1712716795001059331 ('IGM', <Side.BUY: 1>) 1 5801 0
[CANCELLED] 1712716795001059463 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059464 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059465 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059466 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059467 ('BRV', <Side.SELL: 2>)
1712716795001059492 ('IGM', <Side.SELL: 2>) 2 5791 0
1712716795001059494 ('IGM', <Side.SELL: 2>) 2 5811 0
1712716795001059473 ('EPT', <Side.BUY: 1>) 2 4826 0
1712716795001059496 ('IGM', <Side.SELL: 2>) 2 5831 0
[CANCELLED] 1712716795001059474 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059475 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059476 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059477 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059478 ('EPT', <Side.SELL: 2>)
1712716795001059498 ('EPT', <Side.BUY: 1>) 1 4820 10
[CANCELLED] 1712716795001059479 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059480 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059481 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059482 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059483 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059484 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059485 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059486 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059487 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059488 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059489 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059490 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059471 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059491 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059493 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059495 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059472 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059497 ('BRV', <Side.BUY: 1>)
1712716795001059500 ('MKU', <Side.BUY: 1>) 1 5459 0
1712716795001059503 ('EPT', <Side.BUY: 1>) 2 4808 2
1712716795001059522 ('IGM', <Side.SELL: 2>) 2 5839 -39
1712716795001059524 ('IGM', <Side.SELL: 2>) 2 5839 -19
1712716795001059502 ('BRV', <Side.BUY: 1>) 1 5743 0
1712716795001059515 ('MKU', <Side.BUY: 1>) 2 5439 0
1712716795001059517 ('MKU', <Side.BUY: 1>) 2 5419 0
1712716795001059526 ('IGM', <Side.SELL: 2>) 2 5840 0
[CANCELLED] 1712716795001059504 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059505 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059506 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059507 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059508 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059499 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059509 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059510 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059511 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059512 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059513 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059514 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059516 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059518 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059519 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059520 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059501 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059521 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059523 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059525 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059527 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059528 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059529 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059530 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059531 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059532 ('BRV', <Side.SELL: 2>)
1712716795001059557 ('IGM', <Side.SELL: 2>) 2 5859 0
1712716795001059563 ('BRV', <Side.SELL: 2>) 2 5764 -19
1712716795001059533 ('EPT', <Side.BUY: 1>) 1 4793 0
1712716795001059565 ('BRV', <Side.SELL: 2>) 2 5765 0
1712716795001059567 ('BRV', <Side.SELL: 2>) 2 5785 0
1712716795001059551 ('MKU', <Side.SELL: 2>) 2 5460 0
1712716795001059559 ('IGM', <Side.SELL: 2>) 2 5879 0
1712716795001059561 ('IGM', <Side.SELL: 2>) 2 5899 0
1712716795001059538 ('EPT', <Side.BUY: 1>) 2 4773 0
1712716795001059553 ('MKU', <Side.SELL: 2>) 2 5480 0
1712716795001059545 ('DLO', <Side.SELL: 2>) 2 5208 0
[CANCELLED] 1712716795001059539 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059540 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059541 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059542 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059543 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059534 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059544 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059546 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059547 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059548 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059549 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059535 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059550 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059552 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059554 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059555 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059536 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059556 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059558 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059560 ('IGM', <Side.BUY: 1>)
1712716795001059568 ('EPT', <Side.BUY: 1>) 1 4754 0
[CANCELLED] 1712716795001059537 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059562 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059564 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059566 ('BRV', <Side.BUY: 1>)
1712716795001059573 ('EPT', <Side.BUY: 1>) 2 4734 0
1712716795001059569 ('DLO', <Side.BUY: 1>) 1 5210 0
1712716795001059572 ('BRV', <Side.BUY: 1>) 1 5835 0
1712716795001059570 ('MKU', <Side.BUY: 1>) 1 5484 0
1712716795001059592 ('IGM', <Side.SELL: 2>) 2 5964 0
[CANCELLED] 1712716795001059574 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059575 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059576 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059577 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059578 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059579 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059580 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059581 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059582 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059583 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059584 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059585 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059586 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059587 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059588 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059589 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059590 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059571 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059591 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059593 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059594 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059595 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059596 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059597 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059598 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059599 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059600 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059601 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059602 ('BRV', <Side.SELL: 2>)
1712716795001059633 ('BRV', <Side.SELL: 2>) 2 5859 -7
1712716795001059635 ('BRV', <Side.SELL: 2>) 2 5872 0
1712716795001059621 ('MKU', <Side.SELL: 2>) 2 5492 0
1712716795001059627 ('IGM', <Side.SELL: 2>) 2 5979 0
1712716795001059603 ('EPT', <Side.BUY: 1>) 1 4726 0
1712716795001059629 ('IGM', <Side.SELL: 2>) 2 5999 0
[CANCELLED] 1712716795001059608 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059609 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059610 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059611 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059612 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059613 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059604 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059614 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059615 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059616 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059617 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059618 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059619 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059605 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059620 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059622 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059623 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059624 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059625 ('MKU', <Side.SELL: 2>)
1712716795001059638 ('MKU', <Side.BUY: 1>) 1 5503 4
[CANCELLED] 1712716795001059606 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059626 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059628 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059630 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059631 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059607 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059632 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059634 ('BRV', <Side.BUY: 1>)
1712716795001059640 ('BRV', <Side.BUY: 1>) 1 5889 10
1712716795001059665 ('BRV', <Side.BUY: 1>) 2 5879 0
1712716795001059637 ('DLO', <Side.BUY: 1>) 1 5205 0
1712716795001059653 ('MKU', <Side.BUY: 1>) 2 5487 0
1712716795001059636 ('EPT', <Side.BUY: 1>) 1 4707 0
1712716795001059660 ('IGM', <Side.SELL: 2>) 2 6038 0
1712716795001059662 ('IGM', <Side.SELL: 2>) 2 6058 0
1712716795001059641 ('EPT', <Side.BUY: 1>) 2 4687 0
1712716795001059667 ('BRV', <Side.BUY: 1>) 2 5859 0
[CANCELLED] 1712716795001059642 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059643 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059644 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059645 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059646 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059647 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059648 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059649 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059650 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059651 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059652 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059654 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059655 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059656 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059657 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059658 ('MKU', <Side.SELL: 2>)
1712716795001059673 ('MKU', <Side.BUY: 1>) 1 5469 10
[CANCELLED] 1712716795001059639 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059659 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059661 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059663 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059664 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059666 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059668 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059669 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716795001059670 ('BRV', <Side.SELL: 2>)
1712716795001059675 ('BRV', <Side.BUY: 1>) 1 5849 19
1712716795001059672 ('DLO', <Side.BUY: 1>) 1 5186 0
1712716795001059700 ('BRV', <Side.BUY: 1>) 2 5835 13
1712716795001059702 ('BRV', <Side.BUY: 1>) 2 5828 0
1712716795001059688 ('MKU', <Side.BUY: 1>) 2 5459 0
1712716795001059682 ('DLO', <Side.BUY: 1>) 2 5166 0
1712716795001059704 ('BRV', <Side.BUY: 1>) 2 5808 0
1712716795001059674 ('IGM', <Side.BUY: 1>) 1 6047 0
1712716795001059695 ('IGM', <Side.SELL: 2>) 2 6083 0
1712716795001059671 ('EPT', <Side.BUY: 1>) 1 4688 0
1712716795001059697 ('IGM', <Side.SELL: 2>) 2 6103 0
[CANCELLED] 1712716795001059676 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059677 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059678 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059679 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059680 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059681 ('EPT', <Side.SELL: 2>)
1712716795001059706 ('EPT', <Side.BUY: 1>) 1 4670 25
[CANCELLED] 1712716795001059683 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059684 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059685 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059686 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059687 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716795001059689 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059690 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059691 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059692 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716795001059693 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716795001059694 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059696 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059698 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716795001059699 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716795001059701 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059703 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716795001059705 ('BRV', <Side.SELL: 2>)
1712716795001059711 ('EPT', <Side.BUY: 1>) 2 4670 5
1712716795001059730 ('IGM', <Side.SELL: 2>) 2 6111 -33
1712716795001059732 ('IGM', <Side.SELL: 2>) 2 6111 -13
1712716795001059736 ('BRV', <Side.SELL: 2>) 2 5855 -3
1712716795001059738 ('BRV', <Side.SELL: 2>) 2 5872 0
1712716795001059724 ('MKU', <Side.SELL: 2>) 2 5491 0
[CANCELLED] 1712716795001059712 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059713 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059714 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059715 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716795001059716 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716795001059707 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716795001059717 ('DLO', <Side.BUY: 1>)
