[CANCELLED] 1712713202569285888 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791547 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791548 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791539 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791549 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791550 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791551 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791552 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791553 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791554 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791555 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791556 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791557 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791558 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791541 ('IGM', <Side.BUY: 1>)
1712713214515791562 ('IGM', <Side.BUY: 1>) 1 5370 34
1712713214515791563 ('BRV', <Side.BUY: 1>) 1 5172 12
1712713214515791565 ('EPT', <Side.SELL: 2>) 2 4918 -2
1712713214515791577 ('MKU', <Side.SELL: 2>) 2 5120 0
1712713214515791571 ('DLO', <Side.SELL: 2>) 2 5022 0
1712713214515791561 ('MKU', <Side.BUY: 1>) 1 5095 0
[CANCELLED] 1712713214515791559 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791564 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791566 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791567 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791568 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791569 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791560 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791570 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791572 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791573 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791574 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791575 ('DLO', <Side.SELL: 2>)
1712713214515791579 ('DLO', <Side.BUY: 1>) 1 4998 9
[CANCELLED] 1712713214515791576 ('MKU', <Side.BUY: 1>)
1712713214515791578 ('EPT', <Side.BUY: 1>) 1 4896 0
1712713214515791580 ('EPT', <Side.BUY: 1>) 1 4895 18
1712713214515791581 ('DLO', <Side.BUY: 1>) 1 4979 24
1712713214515791582 ('MKU', <Side.BUY: 1>) 1 5045 77
1712713214515791584 ('BRV', <Side.BUY: 1>) 1 5116 79
1712713214515791585 ('EPT', <Side.BUY: 1>) 2 4888 5
1712713214515791591 ('DLO', <Side.BUY: 1>) 2 4981 2
1712713214515791597 ('MKU', <Side.BUY: 1>) 2 5045 57
1712713214515791599 ('MKU', <Side.BUY: 1>) 2 5045 37
1712713214515791601 ('MKU', <Side.BUY: 1>) 1 5045 17
1712713214515791587 ('EPT', <Side.BUY: 1>) 2 4873 0
[CANCELLED] 1712713214515791586 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791588 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791589 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791590 ('EPT', <Side.SELL: 2>)
1712713214515791602 ('EPT', <Side.BUY: 1>) 1 4862 39
[CANCELLED] 1712713214515791592 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791593 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791594 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791595 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791596 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791598 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713214515791600 ('MKU', <Side.SELL: 2>)
1712713214515791604 ('MKU', <Side.BUY: 1>) 1 5045 40
[CANCELLED] 1712713214515791583 ('IGM', <Side.BUY: 1>)
1712713214515791606 ('BRV', <Side.BUY: 1>) 1 5133 20
1712713214515791607 ('EPT', <Side.BUY: 1>) 2 4862 19
1712713214515791609 ('EPT', <Side.BUY: 1>) 2 4861 0
[CANCELLED] 1712713214515791608 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791610 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791611 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791612 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791603 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791613 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791614 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791615 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791616 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791617 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791605 ('IGM', <Side.BUY: 1>)
1712713214515791618 ('EPT', <Side.BUY: 1>) 1 4859 0
[CANCELLED] 1712713214515791623 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791624 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791625 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791626 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791627 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791628 ('EPT', <Side.SELL: 2>)
1712713214515791629 ('EPT', <Side.BUY: 1>) 1 4862 13
[CANCELLED] 1712713214515791619 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791620 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791621 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791622 ('BRV', <Side.BUY: 1>)
1712713214515791634 ('EPT', <Side.BUY: 1>) 2 4855 0
1712713214515791636 ('EPT', <Side.BUY: 1>) 2 4835 0
1712713214515791641 ('DLO', <Side.SELL: 2>) 2 5024 0
[CANCELLED] 1712713214515791635 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791637 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713214515791638 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713214515791639 ('EPT', <Side.SELL: 2>)
1712713214515791647 ('EPT', <Side.BUY: 1>) 1 4830 24
[CANCELLED] 1712713214515791630 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791640 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791642 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791643 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791644 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713214515791645 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713214515791631 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791646 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713214515791632 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713214515791633 ('BRV', <Side.BUY: 1>)
1712713214515791652 ('EPT', <Side.BUY: 1>) 2 4830 4
1712713214515791654 ('EPT', <Side.BUY: 1>) 2 4814 0
1712713214515791659 ('DLO', <Side.SELL: 2>) 1 5021 0
[CANCELLED] 1712713214515791653 ('EPT', <Side.SELL: 2>)
