[REJECTED] 1712559280602420992 ('EPT', 'BID')
[REJECTED] 1712559280602421228 ('JAK', 'ASK')
[REJECTED] 1712559280602421229 ('EPT', 'BID')
[REJECTED] 1712559280602421230 ('EPT', 'ASK')
[REJECTED] 1712559280602421231 ('EPT', 'BID')
[REJECTED] 1712559280602421232 ('EPT', 'ASK')
[REJECTED] 1712559280602421233 ('EPT', 'BID')
[REJECTED] 1712559280602421234 ('EPT', 'ASK')
[REJECTED] 1712559280602421235 ('DLO', 'BID')
[REJECTED] 1712559280602421236 ('DLO', 'ASK')
[REJECTED] 1712559280602421237 ('DLO', 'BID')
[REJECTED] 1712559280602421238 ('DLO', 'ASK')
[REJECTED] 1712559280602421239 ('DLO', 'BID')
[REJECTED] 1712559280602421240 ('MKU', 'BID')
[REJECTED] 1712559280602421241 ('MKU', 'ASK')
[REJECTED] 1712559280602421242 ('MKU', 'BID')
[REJECTED] 1712559280602421243 ('MKU', 'ASK')
[REJECTED] 1712559280602421244 ('MKU', 'BID')
[REJECTED] 1712559280602421245 ('MKU', 'ASK')
[REJECTED] 1712559280602421246 ('IGM', 'BID')
[REJECTED] 1712559280602421247 ('IGM', 'ASK')
[REJECTED] 1712559280602421248 ('IGM', 'BID')
[REJECTED] 1712559280602421249 ('IGM', 'ASK')
[REJECTED] 1712559280602421250 ('IGM', 'BID')
[REJECTED] 1712559280602421251 ('IGM', 'ASK')
[REJECTED] 1712559280602421252 ('BRV', 'BID')
[REJECTED] 1712559280602421253 ('BRV', 'ASK')
[REJECTED] 1712559280602421254 ('BRV', 'BID')
[REJECTED] 1712559280602421255 ('BRV', 'ASK')
[REJECTED] 1712559280602421256 ('BRV', 'BID')
[REJECTED] 1712559280602421257 ('BRV', 'ASK')
1712559280602421213 ('IGM', 'ASK') 3 5763
1712559280602421158 ('IGM', 'ASK') 3 5794
1712559280602421099 ('IGM', 'ASK') 3 5804
1712559280602421038 ('DLO', 'BID') 3 5180
[REJECTED] 1712559280602421258 ('EPT', 'BID')
[REJECTED] 1712559280602421259 ('EPT', 'ASK')
1712559280602421260 ('DLO', 'BID') 3 5181
[REJECTED] 1712559280602421262 ('MKU', 'BID')
[REJECTED] 1712559280602421263 ('MKU', 'ASK')
1712559280602421265 ('IGM', 'ASK') 3 5746
[REJECTED] 1712559280602421266 ('BRV', 'BID')
[REJECTED] 1712559280602421267 ('BRV', 'ASK')
[REJECTED] 1712559280602421268 ('SCP', 'BID')
[REJECTED] 1712559280602421269 ('SCP', 'ASK')
[REJECTED] 1712559280602421271 ('JAK', 'ASK')
[REJECTED] 1712559280602421272 ('JAK', 'ASK')
[REJECTED] 1712559280602421273 ('JAK', 'ASK')
[REJECTED] 1712559280602421274 ('JAK', 'ASK')
[REJECTED] 1712559280602421275 ('JAK', 'ASK')
[REJECTED] 1712559280602421276 ('JAK', 'ASK')
[REJECTED] 1712559280602421277 ('JAK', 'ASK')
[REJECTED] 1712559280602421278 ('EPT', 'BID')
[REJECTED] 1712559280602421279 ('EPT', 'ASK')
[REJECTED] 1712559280602421280 ('EPT', 'BID')
[REJECTED] 1712559280602421281 ('EPT', 'ASK')
[REJECTED] 1712559280602421282 ('EPT', 'BID')
[REJECTED] 1712559280602421283 ('EPT', 'ASK')
[REJECTED] 1712559280602421284 ('DLO', 'BID')
[REJECTED] 1712559280602421285 ('DLO', 'ASK')
[REJECTED] 1712559280602421286 ('DLO', 'BID')
[REJECTED] 1712559280602421287 ('DLO', 'ASK')
[REJECTED] 1712559280602421288 ('DLO', 'BID')
[REJECTED] 1712559280602421289 ('MKU', 'BID')
[REJECTED] 1712559280602421290 ('MKU', 'ASK')
[REJECTED] 1712559280602421291 ('MKU', 'BID')
[REJECTED] 1712559280602421292 ('MKU', 'ASK')
[REJECTED] 1712559280602421293 ('MKU', 'BID')
[REJECTED] 1712559280602421294 ('MKU', 'ASK')
[REJECTED] 1712559280602421296 ('IGM', 'ASK')
[REJECTED] 1712559280602421297 ('IGM', 'BID')
[REJECTED] 1712559280602421298 ('IGM', 'ASK')
[REJECTED] 1712559280602421299 ('IGM', 'BID')
[REJECTED] 1712559280602421300 ('IGM', 'ASK')
[REJECTED] 1712559280602421301 ('BRV', 'BID')
[REJECTED] 1712559280602421302 ('BRV', 'ASK')
[REJECTED] 1712559280602421303 ('BRV', 'BID')
[REJECTED] 1712559280602421304 ('BRV', 'ASK')
[REJECTED] 1712559280602421305 ('BRV', 'BID')
[REJECTED] 1712559280602421306 ('BRV', 'ASK')
1712559280602421043 ('IGM', 'ASK') 3 5822
1712559280602421081 ('IGM', 'ASK') 10 5842
1712559280602421261 ('DLO', 'ASK') 3 5194
[REJECTED] 1712559280602421307 ('EPT', 'BID')
[REJECTED] 1712559280602421308 ('EPT', 'ASK')
[REJECTED] 1712559280602421310 ('DLO', 'ASK')
[REJECTED] 1712559280602421311 ('MKU', 'BID')
[REJECTED] 1712559280602421312 ('MKU', 'ASK')
1712559280602421314 ('IGM', 'ASK') 3 5877
[REJECTED] 1712559280602421315 ('BRV', 'BID')
[REJECTED] 1712559280602421316 ('BRV', 'ASK')
[REJECTED] 1712559280602421317 ('SCP', 'BID')
[REJECTED] 1712559280602421318 ('SCP', 'ASK')
[REJECTED] 1712559280602421320 ('JAK', 'ASK')
[REJECTED] 1712559280602421321 ('JAK', 'ASK')
[REJECTED] 1712559280602421322 ('JAK', 'ASK')
[REJECTED] 1712559280602421323 ('JAK', 'ASK')
[REJECTED] 1712559280602421324 ('JAK', 'ASK')
[REJECTED] 1712559280602421325 ('JAK', 'ASK')
[REJECTED] 1712559280602421326 ('JAK', 'ASK')
[REJECTED] 1712559280602421327 ('EPT', 'BID')
[REJECTED] 1712559280602421328 ('EPT', 'ASK')
[REJECTED] 1712559280602421329 ('EPT', 'BID')
[REJECTED] 1712559280602421330 ('EPT', 'ASK')
[REJECTED] 1712559280602421331 ('EPT', 'BID')
[REJECTED] 1712559280602421332 ('EPT', 'ASK')
[REJECTED] 1712559280602421333 ('DLO', 'BID')
[REJECTED] 1712559280602421334 ('DLO', 'ASK')
[REJECTED] 1712559280602421335 ('DLO', 'BID')
[REJECTED] 1712559280602421336 ('DLO', 'ASK')
[REJECTED] 1712559280602421337 ('DLO', 'BID')
[REJECTED] 1712559280602421338 ('MKU', 'BID')
[REJECTED] 1712559280602421339 ('MKU', 'ASK')
[REJECTED] 1712559280602421340 ('MKU', 'BID')
[REJECTED] 1712559280602421341 ('MKU', 'ASK')
[REJECTED] 1712559280602421342 ('MKU', 'BID')
[REJECTED] 1712559280602421343 ('MKU', 'ASK')
[REJECTED] 1712559280602421345 ('IGM', 'ASK')
[REJECTED] 1712559280602421346 ('IGM', 'BID')
[REJECTED] 1712559280602421347 ('IGM', 'ASK')
[REJECTED] 1712559280602421348 ('IGM', 'BID')
[REJECTED] 1712559280602421349 ('IGM', 'ASK')
[REJECTED] 1712559280602421350 ('BRV', 'BID')
[REJECTED] 1712559280602421351 ('BRV', 'ASK')
[REJECTED] 1712559280602421352 ('BRV', 'BID')
[REJECTED] 1712559280602421353 ('BRV', 'ASK')
[REJECTED] 1712559280602421354 ('BRV', 'BID')
[REJECTED] 1712559280602421355 ('BRV', 'ASK')
[REJECTED] 1712559280602421356 ('EPT', 'BID')
[REJECTED] 1712559280602421357 ('EPT', 'ASK')
[REJECTED] 1712559280602421358 ('DLO', 'BID')
[REJECTED] 1712559280602421359 ('DLO', 'ASK')
[REJECTED] 1712559280602421360 ('MKU', 'BID')
[REJECTED] 1712559280602421361 ('MKU', 'ASK')
[REJECTED] 1712559280602421363 ('IGM', 'ASK')
[REJECTED] 1712559280602421364 ('BRV', 'BID')
[REJECTED] 1712559280602421365 ('BRV', 'ASK')
[REJECTED] 1712559280602421366 ('SCP', 'BID')
[REJECTED] 1712559280602421367 ('SCP', 'ASK')
[REJECTED] 1712559280602421369 ('JAK', 'ASK')
[REJECTED] 1712559280602421370 ('JAK', 'ASK')
[REJECTED] 1712559280602421371 ('JAK', 'ASK')
[REJECTED] 1712559280602421372 ('JAK', 'ASK')
[REJECTED] 1712559280602421373 ('JAK', 'ASK')
[REJECTED] 1712559280602421374 ('JAK', 'ASK')
[REJECTED] 1712559280602421375 ('JAK', 'ASK')
[REJECTED] 1712559280602421376 ('JAK', 'ASK')
[REJECTED] 1712559280602421377 ('EPT', 'BID')
[REJECTED] 1712559280602421378 ('EPT', 'ASK')
[REJECTED] 1712559280602421379 ('EPT', 'BID')
[REJECTED] 1712559280602421380 ('EPT', 'ASK')
[REJECTED] 1712559280602421381 ('EPT', 'BID')
[REJECTED] 1712559280602421382 ('EPT', 'ASK')
[REJECTED] 1712559280602421383 ('DLO', 'BID')
[REJECTED] 1712559280602421384 ('DLO', 'ASK')
[REJECTED] 1712559280602421385 ('DLO', 'BID')
[REJECTED] 1712559280602421386 ('DLO', 'ASK')
[REJECTED] 1712559280602421387 ('DLO', 'BID')
[REJECTED] 1712559280602421388 ('MKU', 'BID')
[REJECTED] 1712559280602421389 ('MKU', 'ASK')
[REJECTED] 1712559280602421390 ('MKU', 'BID')
[REJECTED] 1712559280602421391 ('MKU', 'ASK')
[REJECTED] 1712559280602421392 ('MKU', 'BID')
[REJECTED] 1712559280602421393 ('MKU', 'ASK')
[REJECTED] 1712559280602421394 ('IGM', 'BID')
[REJECTED] 1712559280602421395 ('IGM', 'ASK')
[REJECTED] 1712559280602421396 ('IGM', 'BID')
[REJECTED] 1712559280602421397 ('IGM', 'ASK')
[REJECTED] 1712559280602421398 ('IGM', 'BID')
[REJECTED] 1712559280602421399 ('IGM', 'ASK')
[REJECTED] 1712559280602421400 ('BRV', 'BID')
[REJECTED] 1712559280602421401 ('BRV', 'ASK')
[REJECTED] 1712559280602421402 ('BRV', 'BID')
[REJECTED] 1712559280602421403 ('BRV', 'ASK')
[REJECTED] 1712559280602421404 ('BRV', 'BID')
[REJECTED] 1712559280602421405 ('BRV', 'ASK')
1712559280602421309 ('DLO', 'BID') 3 5188
[REJECTED] 1712559280602421406 ('EPT', 'BID')
[REJECTED] 1712559280602421407 ('EPT', 'ASK')
1712559280602421408 ('DLO', 'BID') 3 5202
[REJECTED] 1712559280602421410 ('MKU', 'BID')
[REJECTED] 1712559280602421411 ('MKU', 'ASK')
[REJECTED] 1712559280602421412 ('IGM', 'BID')
[REJECTED] 1712559280602421413 ('IGM', 'ASK')
[REJECTED] 1712559280602421414 ('BRV', 'BID')
[REJECTED] 1712559280602421415 ('BRV', 'ASK')
[REJECTED] 1712559280602421416 ('SCP', 'BID')
[REJECTED] 1712559280602421417 ('SCP', 'ASK')
[REJECTED] 1712559280602421419 ('JAK', 'ASK')
[REJECTED] 1712559280602421420 ('JAK', 'ASK')
[REJECTED] 1712559280602421421 ('JAK', 'ASK')
[REJECTED] 1712559280602421422 ('JAK', 'ASK')
[REJECTED] 1712559280602421423 ('JAK', 'ASK')
[REJECTED] 1712559280602421424 ('JAK', 'ASK')
[REJECTED] 1712559280602421425 ('JAK', 'ASK')
[REJECTED] 1712559280602421426 ('EPT', 'BID')
[REJECTED] 1712559280602421427 ('EPT', 'ASK')
[REJECTED] 1712559280602421428 ('EPT', 'BID')
[REJECTED] 1712559280602421429 ('EPT', 'ASK')
[REJECTED] 1712559280602421430 ('EPT', 'BID')
[REJECTED] 1712559280602421431 ('EPT', 'ASK')
[REJECTED] 1712559280602421432 ('MKU', 'BID')
[REJECTED] 1712559280602421433 ('MKU', 'ASK')
[REJECTED] 1712559280602421434 ('MKU', 'BID')
[REJECTED] 1712559280602421435 ('MKU', 'ASK')
[REJECTED] 1712559280602421436 ('BRV', 'BID')
1712559280602421208 ('DLO', 'BID') 3 5179
1712559280602421128 ('DLO', 'BID') 10 5174
1712559280602421068 ('DLO', 'BID') 10 5160
[REJECTED] 1712559280602421437 ('EPT', 'BID')
[REJECTED] 1712559280602421438 ('EPT', 'ASK')
1712559280602421439 ('DLO', 'BID') 3 5159
[REJECTED] 1712559280602421441 ('MKU', 'BID')
[REJECTED] 1712559280602421442 ('MKU', 'ASK')
[REJECTED] 1712559280602421443 ('IGM', 'BID')
[REJECTED] 1712559280602421444 ('IGM', 'ASK')
[REJECTED] 1712559280602421445 ('BRV', 'BID')
[REJECTED] 1712559280602421446 ('BRV', 'ASK')
[REJECTED] 1712559280602421447 ('SCP', 'BID')
[REJECTED] 1712559280602421448 ('SCP', 'ASK')
[REJECTED] 1712559280602421450 ('JAK', 'ASK')
[REJECTED] 1712559280602421451 ('JAK', 'ASK')
[REJECTED] 1712559280602421452 ('JAK', 'ASK')
[REJECTED] 1712559280602421453 ('JAK', 'ASK')
[REJECTED] 1712559280602421454 ('JAK', 'ASK')
[REJECTED] 1712559280602421455 ('JAK', 'ASK')
[REJECTED] 1712559280602421456 ('JAK', 'ASK')
[REJECTED] 1712559280602421457 ('EPT', 'BID')
[REJECTED] 1712559280602421458 ('EPT', 'ASK')
[REJECTED] 1712559280602421459 ('EPT', 'BID')
[REJECTED] 1712559280602421460 ('EPT', 'ASK')
1712559280602421461 ('DLO', 'BID') 10 5157
[REJECTED] 1712559280602421464 ('DLO', 'ASK')
[REJECTED] 1712559280602421465 ('DLO', 'BID')
[REJECTED] 1712559280602421466 ('MKU', 'BID')
[REJECTED] 1712559280602421467 ('MKU', 'ASK')
[REJECTED] 1712559280602421468 ('MKU', 'BID')
[REJECTED] 1712559280602421469 ('MKU', 'ASK')
[REJECTED] 1712559280602421470 ('MKU', 'BID')
1712559280602421463 ('DLO', 'BID') 10 5156
[REJECTED] 1712559280602421471 ('MKU', 'ASK')
[REJECTED] 1712559280602421472 ('IGM', 'BID')
[REJECTED] 1712559280602421473 ('IGM', 'ASK')
[REJECTED] 1712559280602421474 ('IGM', 'BID')
[REJECTED] 1712559280602421475 ('IGM', 'ASK')
[REJECTED] 1712559280602421476 ('IGM', 'BID')
[REJECTED] 1712559280602421477 ('IGM', 'ASK')
[REJECTED] 1712559280602421478 ('BRV', 'BID')
[REJECTED] 1712559280602421479 ('BRV', 'ASK')
[REJECTED] 1712559280602421480 ('BRV', 'BID')
[REJECTED] 1712559280602421481 ('BRV', 'ASK')
[REJECTED] 1712559280602421482 ('BRV', 'BID')
[REJECTED] 1712559280602421483 ('BRV', 'ASK')
[REJECTED] 1712559280602421484 ('EPT', 'BID')
[REJECTED] 1712559280602421485 ('EPT', 'ASK')
1712559280602421486 ('DLO', 'BID') 3 5104
[REJECTED] 1712559280602421488 ('MKU', 'BID')
[REJECTED] 1712559280602421489 ('MKU', 'ASK')
[REJECTED] 1712559280602421490 ('IGM', 'BID')
[REJECTED] 1712559280602421491 ('IGM', 'ASK')
[REJECTED] 1712559280602421492 ('BRV', 'BID')
[REJECTED] 1712559280602421493 ('BRV', 'ASK')
[REJECTED] 1712559280602421494 ('SCP', 'BID')
[REJECTED] 1712559280602421495 ('SCP', 'ASK')
[REJECTED] 1712559280602421497 ('JAK', 'ASK')
[REJECTED] 1712559280602421498 ('JAK', 'ASK')
[REJECTED] 1712559280602421499 ('JAK', 'ASK')
[REJECTED] 1712559280602421500 ('JAK', 'ASK')
[REJECTED] 1712559280602421501 ('JAK', 'ASK')
[REJECTED] 1712559280602421502 ('JAK', 'ASK')
[REJECTED] 1712559280602421503 ('JAK', 'ASK')
1712559280602421362 ('IGM', 'BID') 3 5871
1712559280602421313 ('IGM', 'BID') 3 5815
1712559280602421344 ('IGM', 'BID') 10 5795
[REJECTED] 1712559280602421504 ('EPT', 'BID')
[REJECTED] 1712559280602421505 ('EPT', 'ASK')
1712559280602421506 ('DLO', 'BID') 3 5100
[REJECTED] 1712559280602421508 ('MKU', 'BID')
[REJECTED] 1712559280602421509 ('MKU', 'ASK')
1712559280602421510 ('IGM', 'BID') 3 5793
[REJECTED] 1712559280602421512 ('BRV', 'BID')
[REJECTED] 1712559280602421513 ('BRV', 'ASK')
[REJECTED] 1712559280602421514 ('SCP', 'BID')
[REJECTED] 1712559280602421515 ('SCP', 'ASK')
[REJECTED] 1712559280602421517 ('JAK', 'ASK')
[REJECTED] 1712559280602421518 ('JAK', 'ASK')
