[REJECTED] 1712706408615129610 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706408615129657 ('EPT', <Side.BUY: 1>)
1712706408615129658 ('DLO', <Side.BUY: 1>) 9 4880 14
1712706408615129659 ('MKU', <Side.BUY: 1>) 9 5024 22
1712706408615129660 ('IGM', <Side.BUY: 1>) 10 5300 7
1712706408615129661 ('BRV', <Side.BUY: 1>) 2 5010 28
1712706408615129651 ('IGM', <Side.BUY: 1>) 10 5293 0
1712706408615129627 ('IGM', <Side.BUY: 1>) 2 5292 0
1712706408615129606 ('EPT', <Side.SELL: 2>) 2 4968 0
1712706408615129608 ('EPT', <Side.SELL: 2>) 2 4988 0
1712706408615129618 ('MKU', <Side.SELL: 2>) 2 5125 0
1712706408615129620 ('MKU', <Side.SELL: 2>) 2 5145 0
1712706408615129622 ('MKU', <Side.SELL: 2>) 2 5165 0
1712706408615129630 ('BRV', <Side.SELL: 2>) 2 5154 0
1712706408615129632 ('BRV', <Side.SELL: 2>) 2 5174 0
1712706408615129634 ('BRV', <Side.SELL: 2>) 2 5194 0
1712706408615129612 ('DLO', <Side.SELL: 2>) 2 4950 0
1712706408615129614 ('DLO', <Side.SELL: 2>) 2 4970 0
1712706450605382659 ('IGM', <Side.BUY: 1>) 8 5097 2
1712706450605382660 ('BRV', <Side.BUY: 1>) 10 5219 5
[REJECTED] 1712706450605382662 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706450605382663 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706450605382664 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706450605382665 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706450605382666 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706450605382671 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706450605382672 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706450605382683 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706450605382684 ('IGM', <Side.SELL: 2>)
1712706450605382679 ('IGM', <Side.BUY: 1>) 2 5079 0
1712706450605382681 ('IGM', <Side.BUY: 1>) 2 5059 0
1712706450605382674 ('MKU', <Side.SELL: 2>) 2 5291 0
[REJECTED] 1712706450605382691 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706450605382692 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706450605382696 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706450605382697 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706450605382698 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706450605382699 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706450605382700 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706450605382701 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706450605382702 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706450605382703 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706450605382704 ('DLO', <Side.BUY: 1>)
1712706450605382686 ('BRV', <Side.SELL: 2>) 2 5251 0
1712706450605382676 ('MKU', <Side.SELL: 2>) 2 5311 0
1712706450605382688 ('BRV', <Side.SELL: 2>) 2 5271 0
1712706450605382690 ('BRV', <Side.SELL: 2>) 2 5291 0
[REJECTED] 1712706450605382705 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706450605382706 ('DLO', <Side.BUY: 1>)
1712706450605382707 ('MKU', <Side.BUY: 1>) 8 5319 8
1712706450605382708 ('IGM', <Side.BUY: 1>) 7 5087 4
1712706450605382709 ('BRV', <Side.BUY: 1>) 10 5282 14
[REJECTED] 1712706462972337152 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706462972337157 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706462972337158 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706462972337159 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706462972337160 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706462972337161 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706462972337162 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706462972337164 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706462972337165 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706462972337166 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706462972337167 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706462972337168 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706462972337173 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706462972337174 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706462972337175 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706462972337176 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706462972337177 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706462972337178 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706462972337179 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706462972337180 ('IGM', <Side.SELL: 2>)
1712706462972337182 ('BRV', <Side.SELL: 2>) 2 5177 -12
1712706462972337170 ('MKU', <Side.SELL: 2>) 2 5289 0
1712706462972337184 ('BRV', <Side.SELL: 2>) 2 5185 0
1712706462972337186 ('BRV', <Side.SELL: 2>) 2 5205 0
1712706462972337172 ('MKU', <Side.SELL: 2>) 2 5309 0
[REJECTED] 1712706462972337187 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712706462972337153 ('DLO', <Side.BUY: 1>)
1712706462972337188 ('DLO', <Side.BUY: 1>) 6 4956 21
[CANCELLED] 1712706462972337154 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712706462972337169 ('MKU', <Side.BUY: 1>)
1712706462972337189 ('MKU', <Side.BUY: 1>) 3 5268 30
1712706462972337156 ('BRV', <Side.BUY: 1>) 5 5129 0
1712706462972337181 ('BRV', <Side.BUY: 1>) 2 5109 0
1712706462972337183 ('BRV', <Side.BUY: 1>) 2 5089 0
[REJECTED] 1712706468865310464 ('EPT', <Side.BUY: 1>)
1712706468865310467 ('IGM', <Side.BUY: 1>) 3 4980 10
[REJECTED] 1712706468865310469 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706468865310470 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706468865310471 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706468865310472 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706468865310473 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706468865310474 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706468865310475 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706468865310476 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706468865310477 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706468865310478 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706468865310479 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706468865310480 ('DLO', <Side.SELL: 2>)
1712706468865310482 ('MKU', <Side.SELL: 2>) 2 5314 -24
1712706468865310484 ('MKU', <Side.SELL: 2>) 2 5323 -13
[REJECTED] 1712706468865310488 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706468865310489 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706468865310490 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706468865310491 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706468865310492 ('IGM', <Side.SELL: 2>)
1712706468865310494 ('BRV', <Side.SELL: 2>) 2 5243 -51
1712706468865310496 ('BRV', <Side.SELL: 2>) 2 5243 -31
1712706468865310498 ('BRV', <Side.SELL: 2>) 2 5243 -11
[REJECTED] 1712706472170657280 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706472170657281 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706472170657285 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706472170657286 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706472170657287 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706472170657288 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706472170657289 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706472170657290 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706472170657291 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706472170657292 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706472170657293 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706472170657294 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706472170657295 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706472170657296 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706472170657299 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706472170657300 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706472170657301 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706472170657302 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706472170657303 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706472170657304 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706472170657305 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706472170657306 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706472170657307 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706472170657308 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706472170657311 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706472170657312 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706472170657313 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706472170657314 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706481214948096 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706481214948097 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706481214948099 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706481214948101 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706481214948102 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706481214948103 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706481214948104 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706481214948105 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706481214948106 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706481214948107 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706495730387712 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706495730387713 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706495730387714 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706495730387715 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706495730387716 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706495730387717 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706495730387718 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706495730387719 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706495730387720 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706495730387721 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706495730387722 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706495730387723 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706495730387724 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706495730387725 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706495730387726 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706495730387727 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706495730387728 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706495730387729 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706495730387730 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706495730387731 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706495730387732 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706495730387733 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706495730387734 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706495730387735 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706495730387736 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706495730387737 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706495730387738 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706495730387739 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706495730387740 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706495730387741 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706495730387742 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706495730387743 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706495730387744 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706495730387745 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706495730387746 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730633984 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730633985 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730633986 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730633987 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730633988 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730633989 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730633990 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730633991 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730633992 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730633993 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730633994 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730633995 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730633996 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730633997 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730633998 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730633999 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634000 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634001 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634002 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634003 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634004 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634005 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634006 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634007 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634008 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634009 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634010 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634011 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634012 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634013 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634014 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634015 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634016 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634017 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634018 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634019 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634020 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634021 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634022 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634023 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634024 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634025 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634026 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634027 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634028 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634029 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634030 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634031 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634032 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634033 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634034 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634035 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634036 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634037 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634038 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634039 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634040 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634041 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634042 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634043 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634044 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634045 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634046 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634047 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634048 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634049 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634050 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634051 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634052 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634053 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634054 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634055 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634056 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634057 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634058 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634059 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634060 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634061 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634062 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634063 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634064 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634065 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634066 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634067 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634068 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634069 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634070 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634071 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634072 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634073 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634074 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634075 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634076 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634077 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634078 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634079 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634080 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634081 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634082 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634083 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634084 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634085 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634086 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634087 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634088 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634089 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634090 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634091 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634092 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634093 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634094 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634095 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634096 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634097 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634098 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634099 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634100 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634101 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634102 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634103 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634104 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634105 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634106 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634107 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634108 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634109 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634110 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634111 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634112 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634113 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634114 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634115 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634116 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634117 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634118 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634119 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634120 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634121 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634122 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634123 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634124 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634125 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634126 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634127 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634128 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634129 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634130 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634131 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634132 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634133 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706501730634134 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706501730634135 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634136 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634137 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634138 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634139 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706501730634140 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706501730634141 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634142 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634143 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634144 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634145 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706501730634146 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706501730634147 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634148 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634149 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634150 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634151 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706501730634152 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706501730634153 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634154 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634155 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634156 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706501730634157 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706501730634158 ('BRV', <Side.SELL: 2>)
