[REJECTED] 1712559177693904640 ('EPT', 'BID')
[REJECTED] 1712559177693904944 ('MKU', 'ASK')
1712559177693904946 ('IGM', 'ASK') 3 5624
[REJECTED] 1712559177693904947 ('BRV', 'BID')
[REJECTED] 1712559177693904948 ('BRV', 'ASK')
[REJECTED] 1712559177693904949 ('SCP', 'BID')
[REJECTED] 1712559177693904950 ('SCP', 'ASK')
[REJECTED] 1712559177693904953 ('SCP', 'ASK')
[REJECTED] 1712559177693904954 ('SCP', 'ASK')
[REJECTED] 1712559177693904955 ('SCP', 'ASK')
[REJECTED] 1712559177693904956 ('SCP', 'ASK')
[REJECTED] 1712559177693904957 ('SCP', 'ASK')
[REJECTED] 1712559177693904958 ('SCP', 'ASK')
[REJECTED] 1712559177693904959 ('SCP', 'ASK')
[REJECTED] 1712559177693904960 ('EPT', 'BID')
[REJECTED] 1712559177693904961 ('EPT', 'ASK')
[REJECTED] 1712559177693904962 ('EPT', 'BID')
[REJECTED] 1712559177693904963 ('EPT', 'ASK')
[REJECTED] 1712559177693904964 ('EPT', 'BID')
[REJECTED] 1712559177693904965 ('EPT', 'ASK')
[REJECTED] 1712559177693904966 ('DLO', 'BID')
[REJECTED] 1712559177693904967 ('DLO', 'ASK')
[REJECTED] 1712559177693904968 ('DLO', 'BID')
[REJECTED] 1712559177693904969 ('DLO', 'ASK')
[REJECTED] 1712559177693904970 ('DLO', 'BID')
[REJECTED] 1712559177693904971 ('DLO', 'ASK')
[REJECTED] 1712559177693904972 ('MKU', 'BID')
[REJECTED] 1712559177693904973 ('MKU', 'ASK')
[REJECTED] 1712559177693904974 ('MKU', 'BID')
[REJECTED] 1712559177693904975 ('MKU', 'ASK')
[REJECTED] 1712559177693904976 ('MKU', 'BID')
[REJECTED] 1712559177693904977 ('MKU', 'ASK')
[REJECTED] 1712559177693904979 ('IGM', 'ASK')
[REJECTED] 1712559177693904980 ('IGM', 'BID')
[REJECTED] 1712559177693904981 ('BRV', 'BID')
[REJECTED] 1712559177693904982 ('BRV', 'ASK')
[REJECTED] 1712559177693904983 ('BRV', 'BID')
[REJECTED] 1712559177693904984 ('BRV', 'ASK')
[REJECTED] 1712559177693904985 ('BRV', 'BID')
[REJECTED] 1712559177693904986 ('BRV', 'ASK')
1712559177693904945 ('IGM', 'BID') 3 5604
[REJECTED] 1712559177693904987 ('EPT', 'BID')
[REJECTED] 1712559177693904988 ('EPT', 'ASK')
[REJECTED] 1712559177693904989 ('DLO', 'BID')
[REJECTED] 1712559177693904990 ('DLO', 'ASK')
[REJECTED] 1712559177693904991 ('MKU', 'BID')
[REJECTED] 1712559177693904992 ('MKU', 'ASK')
[REJECTED] 1712559177693904994 ('IGM', 'ASK')
[REJECTED] 1712559177693904995 ('BRV', 'BID')
[REJECTED] 1712559177693904996 ('BRV', 'ASK')
[REJECTED] 1712559177693904997 ('SCP', 'BID')
[REJECTED] 1712559177693904998 ('SCP', 'ASK')
1712559177693905000 ('JAK', 'ASK') 2 5132
[REJECTED] 1712559177693905001 ('SCP', 'ASK')
[REJECTED] 1712559177693905002 ('SCP', 'ASK')
[REJECTED] 1712559177693905003 ('SCP', 'ASK')
[REJECTED] 1712559177693905004 ('SCP', 'ASK')
[REJECTED] 1712559177693905005 ('SCP', 'ASK')
[REJECTED] 1712559177693905006 ('SCP', 'ASK')
[REJECTED] 1712559177693905007 ('SCP', 'ASK')
[REJECTED] 1712559177693905008 ('EPT', 'BID')
[REJECTED] 1712559177693905009 ('EPT', 'ASK')
[REJECTED] 1712559177693905010 ('EPT', 'BID')
[REJECTED] 1712559177693905011 ('EPT', 'ASK')
[REJECTED] 1712559177693905012 ('EPT', 'BID')
[REJECTED] 1712559177693905013 ('EPT', 'ASK')
[REJECTED] 1712559177693905014 ('DLO', 'BID')
[REJECTED] 1712559177693905015 ('DLO', 'ASK')
[REJECTED] 1712559177693905016 ('DLO', 'BID')
[REJECTED] 1712559177693905017 ('DLO', 'ASK')
[REJECTED] 1712559177693905018 ('DLO', 'BID')
[REJECTED] 1712559177693905019 ('DLO', 'ASK')
[REJECTED] 1712559177693905020 ('MKU', 'BID')
[REJECTED] 1712559177693905021 ('MKU', 'ASK')
[REJECTED] 1712559177693905022 ('MKU', 'BID')
[REJECTED] 1712559177693905023 ('MKU', 'ASK')
[REJECTED] 1712559177693905024 ('MKU', 'BID')
[REJECTED] 1712559177693905025 ('MKU', 'ASK')
[REJECTED] 1712559177693905026 ('IGM', 'BID')
[REJECTED] 1712559177693905027 ('IGM', 'ASK')
[REJECTED] 1712559177693905028 ('BRV', 'BID')
[REJECTED] 1712559177693905029 ('BRV', 'ASK')
[REJECTED] 1712559177693905030 ('BRV', 'BID')
[REJECTED] 1712559177693905031 ('BRV', 'ASK')
[REJECTED] 1712559177693905032 ('BRV', 'BID')
[REJECTED] 1712559177693905033 ('BRV', 'ASK')
1712559177693904993 ('IGM', 'BID') 3 5601
1712559177693904797 ('SCP', 'ASK') 3 5297
1712559177693904978 ('IGM', 'BID') 10 5584
1712559177693904929 ('IGM', 'BID') 10 5578
[REJECTED] 1712559177693905034 ('EPT', 'BID')
[REJECTED] 1712559177693905035 ('EPT', 'ASK')
[REJECTED] 1712559177693905036 ('DLO', 'BID')
[REJECTED] 1712559177693905037 ('DLO', 'ASK')
[REJECTED] 1712559177693905038 ('MKU', 'BID')
[REJECTED] 1712559177693905039 ('MKU', 'ASK')
1712559177693905040 ('IGM', 'BID') 3 5569
[REJECTED] 1712559177693905042 ('BRV', 'BID')
[REJECTED] 1712559177693905043 ('BRV', 'ASK')
[REJECTED] 1712559177693905045 ('SCP', 'ASK')
[REJECTED] 1712559177693905047 ('SCP', 'ASK')
[REJECTED] 1712559177693905048 ('SCP', 'ASK')
[REJECTED] 1712559177693905049 ('SCP', 'ASK')
[REJECTED] 1712559177693905050 ('SCP', 'ASK')
[REJECTED] 1712559177693905051 ('SCP', 'ASK')
[REJECTED] 1712559177693905052 ('SCP', 'ASK')
[REJECTED] 1712559177693905053 ('EPT', 'BID')
[REJECTED] 1712559177693905054 ('EPT', 'ASK')
[REJECTED] 1712559177693905055 ('EPT', 'BID')
[REJECTED] 1712559177693905056 ('EPT', 'ASK')
[REJECTED] 1712559177693905057 ('EPT', 'BID')
[REJECTED] 1712559177693905058 ('EPT', 'ASK')
[REJECTED] 1712559177693905059 ('DLO', 'BID')
[REJECTED] 1712559177693905060 ('DLO', 'ASK')
[REJECTED] 1712559177693905061 ('DLO', 'BID')
[REJECTED] 1712559177693905062 ('DLO', 'ASK')
[REJECTED] 1712559177693905063 ('DLO', 'BID')
[REJECTED] 1712559177693905064 ('DLO', 'ASK')
[REJECTED] 1712559177693905065 ('MKU', 'BID')
[REJECTED] 1712559177693905066 ('MKU', 'ASK')
[REJECTED] 1712559177693905067 ('MKU', 'BID')
[REJECTED] 1712559177693905068 ('MKU', 'ASK')
[REJECTED] 1712559177693905069 ('MKU', 'BID')
[REJECTED] 1712559177693905070 ('MKU', 'ASK')
1712559177693905071 ('IGM', 'BID') 10 5569
[REJECTED] 1712559177693905073 ('BRV', 'BID')
[REJECTED] 1712559177693905074 ('BRV', 'ASK')
[REJECTED] 1712559177693905075 ('BRV', 'BID')
[REJECTED] 1712559177693905076 ('BRV', 'ASK')
[REJECTED] 1712559177693905077 ('BRV', 'BID')
[REJECTED] 1712559177693905078 ('BRV', 'ASK')
1712559177693904751 ('SCP', 'ASK') 11 5330
1712559177693904752 ('SCP', 'ASK') 11 5333
[REJECTED] 1712559177693905079 ('EPT', 'BID')
[REJECTED] 1712559177693905080 ('EPT', 'ASK')
[REJECTED] 1712559177693905081 ('DLO', 'BID')
[REJECTED] 1712559177693905082 ('DLO', 'ASK')
[REJECTED] 1712559177693905083 ('MKU', 'BID')
1712559177693904753 ('SCP', 'ASK') 11 5334
1712559177693904754 ('SCP', 'ASK') 11 5335
1712559177693904755 ('SCP', 'ASK') 8 5336
1712559177693904755 ('SCP', 'ASK') 3 5336
[REJECTED] 1712559177693905084 ('MKU', 'ASK')
[REJECTED] 1712559177693905087 ('BRV', 'BID')
[REJECTED] 1712559177693905088 ('BRV', 'ASK')
[REJECTED] 1712559177693905089 ('SCP', 'BID')
[REJECTED] 1712559177693905090 ('SCP', 'ASK')
[REJECTED] 1712559177693905092 ('SCP', 'ASK')
[REJECTED] 1712559177693905093 ('SCP', 'ASK')
[REJECTED] 1712559177693905094 ('SCP', 'ASK')
[REJECTED] 1712559177693905095 ('SCP', 'ASK')
[REJECTED] 1712559177693905096 ('SCP', 'ASK')
[REJECTED] 1712559177693905097 ('SCP', 'ASK')
[REJECTED] 1712559177693905098 ('EPT', 'BID')
[REJECTED] 1712559177693905099 ('EPT', 'ASK')
[REJECTED] 1712559177693905100 ('EPT', 'BID')
[REJECTED] 1712559177693905101 ('EPT', 'ASK')
[REJECTED] 1712559177693905102 ('EPT', 'BID')
[REJECTED] 1712559177693905103 ('EPT', 'ASK')
[REJECTED] 1712559177693905104 ('DLO', 'BID')
[REJECTED] 1712559177693905105 ('DLO', 'ASK')
[REJECTED] 1712559177693905106 ('DLO', 'BID')
[REJECTED] 1712559177693905107 ('DLO', 'ASK')
[REJECTED] 1712559177693905108 ('DLO', 'BID')
[REJECTED] 1712559177693905109 ('DLO', 'ASK')
[REJECTED] 1712559177693905110 ('MKU', 'BID')
[REJECTED] 1712559177693905111 ('MKU', 'ASK')
[REJECTED] 1712559177693905112 ('MKU', 'BID')
[REJECTED] 1712559177693905113 ('MKU', 'ASK')
[REJECTED] 1712559177693905114 ('MKU', 'BID')
[REJECTED] 1712559177693905115 ('MKU', 'ASK')
[REJECTED] 1712559177693905116 ('IGM', 'BID')
[REJECTED] 1712559177693905117 ('IGM', 'ASK')
[REJECTED] 1712559177693905118 ('IGM', 'BID')
[REJECTED] 1712559177693905119 ('BRV', 'BID')
[REJECTED] 1712559177693905120 ('BRV', 'ASK')
[REJECTED] 1712559177693905121 ('BRV', 'BID')
[REJECTED] 1712559177693905122 ('BRV', 'ASK')
[REJECTED] 1712559177693905123 ('BRV', 'BID')
[REJECTED] 1712559177693905124 ('BRV', 'ASK')
1712559177693905085 ('IGM', 'BID') 3 5551
1712559177693904756 ('SCP', 'ASK') 11 5337
1712559177693904757 ('SCP', 'ASK') 11 5338
1712559177693905086 ('IGM', 'ASK') 3 5555
1712559177693904748 ('SCP', 'ASK') 3 5343
