[REJECTED] 1712706515662629632 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629701 ('BRV', <Side.SELL: 2>)
1712706515662629670 ('IGM', <Side.BUY: 1>) 3 5253 0
[REJECTED] 1712706515662629702 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629703 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629704 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629706 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629707 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629708 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629709 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629710 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629711 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629712 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629713 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629714 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629715 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629716 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629717 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629718 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629719 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629720 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629721 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629722 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629723 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629724 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629725 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629726 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629727 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629728 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629729 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629730 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629731 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629732 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629733 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629734 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629735 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629736 ('BRV', <Side.SELL: 2>)
1712706515662629669 ('MKU', <Side.BUY: 1>) 2 5435 0
[REJECTED] 1712706515662629737 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629738 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629740 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629741 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629742 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629743 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629744 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629745 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629746 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629747 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629748 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629749 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629750 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629751 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629752 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629753 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629754 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629755 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629756 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629757 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629758 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629759 ('MKU', <Side.SELL: 2>)
1712706515662629739 ('MKU', <Side.BUY: 1>) 1 5406 0
[REJECTED] 1712706515662629760 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629761 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629762 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629763 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629764 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629765 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629766 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629767 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629768 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629769 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629770 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629771 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629772 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629773 ('DLO', <Side.BUY: 1>)
1712706515662629774 ('MKU', <Side.BUY: 1>) 1 5356 3
[REJECTED] 1712706515662629775 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629776 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629777 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629778 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629779 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629780 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629781 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629782 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629783 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629784 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629785 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629786 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629787 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629788 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629790 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629791 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629792 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629793 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629794 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629795 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629796 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629797 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629798 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629799 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629800 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629801 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629802 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629803 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629804 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629805 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629806 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629807 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629808 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629809 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629810 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629811 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629812 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629813 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629814 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629815 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629816 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706515662629817 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706515662629818 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629819 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629820 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629821 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629822 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706515662629823 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706515662629824 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629825 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629826 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629827 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629828 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706515662629829 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706515662629830 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629831 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629832 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629833 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629834 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706515662629835 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706515662629836 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629837 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629838 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629839 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706515662629840 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706515662629841 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706531166360320 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706531166360321 ('DLO', <Side.BUY: 1>)
1712706531166360322 ('MKU', <Side.BUY: 1>) 1 5397 8
[REJECTED] 1712706531166360324 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706531166360325 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706531166360326 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706531166360327 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706531166360328 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706531166360329 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706531166360330 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706531166360331 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706531166360332 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706531166360333 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706531166360334 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706531166360335 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706531166360336 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706531166360338 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706531166360339 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706531166360340 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706531166360341 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706531166360342 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706531166360343 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706531166360344 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706531166360345 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706531166360346 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706531166360347 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706531166360348 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706531166360349 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706531166360350 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706531166360351 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706531166360352 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706531166360353 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706531166360354 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706537955478272 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478273 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478274 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478276 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478277 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478278 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478279 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478280 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478281 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478282 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478283 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478284 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478285 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478286 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478287 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478288 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478289 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478290 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478291 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478292 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478293 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478294 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478296 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478297 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478298 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478299 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478300 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478301 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478302 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706537955478303 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478304 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706537955478305 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478306 ('BRV', <Side.SELL: 2>)
1712706537955478275 ('IGM', <Side.BUY: 1>) 3 5481 0
[REJECTED] 1712706537955478307 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478308 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478309 ('MKU', <Side.BUY: 1>)
1712706537955478310 ('IGM', <Side.BUY: 1>) 2 5467 2
[REJECTED] 1712706537955478311 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478312 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478313 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478314 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478315 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478316 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478317 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478318 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478319 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478320 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478321 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478322 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478323 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478324 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478325 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478326 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478327 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478328 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478329 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478331 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478332 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478333 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478334 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478335 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478336 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478337 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706537955478338 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478339 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706537955478340 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478341 ('BRV', <Side.SELL: 2>)
1712706537955478295 ('IGM', <Side.BUY: 1>) 2 5461 0
[REJECTED] 1712706537955478342 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478343 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478344 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478346 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478347 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478348 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478349 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478350 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478351 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478352 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478353 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478354 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478355 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478356 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478357 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478358 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478359 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478360 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478361 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478362 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478363 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478364 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478365 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478366 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478367 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478368 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478369 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478370 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478371 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478372 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706537955478373 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478374 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706537955478375 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478376 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706537955478377 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478378 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478379 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478380 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478381 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478382 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478383 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478384 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478385 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478386 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706537955478387 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706537955478388 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478389 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478390 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478391 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478392 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706537955478393 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706537955478394 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478395 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478396 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478397 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478398 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706537955478399 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706537955478400 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478401 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478402 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478403 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478404 ('IGM', <Side.BUY: 1>)
[REJECTED] 1712706537955478405 ('IGM', <Side.SELL: 2>)
[REJECTED] 1712706537955478406 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478407 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706537955478408 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478409 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706537955478410 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706537955478411 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712706556233336576 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336577 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336578 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336580 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712706556233336581 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336582 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336583 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336584 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336585 ('EPT', <Side.BUY: 1>)
[REJECTED] 1712706556233336586 ('EPT', <Side.SELL: 2>)
[REJECTED] 1712706556233336587 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336588 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336589 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336590 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336591 ('DLO', <Side.BUY: 1>)
[REJECTED] 1712706556233336592 ('DLO', <Side.SELL: 2>)
[REJECTED] 1712706556233336593 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336594 ('MKU', <Side.SELL: 2>)
[REJECTED] 1712706556233336595 ('MKU', <Side.BUY: 1>)
[REJECTED] 1712706556233336596 ('MKU', <Side.SELL: 2>)
