1712717966233274882 ('MKU', <Side.BUY: 1>) 1 5036 1
[CANCELLED] 1712717966233275045 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275047 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275048 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275049 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275050 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275051 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275052 ('BRV', <Side.SELL: 2>)
1712717966233275057 ('BRV', <Side.BUY: 1>) 1 5138 12
1712717966233275054 ('DLO', <Side.BUY: 1>) 1 5016 0
1712717966233275056 ('IGM', <Side.BUY: 1>) 1 5621 0
1712717966233275082 ('BRV', <Side.BUY: 1>) 2 5130 0
1712717966233275055 ('MKU', <Side.BUY: 1>) 1 4999 0
1712717966233275076 ('IGM', <Side.BUY: 1>) 2 5601 0
1712717966233275084 ('BRV', <Side.BUY: 1>) 2 5110 0
1712717966233275078 ('IGM', <Side.BUY: 1>) 2 5581 0
1712717966233275080 ('IGM', <Side.BUY: 1>) 2 5561 0
1712717966233275059 ('EPT', <Side.SELL: 2>) 2 4799 0
1712717966233275070 ('MKU', <Side.BUY: 1>) 2 4979 0
1712717966233275061 ('EPT', <Side.SELL: 2>) 2 4819 0
[CANCELLED] 1712717966233275053 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275058 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275060 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275062 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275063 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275064 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275065 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275066 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275067 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275068 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275069 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275071 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275072 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275073 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275074 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275075 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275077 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275079 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275081 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275083 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275085 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275086 ('BRV', <Side.BUY: 1>)
1712717966233275090 ('IGM', <Side.BUY: 1>) 1 5532 0
1712717966233275091 ('BRV', <Side.BUY: 1>) 1 5099 0
1712717966233275110 ('IGM', <Side.BUY: 1>) 2 5512 0
1712717966233275116 ('BRV', <Side.BUY: 1>) 2 5079 0
1712717966233275089 ('MKU', <Side.BUY: 1>) 1 4982 0
1712717966233275112 ('IGM', <Side.BUY: 1>) 2 5492 0
1712717966233275118 ('BRV', <Side.BUY: 1>) 2 5059 0
1712717966233275088 ('DLO', <Side.BUY: 1>) 1 4999 0
1712717966233275104 ('MKU', <Side.BUY: 1>) 2 4962 0
1712717966233275114 ('IGM', <Side.BUY: 1>) 2 5472 0
1712717966233275120 ('BRV', <Side.BUY: 1>) 2 5039 0
[CANCELLED] 1712717966233275087 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275092 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275093 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275094 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275095 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275096 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275097 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275098 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275099 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275100 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275101 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275102 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275103 ('DLO', <Side.SELL: 2>)
1712717966233275123 ('DLO', <Side.BUY: 1>) 1 4984 16
[CANCELLED] 1712717966233275105 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275106 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275107 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275108 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275109 ('MKU', <Side.SELL: 2>)
1712717966233275124 ('MKU', <Side.BUY: 1>) 1 4950 13
[CANCELLED] 1712717966233275111 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275113 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275115 ('IGM', <Side.SELL: 2>)
1712717966233275125 ('IGM', <Side.BUY: 1>) 1 5457 19
[CANCELLED] 1712717966233275117 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275119 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275121 ('BRV', <Side.SELL: 2>)
1712717966233275126 ('BRV', <Side.BUY: 1>) 1 5025 35
1712717966233275151 ('BRV', <Side.BUY: 1>) 2 5025 15
1712717966233275145 ('IGM', <Side.BUY: 1>) 2 5456 0
1712717966233275133 ('DLO', <Side.BUY: 1>) 2 4980 0
1712717966233275153 ('BRV', <Side.BUY: 1>) 2 5020 0
1712717966233275139 ('MKU', <Side.BUY: 1>) 2 4943 0
1712717966233275147 ('IGM', <Side.BUY: 1>) 2 5436 0
1712717966233275149 ('IGM', <Side.BUY: 1>) 2 5416 0
[CANCELLED] 1712717966233275122 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275127 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275128 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275129 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275130 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275131 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275132 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275134 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275135 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275136 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275137 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275138 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275140 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275141 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275142 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275143 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275144 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275146 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275148 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275150 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275152 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275154 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275155 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275156 ('BRV', <Side.SELL: 2>)
1712717966233275161 ('BRV', <Side.BUY: 1>) 1 5001 0
1712717966233275160 ('IGM', <Side.BUY: 1>) 1 5393 0
[CANCELLED] 1712717966233275157 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275162 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275163 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275164 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275165 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275166 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275167 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275158 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275168 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275169 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275170 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275171 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275172 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275173 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275159 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275174 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275175 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275176 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275177 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275178 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275179 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275180 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275181 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275182 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275183 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275184 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275185 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275186 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275187 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275188 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275189 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275190 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275191 ('BRV', <Side.SELL: 2>)
1712717966233275192 ('EPT', <Side.BUY: 1>) 1 4848 0
1712717966233275222 ('BRV', <Side.SELL: 2>) 2 5028 0
1712717966233275204 ('DLO', <Side.SELL: 2>) 2 5007 0
1712717966233275210 ('MKU', <Side.SELL: 2>) 2 4961 0
1712717966233275206 ('DLO', <Side.SELL: 2>) 2 5027 0
[CANCELLED] 1712717966233275197 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275198 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275199 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275200 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275201 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275202 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275193 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275203 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275205 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275207 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275208 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275194 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275209 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275211 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275212 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275213 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275214 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275195 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275215 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275216 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275217 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275218 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275219 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275220 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275196 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275221 ('BRV', <Side.BUY: 1>)
1712717966233275226 ('IGM', <Side.BUY: 1>) 1 5412 0
1712717966233275246 ('IGM', <Side.BUY: 1>) 2 5392 0
1712717966233275225 ('MKU', <Side.BUY: 1>) 1 4973 0
1712717966233275227 ('BRV', <Side.BUY: 1>) 1 5078 0
1712717966233275248 ('IGM', <Side.BUY: 1>) 2 5372 0
1712717966233275229 ('EPT', <Side.SELL: 2>) 2 4861 0
1712717966233275252 ('BRV', <Side.BUY: 1>) 2 5058 0
[CANCELLED] 1712717966233275223 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275228 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275230 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275231 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275232 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275233 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275224 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275234 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275235 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275236 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275237 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275238 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712717966233275239 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712717966233275240 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275241 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275242 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275243 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712717966233275244 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712717966233275245 ('MKU', <Side.SELL: 2>)
1712717966233275260 ('MKU', <Side.BUY: 1>) 1 4971 3
[CANCELLED] 1712717966233275247 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275249 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712717966233275250 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712717966233275251 ('IGM', <Side.SELL: 2>)
1712717966233275261 ('IGM', <Side.BUY: 1>) 1 5366 8
[CANCELLED] 1712717966233275253 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275254 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275255 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712717966233275256 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712717966233275257 ('BRV', <Side.SELL: 2>)
1712717966233275262 ('BRV', <Side.BUY: 1>) 1 5046 32
1712717966233275287 ('BRV', <Side.BUY: 1>) 2 5046 12
1712717966233275259 ('DLO', <Side.BUY: 1>) 1 5010 0
1712717966233275289 ('BRV', <Side.BUY: 1>) 2 5038 0
1712717966233275275 ('MKU', <Side.BUY: 1>) 2 4954 0
[CANCELLED] 1712717966233275258 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275263 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275264 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275265 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275266 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712717966233275267 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712717966233275268 ('EPT', <Side.SELL: 2>)
