[REJECTED] 1712714554023991818 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991863 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991864 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991865 ('MKU', <Side.SELL: 2>)
1712714554023991880 ('MKU', <Side.BUY: 1>) 1 5416 10
[CANCELLED] 1712714554023991866 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991867 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991868 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991869 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991870 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991871 ('IGM', <Side.SELL: 2>)
1712714554023991881 ('IGM', <Side.BUY: 1>) 1 5824 7
[CANCELLED] 1712714554023991873 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023991874 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991875 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023991876 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991877 ('BRV', <Side.SELL: 2>)
1712714554023991882 ('BRV', <Side.BUY: 1>) 1 5743 13
[REJECTED] 1712714554023991888 ('EPT', <Side.SELL: 2>)
1712714554023991907 ('BRV', <Side.BUY: 1>) 2 5736 0
1712714554023991895 ('MKU', <Side.BUY: 1>) 2 5406 0
1712714554023991901 ('IGM', <Side.BUY: 1>) 2 5811 0
1712714554023991909 ('BRV', <Side.BUY: 1>) 2 5716 0
1712714554023991889 ('DLO', <Side.BUY: 1>) 2 5178 0
[CANCELLED] 1712714554023991878 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991883 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991884 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991885 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991886 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991887 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991890 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991891 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991892 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991893 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991894 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991896 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991897 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991898 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991899 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991900 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991902 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991903 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991904 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991905 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991906 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991908 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023991910 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023991921 ('EPT', <Side.SELL: 2>)
1712714554023991935 ('IGM', <Side.SELL: 2>) 2 5815 0
1712714554023991941 ('BRV', <Side.SELL: 2>) 2 5743 0
1712714554023991943 ('BRV', <Side.SELL: 2>) 2 5763 0
[CANCELLED] 1712714554023991911 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991916 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991917 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991918 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991919 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991920 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991912 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991922 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991923 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991924 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991925 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991926 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991927 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991913 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991928 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991929 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991930 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991931 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991932 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991933 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991914 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991934 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991936 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991937 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991938 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991939 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991915 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991940 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991942 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991944 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991945 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023991956 ('EPT', <Side.SELL: 2>)
1712714554023991948 ('MKU', <Side.BUY: 1>) 1 5417 0
1712714554023991964 ('MKU', <Side.SELL: 2>) 2 5441 0
1712714554023991949 ('IGM', <Side.BUY: 1>) 1 5809 0
1712714554023991969 ('IGM', <Side.BUY: 1>) 2 5789 0
1712714554023991952 ('EPT', <Side.SELL: 2>) 2 4772 0
1712714554023991971 ('IGM', <Side.BUY: 1>) 2 5769 0
1712714554023991976 ('BRV', <Side.SELL: 2>) 2 5782 0
[CANCELLED] 1712714554023991946 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991951 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991953 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991954 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991955 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991947 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991957 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991958 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991959 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991960 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991961 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991962 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991963 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991965 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991966 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991967 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991968 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023991970 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991972 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991973 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023991974 ('IGM', <Side.SELL: 2>)
1712714554023991982 ('IGM', <Side.BUY: 1>) 1 5762 23
[CANCELLED] 1712714554023991950 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991975 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991977 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023991978 ('BRV', <Side.SELL: 2>)
1712714554023991985 ('EPT', <Side.SELL: 2>) 2 4790 0
1712714554023992002 ('IGM', <Side.BUY: 1>) 2 5762 3
1712714554023991997 ('MKU', <Side.SELL: 2>) 2 5469 0
1712714554023992009 ('BRV', <Side.SELL: 2>) 2 5801 0
1712714554023992011 ('BRV', <Side.SELL: 2>) 2 5821 0
1712714554023992004 ('IGM', <Side.BUY: 1>) 2 5745 0
1712714554023991999 ('MKU', <Side.SELL: 2>) 2 5489 0
1712714554023992001 ('MKU', <Side.SELL: 2>) 2 5509 0
1712714554023992013 ('BRV', <Side.SELL: 2>) 2 5841 0
1712714554023991991 ('DLO', <Side.SELL: 2>) 2 5234 0
1712714554023991993 ('DLO', <Side.SELL: 2>) 2 5254 0
[CANCELLED] 1712714554023991979 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991984 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991986 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991987 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023991988 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023991989 ('EPT', <Side.SELL: 2>)
1712714554023992014 ('EPT', <Side.BUY: 1>) 1 4786 12
[CANCELLED] 1712714554023991980 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991990 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991992 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991994 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023991995 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023991981 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991996 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023991998 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992000 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992003 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992005 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992006 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992007 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023991983 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992008 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992010 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992012 ('BRV', <Side.BUY: 1>)
1712714554023992038 ('IGM', <Side.SELL: 2>) 2 5779 -7
1712714554023992040 ('IGM', <Side.SELL: 2>) 2 5792 0
1712714554023992019 ('EPT', <Side.BUY: 1>) 2 4778 0
1712714554023992042 ('IGM', <Side.SELL: 2>) 2 5812 0
1712714554023992044 ('BRV', <Side.SELL: 2>) 2 5890 0
1712714554023992046 ('BRV', <Side.SELL: 2>) 2 5910 0
[CANCELLED] 1712714554023992020 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992021 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992022 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992023 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992024 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992015 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992025 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992026 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992027 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992028 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992029 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992030 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992016 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992031 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992032 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992033 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992034 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992035 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992036 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992017 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992037 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992039 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992041 ('IGM', <Side.BUY: 1>)
1712714554023992052 ('IGM', <Side.BUY: 1>) 1 5801 14
[CANCELLED] 1712714554023992018 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992043 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992045 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992047 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992048 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023992059 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992049 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992054 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992055 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992056 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992057 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992058 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992050 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992060 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992061 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992062 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992063 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992064 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992065 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992051 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992066 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992067 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992068 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992069 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992070 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992071 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992072 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992073 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992074 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992075 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992076 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992077 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992053 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992078 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992079 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992080 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992081 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992082 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992083 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712714554023992094 ('EPT', <Side.SELL: 2>)
1712714554023992088 ('BRV', <Side.BUY: 1>) 1 5902 0
1712714554023992085 ('DLO', <Side.BUY: 1>) 1 5241 0
1712714554023992086 ('MKU', <Side.BUY: 1>) 1 5530 0
[CANCELLED] 1712714554023992084 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992089 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992090 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992091 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992092 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992093 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992095 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992096 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992097 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992098 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992099 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992100 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992101 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992102 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992103 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992104 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992105 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992106 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992087 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992107 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992108 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992109 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992110 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992111 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992112 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992113 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992114 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712714554023992115 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712714554023992126 ('EPT', <Side.SELL: 2>)
1712714554023992134 ('MKU', <Side.SELL: 2>) 2 5549 0
1712714554023992146 ('BRV', <Side.SELL: 2>) 2 5906 0
1712714554023992128 ('DLO', <Side.SELL: 2>) 2 5260 0
1712714554023992140 ('IGM', <Side.SELL: 2>) 2 5853 0
1712714554023992136 ('MKU', <Side.SELL: 2>) 2 5569 0
1712714554023992148 ('BRV', <Side.SELL: 2>) 2 5926 0
1712714554023992150 ('BRV', <Side.SELL: 2>) 2 5946 0
[CANCELLED] 1712714554023992116 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992121 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992122 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992123 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992124 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992125 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992117 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992127 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992129 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992130 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992131 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992132 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992118 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992133 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992135 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992137 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992138 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992119 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992139 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992141 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992142 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992143 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992144 ('IGM', <Side.SELL: 2>)
1712714554023992154 ('IGM', <Side.BUY: 1>) 1 5846 1
[CANCELLED] 1712714554023992120 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992145 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992147 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992149 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712714554023992161 ('EPT', <Side.SELL: 2>)
1712714554023992181 ('BRV', <Side.SELL: 2>) 2 5968 0
1712714554023992169 ('MKU', <Side.SELL: 2>) 2 5599 0
1712714554023992157 ('EPT', <Side.SELL: 2>) 2 4819 0
1712714554023992183 ('BRV', <Side.SELL: 2>) 2 5988 0
[CANCELLED] 1712714554023992151 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992156 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992158 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992159 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992160 ('EPT', <Side.BUY: 1>)
1712714554023992186 ('EPT', <Side.BUY: 1>) 1 4807 0
[CANCELLED] 1712714554023992152 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992162 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992163 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992164 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992165 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992166 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992167 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992153 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992168 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992170 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992171 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992172 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712714554023992173 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712714554023992174 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992175 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992176 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992177 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992178 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712714554023992179 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712714554023992155 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992180 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992182 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992184 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712714554023992185 ('BRV', <Side.SELL: 2>)
1712714554023992189 ('IGM', <Side.BUY: 1>) 1 5837 0
1712714554023992187 ('DLO', <Side.BUY: 1>) 1 5275 0
1712714554023992209 ('IGM', <Side.BUY: 1>) 2 5817 0
1712714554023992216 ('BRV', <Side.SELL: 2>) 2 6012 0
[CANCELLED] 1712714554023992191 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992192 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992193 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992194 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992195 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712714554023992196 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712714554023992197 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712714554023992198 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712714554023992199 ('DLO', <Side.BUY: 1>)
