1712600391356146432 ('SCP', 'ASK') 24 5480 -16
1712600391356146475 ('BRV', 'BID') 30 5682 18
1712600391356146480 ('IGM', 'BID') 7 5624 20
1712600391356146481 ('BRV', 'BID') 10 5680 0
1712600391356146473 ('MKU', 'BID') 32 4798 0
1712600391356146483 ('BRV', 'BID') 9 5660 0
[CANCELLED] 1712600391356146476 ('EPT', 'BID')
[CANCELLED] 1712600391356146477 ('EPT', 'ASK')
[CANCELLED] 1712600391356146478 ('DLO', 'BID')
[CANCELLED] 1712600391356146479 ('MKU', 'BID')
[CANCELLED] 1712600391356146482 ('BRV', 'ASK')
1712600391356146484 ('EPT', 'BID') 13 4732 0
1712600391356146486 ('MKU', 'BID') 11 4781 15
1712600391356146488 ('BRV', 'BID') 3 5606 17
1712600391356146512 ('BRV', 'BID') 10 5603 0
1712600391356146507 ('IGM', 'ASK') 10 5587 0
1712600391356146500 ('MKU', 'BID') 10 4776 0
1712600391356146509 ('IGM', 'ASK') 10 5607 0
1712600391356146514 ('BRV', 'BID') 10 5583 0
1712600391356146502 ('MKU', 'BID') 10 4756 0
1712600391356146504 ('MKU', 'BID') 10 4736 0
[CANCELLED] 1712600391356146485 ('DLO', 'BID')
[CANCELLED] 1712600391356146487 ('IGM', 'BID')
[CANCELLED] 1712600391356146489 ('EPT', 'BID')
[CANCELLED] 1712600391356146490 ('EPT', 'ASK')
[CANCELLED] 1712600391356146491 ('EPT', 'BID')
[CANCELLED] 1712600391356146492 ('EPT', 'ASK')
[CANCELLED] 1712600391356146493 ('EPT', 'BID')
[CANCELLED] 1712600391356146494 ('DLO', 'BID')
[CANCELLED] 1712600391356146495 ('DLO', 'ASK')
[CANCELLED] 1712600391356146496 ('DLO', 'BID')
[CANCELLED] 1712600391356146497 ('DLO', 'ASK')
[CANCELLED] 1712600391356146498 ('DLO', 'BID')
[CANCELLED] 1712600391356146499 ('DLO', 'ASK')
[CANCELLED] 1712600391356146501 ('MKU', 'ASK')
[CANCELLED] 1712600391356146503 ('MKU', 'ASK')
[CANCELLED] 1712600391356146505 ('MKU', 'ASK')
[CANCELLED] 1712600391356146506 ('IGM', 'BID')
[CANCELLED] 1712600391356146508 ('IGM', 'BID')
[CANCELLED] 1712600391356146510 ('IGM', 'BID')
[CANCELLED] 1712600391356146511 ('IGM', 'ASK')
[CANCELLED] 1712600391356146513 ('BRV', 'ASK')
[CANCELLED] 1712600391356146515 ('BRV', 'ASK')
[CANCELLED] 1712600391356146516 ('BRV', 'BID')
[CANCELLED] 1712600391356146517 ('BRV', 'ASK')
1712600391356146519 ('DLO', 'BID') 26 4816 2
1712600391356146520 ('MKU', 'BID') 26 4753 4
1712600391356146522 ('BRV', 'BID') 16 5567 8
[REJECTED] 1712600391356146525 ('MKU', 'BID')
1712600391356146528 ('IGM', 'ASK') 10 5629 0
1712600391356146529 ('BRV', 'BID') 10 5555 0
[CANCELLED] 1712600391356146518 ('EPT', 'BID')
[CANCELLED] 1712600391356146521 ('IGM', 'BID')
[CANCELLED] 1712600391356146523 ('EPT', 'BID')
[CANCELLED] 1712600391356146524 ('EPT', 'ASK')
[CANCELLED] 1712600391356146526 ('MKU', 'ASK')
[CANCELLED] 1712600391356146527 ('IGM', 'BID')
[CANCELLED] 1712600391356146530 ('BRV', 'ASK')
[CANCELLED] 1712600391356146531 ('BRV', 'BID')
1712600391356146552 ('BRV', 'ASK') 10 5574 0
1712600391356146533 ('DLO', 'BID') 7 4791 0
1712600391356146532 ('EPT', 'BID') 48 4730 0
1712600391356146534 ('MKU', 'BID') 1 4732 0
[CANCELLED] 1712600391356146535 ('IGM', 'BID')
[CANCELLED] 1712600391356146536 ('BRV', 'BID')
[CANCELLED] 1712600391356146537 ('EPT', 'BID')
[CANCELLED] 1712600391356146538 ('DLO', 'BID')
[CANCELLED] 1712600391356146539 ('DLO', 'ASK')
[CANCELLED] 1712600391356146540 ('DLO', 'BID')
[CANCELLED] 1712600391356146541 ('DLO', 'ASK')
[CANCELLED] 1712600391356146542 ('DLO', 'BID')
[CANCELLED] 1712600391356146543 ('DLO', 'ASK')
[CANCELLED] 1712600391356146544 ('MKU', 'BID')
[CANCELLED] 1712600391356146545 ('MKU', 'ASK')
[CANCELLED] 1712600391356146546 ('MKU', 'BID')
[CANCELLED] 1712600391356146547 ('MKU', 'ASK')
[CANCELLED] 1712600391356146548 ('MKU', 'BID')
[CANCELLED] 1712600391356146549 ('MKU', 'ASK')
[CANCELLED] 1712600391356146550 ('IGM', 'BID')
[CANCELLED] 1712600391356146551 ('BRV', 'BID')
[CANCELLED] 1712600391356146553 ('BRV', 'BID')
[CANCELLED] 1712600391356146554 ('BRV', 'ASK')
[CANCELLED] 1712600391356146555 ('BRV', 'BID')
1712600391356146556 ('EPT', 'BID') 11 4726 6
[REJECTED] 1712600391356146560 ('EPT', 'BID')
1712600391356146559 ('BRV', 'BID') 30 5591 0
1712600391356146559 ('BRV', 'BID') 2 5591 0
[CANCELLED] 1712600391356146557 ('DLO', 'BID')
[CANCELLED] 1712600391356146558 ('IGM', 'BID')
[CANCELLED] 1712600391356146561 ('EPT', 'ASK')
[CANCELLED] 1712600391356146562 ('DLO', 'BID')
[CANCELLED] 1712600391356146563 ('BRV', 'BID')
1712600391356146566 ('IGM', 'BID') 30 5735 13
1712600391356146566 ('IGM', 'BID') 17 5736 12
[REJECTED] 1712600391356146567 ('BRV', 'BID')
[REJECTED] 1712600391356146578 ('BRV', 'BID')
[REJECTED] 1712600391356146580 ('BRV', 'BID')
1712600391356146577 ('IGM', 'BID') 7 5728 0
1712600391356146569 ('EPT', 'ASK') 10 4736 0
[CANCELLED] 1712600391356146564 ('EPT', 'BID')
[CANCELLED] 1712600391356146565 ('DLO', 'BID')
[CANCELLED] 1712600391356146568 ('EPT', 'BID')
[CANCELLED] 1712600391356146570 ('DLO', 'BID')
[CANCELLED] 1712600391356146571 ('DLO', 'ASK')
[CANCELLED] 1712600391356146572 ('DLO', 'BID')
[CANCELLED] 1712600391356146573 ('DLO', 'ASK')
[CANCELLED] 1712600391356146574 ('MKU', 'ASK')
[CANCELLED] 1712600391356146575 ('MKU', 'ASK')
[CANCELLED] 1712600391356146576 ('MKU', 'ASK')
[CANCELLED] 1712600391356146579 ('BRV', 'ASK')
[CANCELLED] 1712600391356146581 ('BRV', 'ASK')
1712600391356146583 ('JAK', 'ASK') 30 4781 0
1712600391356146584 ('JAK', 'ASK') 40 4780 0
1712600391356146583 ('JAK', 'ASK') 2 4781 0
1712600391356146585 ('EPT', 'BID') 17 4737 0
1712600391356146588 ('EPT', 'BID') 10 4717 0
[CANCELLED] 1712600391356146582 ('JAK', 'ASK')
[CANCELLED] 1712600391356146586 ('DLO', 'BID')
[CANCELLED] 1712600391356146587 ('IGM', 'BID')
[CANCELLED] 1712600391356146589 ('EPT', 'ASK')
[CANCELLED] 1712600391356146590 ('DLO', 'BID')
[CANCELLED] 1712600391356146591 ('IGM', 'BID')
[CANCELLED] 1712600391356146592 ('BRV', 'ASK')
1712600391356146593 ('JAK', 'ASK') 24 4789 -9
[REJECTED] 1712600391356146594 ('JAK', 'ASK')
[REJECTED] 1712600391356146595 ('JAK', 'ASK')
[REJECTED] 1712600391356146596 ('EPT', 'BID')
[REJECTED] 1712600391356146599 ('EPT', 'BID')
1712600391356146600 ('EPT', 'ASK') 10 4734 0
[CANCELLED] 1712600391356146597 ('DLO', 'BID')
[CANCELLED] 1712600391356146598 ('IGM', 'BID')
[CANCELLED] 1712600391356146601 ('DLO', 'BID')
[CANCELLED] 1712600391356146602 ('DLO', 'ASK')
[CANCELLED] 1712600391356146603 ('DLO', 'BID')
[CANCELLED] 1712600391356146604 ('DLO', 'ASK')
[CANCELLED] 1712600391356146605 ('MKU', 'ASK')
[CANCELLED] 1712600391356146606 ('BRV', 'ASK')
1712600391356146607 ('JAK', 'ASK') 4 4825 -10
[REJECTED] 1712600391356146608 ('JAK', 'ASK')
[REJECTED] 1712600391356146609 ('JAK', 'ASK')
[REJECTED] 1712600391356146610 ('JAK', 'ASK')
[REJECTED] 1712600391356146611 ('JAK', 'ASK')
[REJECTED] 1712600391356146612 ('JAK', 'ASK')
[REJECTED] 1712600391356146613 ('JAK', 'ASK')
1712600391356146615 ('IGM', 'BID') 31 5842 0
1712600391356146616 ('EPT', 'ASK') 10 4787 0
[CANCELLED] 1712600391356146614 ('DLO', 'BID')
[CANCELLED] 1712600391356146617 ('DLO', 'BID')
[CANCELLED] 1712600391356146618 ('IGM', 'BID')
1712600391356146620 ('IGM', 'BID') 6 5853 0
[CANCELLED] 1712600391356146619 ('DLO', 'BID')
[CANCELLED] 1712600391356146621 ('DLO', 'BID')
[CANCELLED] 1712600391356146622 ('DLO', 'ASK')
[CANCELLED] 1712600391356146623 ('DLO', 'BID')
[CANCELLED] 1712600391356146624 ('DLO', 'ASK')
1712600391356146625 ('EPT', 'BID') 10 4792 0
1712600391356146626 ('DLO', 'BID') 25 4863 0
[CANCELLED] 1712600391356146627 ('EPT', 'BID')
[CANCELLED] 1712600391356146628 ('DLO', 'BID')
[REJECTED] 1712600391356146629 ('DLO', 'BID')
[REJECTED] 1712600391356146630 ('DLO', 'BID')
[REJECTED] 1712600391356146632 ('DLO', 'BID')
[CANCELLED] 1712600391356146631 ('DLO', 'ASK')
[CANCELLED] 1712600391356146633 ('DLO', 'ASK')
[CANCELLED] 1712600391356146634 ('DLO', 'ASK')
[CANCELLED] 1712600391356146635 ('DLO', 'ASK')
1712600391356146636 ('SCP', 'BID') 24 5190 32
1712600391356146637 ('SCP', 'BID') 6 5190 33
1712600391356146637 ('SCP', 'BID') 40 5191 32
1712600391356146637 ('SCP', 'BID') 10 5192 31
1712600391356146638 ('SCP', 'BID') 20 5192 32
1712600391356146642 ('SCP', 'BID') 4 5160 0
1712600391356146641 ('SCP', 'BID') 30 5159 0
1712600391356146641 ('SCP', 'BID') 10 5159 0
1712600391356146640 ('SCP', 'BID') 30 5158 0
1712600391356146640 ('SCP', 'BID') 2 5158 0
[CANCELLED] 1712600391356146639 ('SCP', 'BID')
1712600391356146643 ('SCP', 'BID') 4 5154 6
[CANCELLED] 1712600391356146644 ('SCP', 'BID')
[CANCELLED] 1712600391356146645 ('SCP', 'BID')
[CANCELLED] 1712600391356146646 ('SCP', 'BID')
[CANCELLED] 1712600391356146647 ('SCP', 'BID')
[CANCELLED] 1712600391356146648 ('SCP', 'BID')
[CANCELLED] 1712600391356146649 ('SCP', 'BID')
[CANCELLED] 1712600391356146650 ('SCP', 'BID')
[CANCELLED] 1712600391356146651 ('SCP', 'BID')
[CANCELLED] 1712600391356146652 ('SCP', 'BID')
[CANCELLED] 1712600391356146653 ('SCP', 'BID')
1712600391356146654 ('SCP', 'BID') 20 5117 5
[REJECTED] 1712600391356146655 ('SCP', 'BID')
[REJECTED] 1712600391356146656 ('SCP', 'BID')
[REJECTED] 1712600391356146657 ('SCP', 'BID')
[REJECTED] 1712600391356146658 ('SCP', 'BID')
