1712600119718887959 ('IGM', 'ASK') 10 5819 0
[CANCELLED] 1712600119718887993 ('DLO', 'ASK')
[CANCELLED] 1712600119718887994 ('DLO', 'BID')
[CANCELLED] 1712600119718887995 ('DLO', 'ASK')
[CANCELLED] 1712600119718887996 ('MKU', 'BID')
[CANCELLED] 1712600119718887997 ('MKU', 'ASK')
[CANCELLED] 1712600119718887998 ('MKU', 'BID')
[CANCELLED] 1712600119718887999 ('MKU', 'ASK')
[CANCELLED] 1712600119718888000 ('IGM', 'BID')
[CANCELLED] 1712600119718888002 ('IGM', 'BID')
[CANCELLED] 1712600119718888003 ('IGM', 'ASK')
[CANCELLED] 1712600119718888004 ('IGM', 'BID')
[CANCELLED] 1712600119718888005 ('IGM', 'ASK')
[CANCELLED] 1712600119718888006 ('BRV', 'ASK')
1712600119718888007 ('EPT', 'BID') 3 4621 0
1712600119718888010 ('IGM', 'BID') 10 5820 22
[REJECTED] 1712600119718888011 ('EPT', 'BID')
[REJECTED] 1712600119718888013 ('EPT', 'BID')
[REJECTED] 1712600119718888015 ('EPT', 'BID')
[REJECTED] 1712600119718888018 ('IGM', 'BID')
[REJECTED] 1712600119718888020 ('IGM', 'BID')
1712600119718888008 ('DLO', 'BID') 27 4832 0
[CANCELLED] 1712600119718888009 ('MKU', 'BID')
[CANCELLED] 1712600119718888012 ('EPT', 'ASK')
[CANCELLED] 1712600119718888014 ('EPT', 'ASK')
[CANCELLED] 1712600119718888016 ('EPT', 'ASK')
[CANCELLED] 1712600119718888017 ('MKU', 'BID')
[CANCELLED] 1712600119718888019 ('IGM', 'ASK')
[CANCELLED] 1712600119718888021 ('IGM', 'ASK')
[CANCELLED] 1712600119718888022 ('BRV', 'ASK')
1712600119718888029 ('DLO', 'ASK') 10 4829 0
[CANCELLED] 1712600119718888023 ('DLO', 'BID')
[CANCELLED] 1712600119718888024 ('MKU', 'BID')
[CANCELLED] 1712600119718888025 ('EPT', 'ASK')
[CANCELLED] 1712600119718888026 ('EPT', 'ASK')
[CANCELLED] 1712600119718888027 ('EPT', 'ASK')
[CANCELLED] 1712600119718888028 ('DLO', 'BID')
[CANCELLED] 1712600119718888030 ('DLO', 'BID')
[CANCELLED] 1712600119718888031 ('DLO', 'ASK')
[CANCELLED] 1712600119718888032 ('DLO', 'BID')
[CANCELLED] 1712600119718888033 ('DLO', 'ASK')
[CANCELLED] 1712600119718888034 ('MKU', 'BID')
[CANCELLED] 1712600119718888035 ('MKU', 'ASK')
[CANCELLED] 1712600119718888036 ('MKU', 'BID')
[CANCELLED] 1712600119718888037 ('MKU', 'ASK')
[CANCELLED] 1712600119718888038 ('IGM', 'ASK')
[CANCELLED] 1712600119718888039 ('IGM', 'ASK')
[CANCELLED] 1712600119718888040 ('IGM', 'ASK')
1712600119718888041 ('SCP', 'BID') 24 5121 15
1712600119718888042 ('SCP', 'BID') 6 5121 16
1712600119718888042 ('SCP', 'BID') 26 5122 15
1712600119718888048 ('DLO', 'ASK') 10 4859 0
[CANCELLED] 1712600119718888043 ('DLO', 'BID')
[CANCELLED] 1712600119718888044 ('MKU', 'BID')
[CANCELLED] 1712600119718888045 ('EPT', 'ASK')
[CANCELLED] 1712600119718888046 ('EPT', 'ASK')
[CANCELLED] 1712600119718888047 ('DLO', 'BID')
[CANCELLED] 1712600119718888049 ('MKU', 'BID')
[CANCELLED] 1712600119718888050 ('IGM', 'ASK')
1712600119718888051 ('SCP', 'BID') 24 5082 31
1712600119718888052 ('SCP', 'BID') 6 5082 32
1712600119718888052 ('SCP', 'BID') 26 5083 31
1712600119718888053 ('SCP', 'BID') 14 5083 32
1712600119718888053 ('SCP', 'BID') 26 5084 31
1712600119718888054 ('SCP', 'BID') 4 5084 32
1712600119718888056 ('MKU', 'BID') 10 4558 2
[REJECTED] 1712600119718888063 ('MKU', 'BID')
[REJECTED] 1712600119718888065 ('MKU', 'BID')
[CANCELLED] 1712600119718888055 ('DLO', 'BID')
[CANCELLED] 1712600119718888057 ('EPT', 'ASK')
[CANCELLED] 1712600119718888058 ('DLO', 'BID')
[CANCELLED] 1712600119718888059 ('DLO', 'ASK')
[CANCELLED] 1712600119718888060 ('DLO', 'BID')
[CANCELLED] 1712600119718888061 ('DLO', 'ASK')
[CANCELLED] 1712600119718888062 ('DLO', 'BID')
[CANCELLED] 1712600119718888064 ('MKU', 'ASK')
[CANCELLED] 1712600119718888066 ('MKU', 'ASK')
[CANCELLED] 1712600119718888067 ('IGM', 'ASK')
1712600119718888068 ('SCP', 'BID') 24 5054 4
[REJECTED] 1712600119718888069 ('SCP', 'BID')
[REJECTED] 1712600119718888070 ('SCP', 'BID')
1712600119718888071 ('SCP', 'BID') 4 5054 7
[REJECTED] 1712600133170846208 ('IGM', 'BID')
[REJECTED] 1712600133170846218 ('IGM', 'BID')
[REJECTED] 1712600133170846220 ('IGM', 'BID')
[REJECTED] 1712600133170846222 ('IGM', 'BID')
1712600133170846224 ('BRV', 'ASK') 10 5100 0
1712600133170846225 ('BRV', 'ASK') 10 5120 0
[REJECTED] 1712600158768547584 ('JAK', 'BID')
[REJECTED] 1712600158768547585 ('JAK', 'BID')
[REJECTED] 1712600158768547586 ('JAK', 'BID')
[REJECTED] 1712600158768547587 ('JAK', 'BID')
[REJECTED] 1712600158768547588 ('JAK', 'BID')
[REJECTED] 1712600158768547589 ('JAK', 'BID')
[REJECTED] 1712600158768547590 ('EPT', 'BID')
[REJECTED] 1712600158768547591 ('DLO', 'BID')
[REJECTED] 1712600158768547592 ('MKU', 'BID')
[REJECTED] 1712600158768547593 ('IGM', 'BID')
[REJECTED] 1712600158768547594 ('BRV', 'BID')
[REJECTED] 1712600158768547595 ('EPT', 'BID')
[REJECTED] 1712600158768547596 ('EPT', 'ASK')
[REJECTED] 1712600158768547597 ('EPT', 'BID')
[REJECTED] 1712600158768547598 ('EPT', 'ASK')
[REJECTED] 1712600158768547599 ('EPT', 'BID')
[REJECTED] 1712600158768547600 ('EPT', 'ASK')
[REJECTED] 1712600158768547601 ('DLO', 'BID')
[REJECTED] 1712600158768547602 ('DLO', 'ASK')
[REJECTED] 1712600158768547603 ('DLO', 'BID')
[REJECTED] 1712600158768547604 ('DLO', 'ASK')
[REJECTED] 1712600158768547605 ('DLO', 'BID')
[REJECTED] 1712600158768547606 ('DLO', 'ASK')
[REJECTED] 1712600158768547607 ('MKU', 'BID')
[REJECTED] 1712600158768547608 ('MKU', 'ASK')
[REJECTED] 1712600158768547609 ('MKU', 'BID')
[REJECTED] 1712600158768547610 ('MKU', 'ASK')
[REJECTED] 1712600158768547611 ('MKU', 'BID')
[REJECTED] 1712600158768547612 ('MKU', 'ASK')
[REJECTED] 1712600158768547613 ('IGM', 'BID')
[REJECTED] 1712600158768547614 ('IGM', 'ASK')
[REJECTED] 1712600158768547615 ('IGM', 'BID')
[REJECTED] 1712600158768547616 ('IGM', 'ASK')
[REJECTED] 1712600158768547617 ('IGM', 'BID')
[REJECTED] 1712600158768547618 ('IGM', 'ASK')
[REJECTED] 1712600158768547619 ('BRV', 'BID')
[REJECTED] 1712600158768547621 ('BRV', 'BID')
[REJECTED] 1712600158768547623 ('BRV', 'BID')
[REJECTED] 1712600158768547624 ('BRV', 'ASK')
1712600158768547620 ('BRV', 'ASK') 10 5234 0
1712600158768547622 ('BRV', 'ASK') 10 5254 0
[REJECTED] 1712600158768547625 ('JAK', 'BID')
[REJECTED] 1712600158768547626 ('JAK', 'BID')
[REJECTED] 1712600158768547627 ('JAK', 'BID')
[REJECTED] 1712600158768547628 ('JAK', 'BID')
[REJECTED] 1712600158768547629 ('JAK', 'BID')
[REJECTED] 1712600158768547630 ('JAK', 'BID')
[REJECTED] 1712600158768547631 ('EPT', 'BID')
[REJECTED] 1712600158768547632 ('DLO', 'BID')
[REJECTED] 1712600158768547633 ('MKU', 'BID')
[REJECTED] 1712600158768547634 ('IGM', 'BID')
[REJECTED] 1712600158768547636 ('EPT', 'BID')
[REJECTED] 1712600158768547637 ('EPT', 'ASK')
[REJECTED] 1712600158768547638 ('EPT', 'BID')
[REJECTED] 1712600158768547639 ('EPT', 'ASK')
[REJECTED] 1712600158768547640 ('EPT', 'BID')
[REJECTED] 1712600158768547641 ('EPT', 'ASK')
[REJECTED] 1712600158768547642 ('DLO', 'BID')
[REJECTED] 1712600158768547643 ('DLO', 'ASK')
[REJECTED] 1712600158768547644 ('DLO', 'BID')
[REJECTED] 1712600158768547645 ('DLO', 'ASK')
[REJECTED] 1712600158768547646 ('DLO', 'BID')
[REJECTED] 1712600158768547647 ('DLO', 'ASK')
[REJECTED] 1712600158768547648 ('MKU', 'BID')
[REJECTED] 1712600158768547649 ('MKU', 'ASK')
[REJECTED] 1712600158768547650 ('MKU', 'BID')
[REJECTED] 1712600158768547651 ('MKU', 'ASK')
[REJECTED] 1712600158768547652 ('MKU', 'BID')
[REJECTED] 1712600158768547653 ('MKU', 'ASK')
[REJECTED] 1712600158768547654 ('IGM', 'BID')
[REJECTED] 1712600158768547655 ('IGM', 'ASK')
[REJECTED] 1712600158768547656 ('IGM', 'BID')
[REJECTED] 1712600158768547657 ('IGM', 'ASK')
[REJECTED] 1712600158768547658 ('IGM', 'BID')
[REJECTED] 1712600158768547659 ('IGM', 'ASK')
[REJECTED] 1712600158768547661 ('BRV', 'ASK')
[REJECTED] 1712600158768547662 ('BRV', 'BID')
[REJECTED] 1712600158768547663 ('BRV', 'ASK')
[REJECTED] 1712600158768547664 ('BRV', 'BID')
[REJECTED] 1712600158768547665 ('BRV', 'ASK')
1712600158768547635 ('BRV', 'BID') 9 5280 0
1712600158768547660 ('BRV', 'BID') 10 5260 0
[REJECTED] 1712600158768547666 ('JAK', 'BID')
[REJECTED] 1712600158768547667 ('JAK', 'BID')
[REJECTED] 1712600158768547668 ('JAK', 'BID')
[REJECTED] 1712600158768547669 ('JAK', 'BID')
[REJECTED] 1712600158768547670 ('JAK', 'BID')
[REJECTED] 1712600158768547671 ('JAK', 'BID')
[REJECTED] 1712600158768547672 ('EPT', 'BID')
[REJECTED] 1712600158768547673 ('DLO', 'BID')
[REJECTED] 1712600158768547674 ('MKU', 'BID')
[REJECTED] 1712600158768547675 ('IGM', 'BID')
[REJECTED] 1712600158768547676 ('EPT', 'BID')
[REJECTED] 1712600158768547677 ('EPT', 'ASK')
[REJECTED] 1712600158768547678 ('EPT', 'BID')
[REJECTED] 1712600158768547679 ('EPT', 'ASK')
[REJECTED] 1712600158768547680 ('EPT', 'BID')
[REJECTED] 1712600158768547681 ('EPT', 'ASK')
[REJECTED] 1712600158768547682 ('DLO', 'BID')
[REJECTED] 1712600158768547683 ('DLO', 'ASK')
[REJECTED] 1712600158768547684 ('DLO', 'BID')
[REJECTED] 1712600158768547685 ('DLO', 'ASK')
[REJECTED] 1712600158768547686 ('DLO', 'BID')
[REJECTED] 1712600158768547687 ('DLO', 'ASK')
[REJECTED] 1712600158768547688 ('MKU', 'BID')
[REJECTED] 1712600158768547689 ('MKU', 'ASK')
[REJECTED] 1712600158768547690 ('MKU', 'BID')
[REJECTED] 1712600158768547691 ('MKU', 'ASK')
[REJECTED] 1712600158768547692 ('MKU', 'BID')
[REJECTED] 1712600158768547693 ('MKU', 'ASK')
[REJECTED] 1712600158768547694 ('IGM', 'BID')
[REJECTED] 1712600158768547695 ('IGM', 'ASK')
[REJECTED] 1712600158768547696 ('IGM', 'BID')
[REJECTED] 1712600158768547697 ('IGM', 'ASK')
[REJECTED] 1712600158768547698 ('IGM', 'BID')
[REJECTED] 1712600158768547699 ('IGM', 'ASK')
[REJECTED] 1712600158768547702 ('BRV', 'ASK')
[REJECTED] 1712600169530528256 ('SCP', 'BID')
[REJECTED] 1712600169530528257 ('SCP', 'BID')
[REJECTED] 1712600169530528258 ('EPT', 'BID')
[REJECTED] 1712600169530528259 ('DLO', 'BID')
[REJECTED] 1712600169530528260 ('MKU', 'BID')
[REJECTED] 1712600169530528261 ('IGM', 'BID')
[REJECTED] 1712600169530528263 ('EPT', 'BID')
[REJECTED] 1712600169530528264 ('EPT', 'ASK')
[REJECTED] 1712600169530528265 ('EPT', 'BID')
[REJECTED] 1712600169530528266 ('EPT', 'ASK')
[REJECTED] 1712600169530528267 ('EPT', 'BID')
[REJECTED] 1712600169530528268 ('EPT', 'ASK')
[REJECTED] 1712600169530528269 ('DLO', 'BID')
[REJECTED] 1712600169530528270 ('DLO', 'ASK')
[REJECTED] 1712600169530528271 ('DLO', 'BID')
[REJECTED] 1712600169530528272 ('DLO', 'ASK')
[REJECTED] 1712600169530528273 ('DLO', 'BID')
[REJECTED] 1712600169530528274 ('DLO', 'ASK')
[REJECTED] 1712600169530528275 ('MKU', 'BID')
[REJECTED] 1712600169530528276 ('MKU', 'ASK')
[REJECTED] 1712600169530528277 ('MKU', 'BID')
[REJECTED] 1712600169530528278 ('MKU', 'ASK')
[REJECTED] 1712600169530528279 ('MKU', 'BID')
[REJECTED] 1712600169530528280 ('MKU', 'ASK')
[REJECTED] 1712600169530528281 ('IGM', 'BID')
[REJECTED] 1712600169530528282 ('IGM', 'ASK')
[REJECTED] 1712600169530528283 ('IGM', 'BID')
[REJECTED] 1712600169530528284 ('IGM', 'ASK')
[REJECTED] 1712600169530528285 ('IGM', 'BID')
[REJECTED] 1712600169530528286 ('IGM', 'ASK')
[REJECTED] 1712600169530528288 ('BRV', 'ASK')
[REJECTED] 1712600169530528289 ('BRV', 'BID')
[REJECTED] 1712600169530528290 ('BRV', 'ASK')
[REJECTED] 1712600169530528291 ('BRV', 'BID')
[REJECTED] 1712600169530528292 ('BRV', 'ASK')
1712600169530528262 ('BRV', 'BID') 9 5324 0
1712600169530528287 ('BRV', 'BID') 10 5304 0
[REJECTED] 1712600169530528293 ('SCP', 'BID')
[REJECTED] 1712600169530528294 ('SCP', 'BID')
[REJECTED] 1712600169530528295 ('SCP', 'BID')
[REJECTED] 1712600169530528296 ('SCP', 'BID')
1712600169530528297 ('JAK', 'BID') 24 4603 12
1712600169530528298 ('JAK', 'BID') 6 4603 13
1712600169530528298 ('JAK', 'BID') 26 4604 12
[REJECTED] 1712600169530528299 ('JAK', 'BID')
[REJECTED] 1712600169530528300 ('JAK', 'BID')
[REJECTED] 1712600169530528301 ('EPT', 'BID')
[REJECTED] 1712600169530528302 ('DLO', 'BID')
[REJECTED] 1712600169530528303 ('MKU', 'BID')
[REJECTED] 1712600169530528304 ('IGM', 'BID')
[REJECTED] 1712600169530528305 ('EPT', 'BID')
[REJECTED] 1712600169530528306 ('EPT', 'ASK')
[REJECTED] 1712600169530528307 ('EPT', 'BID')
[REJECTED] 1712600169530528308 ('EPT', 'ASK')
[REJECTED] 1712600169530528309 ('EPT', 'BID')
[REJECTED] 1712600169530528310 ('EPT', 'ASK')
[REJECTED] 1712600169530528311 ('DLO', 'BID')
[REJECTED] 1712600169530528312 ('DLO', 'ASK')
[REJECTED] 1712600169530528313 ('DLO', 'BID')
[REJECTED] 1712600169530528314 ('DLO', 'ASK')
[REJECTED] 1712600169530528315 ('DLO', 'BID')
[REJECTED] 1712600169530528316 ('DLO', 'ASK')
[REJECTED] 1712600169530528317 ('MKU', 'BID')
[REJECTED] 1712600169530528318 ('MKU', 'ASK')
[REJECTED] 1712600169530528319 ('MKU', 'BID')
[REJECTED] 1712600169530528320 ('MKU', 'ASK')
[REJECTED] 1712600169530528321 ('MKU', 'BID')
[REJECTED] 1712600169530528322 ('MKU', 'ASK')
[REJECTED] 1712600169530528323 ('IGM', 'BID')
[REJECTED] 1712600169530528324 ('IGM', 'ASK')
[REJECTED] 1712600169530528325 ('IGM', 'BID')
[REJECTED] 1712600169530528326 ('IGM', 'ASK')
[REJECTED] 1712600169530528327 ('IGM', 'BID')
[REJECTED] 1712600169530528328 ('IGM', 'ASK')
[REJECTED] 1712600169530528331 ('BRV', 'ASK')
