1712538233285271811 ('DLO', 'ASK') 1 5005
1712538233285271948 ('EPT', 'BID') 1 4811
1712538233285271950 ('DLO', 'BID') 1 4928
1712538233285271952 ('MKU', 'BID') 1 5124
1712538233285271955 ('IGM', 'ASK') 1 5584
1712538233285271957 ('BRV', 'ASK') 1 5419
1712538233285271898 ('EPT', 'BID') 1 4795
1712538233285271908 ('EPT', 'BID') 1 4794
1712538233285271918 ('EPT', 'BID') 1 4782
1712538233285271888 ('EPT', 'BID') 1 4780
1712538233285271867 ('BRV', 'ASK') 1 5430
1712538233285271877 ('BRV', 'ASK') 1 5440
1712538233285271958 ('EPT', 'BID') 1 4792
1712538233285271960 ('DLO', 'BID') 1 4911
1712538233285271962 ('MKU', 'BID') 1 5095
1712538233285271965 ('IGM', 'ASK') 1 5605
1712538233285271967 ('BRV', 'ASK') 1 5438
1712538233285271968 ('EPT', 'BID') 1 4822
1712538233285271959 ('EPT', 'ASK') 1 4822
1712538233285271970 ('DLO', 'BID') 1 4880
1712538233285271972 ('MKU', 'BID') 1 5107
1712538233285271977 ('BRV', 'ASK') 1 5441
1712538233285271975 ('IGM', 'ASK') 1 5638
1712538233285271974 ('IGM', 'BID') 1 5634
1712538233285271978 ('EPT', 'BID') 1 4823
1712538233285271980 ('DLO', 'BID') 1 4887
1712538233285271983 ('MKU', 'ASK') 1 5122
1712538233285271984 ('IGM', 'BID') 1 5561
1712538233285271987 ('BRV', 'ASK') 1 5510
1712538233285271944 ('IGM', 'BID') 1 5551
1712538233285271973 ('MKU', 'ASK') 1 5137
1712538233285271979 ('EPT', 'ASK') 1 4834
1712538233285271964 ('IGM', 'BID') 1 5533
1712538233285271969 ('EPT', 'ASK') 1 4835
1712538233285271989 ('EPT', 'ASK') 1 4839
1712538233285271990 ('DLO', 'BID') 1 4879
1712538233285271993 ('MKU', 'ASK') 1 5119
1712538233285271994 ('IGM', 'BID') 1 5534
1712538233285271997 ('BRV', 'ASK') 1 5519
1712538233285271998 ('JAK', 'BID') 30 4854
1712538233285271999 ('JAK', 'BID') 40 4855
1712538233285271949 ('EPT', 'ASK') 1 4853
1712538233285271939 ('EPT', 'ASK') 1 4855
1712538233285271982 ('MKU', 'BID') 1 5111
1712538233285271992 ('MKU', 'BID') 1 5096
1712538233285271934 ('IGM', 'BID') 1 5520
1712538233285271882 ('MKU', 'BID') 1 5068
1712538233285271892 ('MKU', 'BID') 1 5059
1712538233285272002 ('EPT', 'ASK') 1 4854
1712538233285272003 ('DLO', 'BID') 1 4846
1712538233285272005 ('MKU', 'BID') 1 5068
1712538233285272007 ('IGM', 'BID') 1 5519
1712538233285272010 ('BRV', 'ASK') 1 5559
1712538233285271924 ('IGM', 'BID') 1 5512
1712538233285271954 ('IGM', 'BID') 1 5500
1712538233285271872 ('MKU', 'BID') 1 5029
1712538233285272012 ('EPT', 'ASK') 1 4871
1712538233285272013 ('DLO', 'BID') 1 4846
1712538233285272015 ('MKU', 'BID') 1 5089
1712538233285272017 ('IGM', 'BID') 1 5486
1712538233285272020 ('BRV', 'ASK') 1 5582
1712538233285271862 ('MKU', 'BID') 1 5007
1712538233285272022 ('EPT', 'ASK') 1 4855
1712538233285272023 ('DLO', 'BID') 1 4866
1712538233285272025 ('MKU', 'BID') 1 5013
1712538233285272027 ('IGM', 'BID') 1 5421
1712538233285272030 ('BRV', 'ASK') 1 5688
1712538233285271988 ('EPT', 'BID') 1 4820
1712538233285272031 ('EPT', 'BID') 1 4830
1712538233285272035 ('MKU', 'BID') 1 5020
1712538233285272037 ('IGM', 'BID') 1 5437
1712538233285272040 ('BRV', 'ASK') 1 5678
1712538233285272033 ('DLO', 'BID') 1 4867
1712538233285272011 ('EPT', 'BID') 1 4817
1712538233285271842 ('MKU', 'BID') 1 5000
1712538233285271852 ('MKU', 'BID') 1 4998
1712538233285272041 ('EPT', 'BID') 1 4819
1712538233285272045 ('MKU', 'BID') 1 4997
1712538233285272047 ('IGM', 'BID') 1 5462
1712538233285272050 ('BRV', 'ASK') 1 5733
1712538233285272051 ('JAK', 'BID') 30 4797
1712538233285272043 ('DLO', 'BID') 1 4841
1712538233285272048 ('IGM', 'ASK') 1 5518
1712538233285272038 ('IGM', 'ASK') 1 5532
1712538233285272058 ('EPT', 'BID') 1 4824
1712538233285272061 ('DLO', 'ASK') 1 4839
1712538233285272062 ('MKU', 'BID') 1 5007
1712538233285272065 ('IGM', 'ASK') 1 5527
1712538233285272067 ('BRV', 'ASK') 1 5721
1712538233285272044 ('DLO', 'ASK') 1 4845
1712538233285272021 ('EPT', 'BID') 1 4810
1712538233285272068 ('EPT', 'BID') 1 4809
1712538233285272070 ('DLO', 'BID') 1 4865
1712538233285272072 ('MKU', 'BID') 1 4982
1712538233285272075 ('IGM', 'ASK') 1 5559
1712538233285272077 ('BRV', 'ASK') 1 5766
1712538233285272071 ('DLO', 'ASK') 1 4870
1712538233285272034 ('DLO', 'ASK') 1 4871
1712538233285272078 ('EPT', 'BID') 1 4809
1712538233285272081 ('DLO', 'ASK') 1 4884
1712538233285272082 ('MKU', 'BID') 1 4984
1712538233285272085 ('IGM', 'ASK') 1 5532
1712538233285272087 ('BRV', 'ASK') 1 5817
1712538233285272014 ('DLO', 'ASK') 1 4885
1712538233285272084 ('IGM', 'BID') 1 5480
1712538233285272064 ('IGM', 'BID') 1 5442
1712538233285272024 ('DLO', 'ASK') 1 4887
1712538233285272074 ('IGM', 'BID') 1 5439
1712538233285272088 ('EPT', 'BID') 1 4802
1712538233285272091 ('DLO', 'ASK') 1 4885
1712538233285272092 ('MKU', 'BID') 1 4958
1712538233285272094 ('IGM', 'BID') 1 5437
1712538233285272096 ('BRV', 'BID') 1 5750
1712538233285272097 ('BRV', 'ASK') 1 5757
1712538233285272001 ('EPT', 'BID') 1 4770
1712538233285272098 ('EPT', 'BID') 1 4770
1712538233285272100 ('DLO', 'BID') 1 4882
1712538233285272102 ('MKU', 'BID') 1 4977
1712538233285272104 ('IGM', 'BID') 1 5416
1712538233285272106 ('BRV', 'BID') 1 5767
1712538233285272086 ('BRV', 'BID') 1 5727
1712538233285272090 ('DLO', 'BID') 1 4855
1712538233285272108 ('EPT', 'BID') 1 4749
1712538233285272110 ('DLO', 'BID') 1 4840
1712538233285272112 ('MKU', 'BID') 1 4944
1712538233285272115 ('IGM', 'ASK') 1 5462
1712538233285272116 ('BRV', 'BID') 1 5694
1712538233285271858 ('EPT', 'BID') 1 4746
1712538233285272113 ('MKU', 'ASK') 1 4955
1712538233285272060 ('DLO', 'BID') 1 4833
1712538233285272076 ('BRV', 'BID') 1 5686
1712538233285271878 ('EPT', 'BID') 1 4738
1712538233285271848 ('EPT', 'BID') 1 4733
1712538233285271868 ('EPT', 'BID') 1 4729
1712538233285272103 ('MKU', 'ASK') 1 4985
1712538233285272093 ('MKU', 'ASK') 1 4986
1712538233285272083 ('MKU', 'ASK') 1 4991
1712538233285272073 ('MKU', 'ASK') 1 5009
1712538233285272118 ('EPT', 'BID') 1 4682
1712538233285272120 ('DLO', 'BID') 1 4827
1712538233285272123 ('MKU', 'ASK') 1 4968
1712538233285272125 ('IGM', 'ASK') 1 5522
1712538233285272126 ('BRV', 'BID') 1 5682
1712538233285272066 ('BRV', 'BID') 1 5652
1712538233285272121 ('DLO', 'ASK') 1 4871
1712538233285272128 ('EPT', 'BID') 1 4717
1712538233285272131 ('DLO', 'ASK') 1 4852
1712538233285272133 ('MKU', 'ASK') 1 5001
1712538233285272135 ('IGM', 'ASK') 1 5490
1712538233285272136 ('BRV', 'BID') 1 5624
1712538233285272129 ('EPT', 'ASK') 1 4729
1712538233285272119 ('EPT', 'ASK') 1 4764
1712538233285272063 ('MKU', 'ASK') 1 5025
1712538233285272139 ('EPT', 'ASK') 1 4774
1712538233285272141 ('DLO', 'ASK') 1 4881
1712538233285272143 ('MKU', 'ASK') 1 5025
1712538233285272144 ('IGM', 'BID') 1 5503
1712538233285272146 ('BRV', 'BID') 1 5575
1712538233285272134 ('IGM', 'BID') 1 5461
1712538233285272114 ('IGM', 'BID') 1 5428
1712538233285272124 ('IGM', 'BID') 1 5426
1712538233285272109 ('EPT', 'ASK') 1 4797
1712538233285272089 ('EPT', 'ASK') 1 4808
1712538233285272099 ('EPT', 'ASK') 1 4808
1712538233285272079 ('EPT', 'ASK') 1 4828
1712538233285272149 ('EPT', 'ASK') 1 4826
1712538233285272151 ('DLO', 'ASK') 1 4862
1712538233285272154 ('IGM', 'BID') 1 5391
1712538233285272157 ('BRV', 'ASK') 1 5657
1712538233285272153 ('MKU', 'ASK') 1 5006
1712538233285272150 ('DLO', 'BID') 1 4858
1712538233285272130 ('DLO', 'BID') 1 4826
1712538233285272140 ('DLO', 'BID') 1 4823
1712538233285272137 ('BRV', 'ASK') 1 5676
1712538233285272147 ('BRV', 'ASK') 1 5681
1712538233285272080 ('DLO', 'BID') 1 4822
1712538233285272159 ('EPT', 'ASK') 1 4818
1712538233285272160 ('DLO', 'BID') 1 4819
1712538233285272164 ('IGM', 'BID') 1 5388
1712538233285272167 ('BRV', 'ASK') 1 5708
1712538233285272162 ('MKU', 'BID') 1 5027
1712538233285272170 ('DLO', 'BID') 1 4811
1712538233285272173 ('MKU', 'ASK') 1 5020
1712538233285272174 ('IGM', 'BID') 1 5407
1712538233285272177 ('BRV', 'ASK') 1 5674
1712538233285272163 ('MKU', 'ASK') 1 5031
1712538233285272168 ('EPT', 'BID') 1 4816
1712538233285272178 ('EPT', 'BID') 1 4797
1712538233285272180 ('DLO', 'BID') 1 4813
1712538233285272183 ('MKU', 'ASK') 1 5035
1712538233285272185 ('IGM', 'ASK') 1 5399
1712538233285272187 ('BRV', 'ASK') 1 5726
1712538233285272186 ('BRV', 'BID') 1 5691
1712538233285272184 ('IGM', 'BID') 1 5383
1712538233285272192 ('EPT', 'BID') 1 4792
1712538233285272195 ('DLO', 'ASK') 1 4811
1712538233285272198 ('IGM', 'BID') 1 5319
1712538233285272200 ('BRV', 'BID') 1 5663
1712538233285272197 ('MKU', 'ASK') 1 5020
1712538233285272176 ('BRV', 'BID') 1 5655
1712538233285272201 ('BRV', 'ASK') 1 5699
1712538233285272196 ('MKU', 'BID') 1 5016
1712538233285272182 ('MKU', 'BID') 1 5013
1712538233285272203 ('EPT', 'ASK') 1 4801
1712538233285272204 ('DLO', 'BID') 1 4806
1712538233285272206 ('MKU', 'BID') 1 5012
1712538233285272208 ('IGM', 'BID') 1 5229
1712538233285272211 ('BRV', 'ASK') 1 5718
1712538233285272194 ('DLO', 'BID') 1 4804
1712538233285272202 ('EPT', 'BID') 1 4787
1712538233285272117 ('BRV', 'ASK') 1 5747
1712538233285272214 ('DLO', 'BID') 1 4748
1712538233285272216 ('MKU', 'BID') 1 5020
1712538233285272218 ('IGM', 'BID') 1 5160
1712538233285272221 ('BRV', 'ASK') 1 5749
1712538233285272213 ('EPT', 'ASK') 1 4800
1712538233285272217 ('MKU', 'ASK') 1 5027
1712538233285272127 ('BRV', 'ASK') 1 5754
1712538233285272179 ('EPT', 'ASK') 1 4819
1712538233285272193 ('EPT', 'ASK') 1 4819
1712538233285272223 ('EPT', 'ASK') 1 4819
1712538233285272224 ('DLO', 'BID') 1 4738
1712538233285272227 ('MKU', 'ASK') 1 5026
1712538233285272228 ('IGM', 'BID') 1 5138
1712538233285272231 ('BRV', 'ASK') 1 5784
1712538233285272169 ('EPT', 'ASK') 1 4820
1712538233285272107 ('BRV', 'ASK') 1 5818
1712538233285272225 ('DLO', 'ASK') 1 4747
1712538233285272232 ('EPT', 'BID') 1 4816
1712538233285272235 ('DLO', 'ASK') 1 4755
1712538233285272236 ('MKU', 'BID') 1 5023
1712538233285272239 ('IGM', 'ASK') 1 5141
1712538233285272241 ('BRV', 'ASK') 1 5838
1712538233285272229 ('IGM', 'ASK') 1 5159
1712538233285272243 ('EPT', 'ASK') 1 4812
1712538233285272244 ('DLO', 'BID') 1 4745
1712538233285272247 ('MKU', 'ASK') 1 5018
1712538233285272249 ('IGM', 'ASK') 1 5167
1712538233285272251 ('BRV', 'ASK') 1 5941
1712538233285272245 ('DLO', 'ASK') 1 4749
1712538233285272237 ('MKU', 'ASK') 1 5030
1712538233285272207 ('MKU', 'ASK') 1 5034
1712538233285272255 ('DLO', 'ASK') 1 4761
1712538233285272257 ('MKU', 'ASK') 1 5034
1712538233285272261 ('BRV', 'ASK') 1 6024
1712538233285272252 ('EPT', 'BID') 1 4821
1712538233285272263 ('SCP', 'BID') 30 5329
1712538233285272263 ('SCP', 'BID') 10 5329
1712538233285272262 ('SCP', 'BID') 30 5328
1712538233285272205 ('DLO', 'ASK') 1 4814
1712538233285272215 ('DLO', 'ASK') 1 4814
1712538233285272258 ('IGM', 'BID') 1 5150
1712538233285272248 ('IGM', 'BID') 1 5149
1712538233285272271 ('DLO', 'ASK') 1 4819
1712538233285272273 ('MKU', 'ASK') 1 5061
1712538233285272274 ('IGM', 'BID') 1 5148
1712538233285272276 ('BRV', 'BID') 1 6020
1712538233285272268 ('EPT', 'BID') 1 4811
1712538233285272046 ('MKU', 'ASK') 1 5067
1712538233285272181 ('DLO', 'ASK') 1 4828
1712538233285272275 ('IGM', 'ASK') 1 5180
1712538233285272238 ('IGM', 'BID') 1 5131
1712538233285272269 ('EPT', 'ASK') 1 4815
1712538233285272291 ('MKU', 'ASK') 1 5088
1712538233285272295 ('BRV', 'ASK') 1 5992
1712538233285272292 ('IGM', 'BID') 1 5170
1712538233285272288 ('DLO', 'BID') 1 4831
1712538233285272287 ('EPT', 'ASK') 1 4811
1712538233285272253 ('EPT', 'ASK') 1 4824
1712538233285272233 ('EPT', 'ASK') 1 4825
1712538233285272032 ('EPT', 'ASK') 1 4835
1712538233285272069 ('EPT', 'ASK') 1 4847
1712538233285272016 ('MKU', 'ASK') 1 5098
1712538233285272303 ('EPT', 'ASK') 1 4833
1712538233285272304 ('DLO', 'BID') 1 4815
1712538233285272306 ('MKU', 'BID') 1 5098
1712538233285272308 ('IGM', 'BID') 1 5073
1712538233285272310 ('BRV', 'BID') 1 6004
1712538233285272309 ('IGM', 'ASK') 1 5105
1712538233285272294 ('BRV', 'BID') 1 5988
1712538233285272260 ('BRV', 'BID') 1 5978
1712538233285272307 ('MKU', 'ASK') 1 5103
1712538233285272059 ('EPT', 'ASK') 1 4854
1712538233285272042 ('EPT', 'ASK') 1 4859
1712538233285272026 ('MKU', 'ASK') 1 5111
1712538233285272006 ('MKU', 'ASK') 1 5112
1712538233285272323 ('MKU', 'ASK') 1 5113
1712538233285272325 ('IGM', 'ASK') 1 5106
1712538233285272326 ('BRV', 'BID') 1 5970
1712538233285272318 ('EPT', 'BID') 1 4852
1712538233285272322 ('MKU', 'BID') 1 5101
1712538233285272324 ('IGM', 'BID') 1 5092
1712538233285272327 ('BRV', 'ASK') 1 5977
1712538233285272321 ('DLO', 'ASK') 1 4804
1712538233285272311 ('BRV', 'ASK') 1 6031
1712538233285272290 ('MKU', 'BID') 1 5080
1712538233285272277 ('BRV', 'ASK') 1 6044
1712538233285272305 ('DLO', 'ASK') 1 4825
1712538233285272289 ('DLO', 'ASK') 1 4835
1712538233285272286 ('EPT', 'BID') 1 4809
1712538233285272242 ('EPT', 'BID') 1 4808
1712538233285272302 ('EPT', 'BID') 1 4807
1712538233285272339 ('DLO', 'ASK') 1 4853
1712538233285272342 ('IGM', 'BID') 1 5033
1712538233285272345 ('BRV', 'ASK') 1 6035
1712538233285272336 ('EPT', 'BID') 1 4831
1712538233285272344 ('BRV', 'BID') 1 5966
1712538233285272171 ('DLO', 'ASK') 1 4872
1712538233285272161 ('DLO', 'ASK') 1 4883
1712538233285272111 ('DLO', 'ASK') 1 4887
1712538233285272341 ('MKU', 'ASK') 1 5123
1712538233285272340 ('MKU', 'BID') 1 5120
1712538233285272101 ('DLO', 'ASK') 1 4889
1712538233285272004 ('DLO', 'ASK') 1 4908
1712538233285272337 ('EPT', 'ASK') 1 4835
1712538233285272353 ('EPT', 'ASK') 1 4845
1712538233285272355 ('DLO', 'ASK') 1 4910
1712538233285272356 ('MKU', 'BID') 1 5083
1712538233285272358 ('IGM', 'BID') 1 5035
1712538233285272360 ('BRV', 'BID') 1 5998
1712538233285272319 ('EPT', 'ASK') 1 4854
1712538233285272361 ('BRV', 'ASK') 1 6006
1712538233285272272 ('MKU', 'BID') 1 5049
1712538233285272256 ('MKU', 'BID') 1 5029
1712538233285272246 ('MKU', 'BID') 1 5015
1712538233285272226 ('MKU', 'BID') 1 5015
1712538233285272172 ('MKU', 'BID') 1 5003
1712538233285272152 ('MKU', 'BID') 1 5002
1712538233285272352 ('EPT', 'BID') 1 4830
1712538233285272369 ('EPT', 'BID') 1 4824
1712538233285272372 ('DLO', 'ASK') 1 4902
1712538233285272373 ('MKU', 'BID') 1 4983
1712538233285272375 ('IGM', 'BID') 1 4928
1712538233285272378 ('BRV', 'ASK') 1 6111
1712538233285272142 ('MKU', 'BID') 1 4969
1712538233285272122 ('MKU', 'BID') 1 4966
1712538233285272222 ('EPT', 'BID') 1 4796
1712538233285272212 ('EPT', 'BID') 1 4796
1712538233285272132 ('MKU', 'BID') 1 4940
1712538233285272377 ('BRV', 'BID') 1 6049
1712538233285272386 ('EPT', 'ASK') 1 4829
1712538233285272388 ('DLO', 'ASK') 1 4909
1712538233285272389 ('MKU', 'BID') 1 4931
1712538233285272391 ('IGM', 'BID') 1 4919
1712538233285272393 ('BRV', 'BID') 1 6031
1712538233285272370 ('EPT', 'ASK') 1 4838
1712538233285272385 ('EPT', 'BID') 1 4820
1712538233285272404 ('DLO', 'ASK') 1 4926
1712538233285272405 ('MKU', 'BID') 1 4923
1712538233285272407 ('IGM', 'BID') 1 4939
1712538233285272409 ('BRV', 'BID') 1 5893
1712538233285272250 ('BRV', 'BID') 1 5891
1712538233285272401 ('EPT', 'BID') 1 4803
1712538233285272417 ('EPT', 'BID') 1 4785
1712538233285272420 ('DLO', 'ASK') 1 4942
1712538233285272421 ('MKU', 'BID') 1 4888
1712538233285272423 ('IGM', 'BID') 1 4953
1712538233285272426 ('BRV', 'ASK') 1 5960
1712538233285272410 ('BRV', 'ASK') 1 5991
1712538233285272434 ('EPT', 'BID') 1 4798
1712538233285272437 ('DLO', 'ASK') 1 4931
1712538233285272438 ('MKU', 'BID') 1 4873
1712538233285272440 ('IGM', 'BID') 1 4961
1712538233285272443 ('BRV', 'ASK') 1 6050
1712538233285272402 ('EPT', 'ASK') 1 4807
1712538233285272418 ('EPT', 'ASK') 1 4817
1712538233285272451 ('EPT', 'BID') 1 4811
1712538233285272454 ('DLO', 'ASK') 1 4931
1712538233285272455 ('MKU', 'BID') 1 4917
1712538233285272457 ('IGM', 'BID') 1 4949
1712538233285272460 ('BRV', 'ASK') 1 6020
1712538233285272394 ('BRV', 'ASK') 1 6051
1712538233285272458 ('IGM', 'ASK') 1 4964
1712538233285272468 ('EPT', 'BID') 1 4818
1712538233285272471 ('DLO', 'ASK') 1 4938
1712538233285272472 ('MKU', 'BID') 1 4954
1712538233285272475 ('IGM', 'ASK') 1 4994
1712538233285272476 ('BRV', 'BID') 1 6058
1712538233285272485 ('EPT', 'ASK') 1 4819
1712538233285272487 ('DLO', 'ASK') 1 4916
1712538233285272488 ('MKU', 'BID') 1 4962
1712538233285272491 ('IGM', 'ASK') 1 4985
1712538233285272492 ('BRV', 'BID') 1 6053
1712538233285272436 ('DLO', 'BID') 1 4913
1712538233285272470 ('DLO', 'BID') 1 4909
1712538233285272453 ('DLO', 'BID') 1 4907
1712538233285272459 ('BRV', 'BID') 1 6011
1712538233285272442 ('BRV', 'BID') 1 5996
1712538233285272469 ('EPT', 'ASK') 1 4841
1712538233285272435 ('EPT', 'ASK') 1 4851
1712538233285272486 ('DLO', 'BID') 1 4901
1712538233285272495 ('EPT', 'ASK') 1 4862
1712538233285272496 ('DLO', 'BID') 1 4892
1712538233285272452 ('EPT', 'ASK') 1 4866
1712538233285272498 ('MKU', 'BID') 1 4923
1712538233285272501 ('IGM', 'ASK') 1 5021
1712538233285272502 ('BRV', 'BID') 1 5992
1712538233285272419 ('DLO', 'BID') 1 4887
1712538233285272509 ('EPT', 'ASK') 1 4905
1712538233285272510 ('DLO', 'BID') 1 4897
1712538233285272515 ('IGM', 'ASK') 1 5028
1712538233285272517 ('BRV', 'ASK') 1 5943
1712538233285272513 ('MKU', 'ASK') 1 4916
1712538233285272408 ('IGM', 'ASK') 1 5034
1712538233285272441 ('IGM', 'ASK') 1 5034
1712538233285272424 ('IGM', 'ASK') 1 5036
1712538233285272512 ('MKU', 'BID') 1 4912
1712538233285272392 ('IGM', 'ASK') 1 5045
1712538233285272519 ('EPT', 'ASK') 1 4892
1712538233285272520 ('DLO', 'BID') 1 4889
1712538233285272523 ('MKU', 'ASK') 1 4883
1712538233285272525 ('IGM', 'ASK') 1 5055
1712538233285272526 ('BRV', 'BID') 1 6009
1712538233285272503 ('BRV', 'ASK') 1 6014
1712538233285272376 ('IGM', 'ASK') 1 5065
1712538233285272403 ('DLO', 'BID') 1 4866
1712538233285272522 ('MKU', 'BID') 1 4859
1712538233285272527 ('BRV', 'ASK') 1 6045
1712538233285272359 ('IGM', 'ASK') 1 5078
1712538233285272494 ('EPT', 'BID') 1 4838
1712538233285272477 ('BRV', 'ASK') 1 6062
1712538233285272343 ('IGM', 'ASK') 1 5090
1712538233285272531 ('EPT', 'ASK') 1 4819
1712538233285272532 ('DLO', 'BID') 1 4869
1712538233285272534 ('MKU', 'BID') 1 4819
1712538233285272537 ('IGM', 'ASK') 1 5100
1712538233285272539 ('BRV', 'ASK') 1 6065
1712538233285272545 ('EPT', 'BID') 1 4807
1712538233285272547 ('DLO', 'BID') 1 4885
1712538233285272549 ('MKU', 'BID') 1 4775
1712538233285272552 ('IGM', 'ASK') 1 5117
1712538233285272554 ('BRV', 'ASK') 1 6078
1712538233285272546 ('EPT', 'ASK') 1 4824
1712538233285272556 ('EPT', 'ASK') 1 4844
1712538233285272557 ('DLO', 'BID') 1 4894
1712538233285272559 ('MKU', 'BID') 1 4737
1712538233285272562 ('IGM', 'ASK') 1 5064
1712538233285272564 ('BRV', 'ASK') 1 6084
1712538233285272567 ('DLO', 'BID') 1 4864
1712538233285272569 ('MKU', 'BID') 1 4730
1712538233285272572 ('IGM', 'ASK') 1 5133
1712538233285272574 ('BRV', 'ASK') 1 6079
1712538233285272565 ('EPT', 'BID') 1 4849
1712538233285272566 ('EPT', 'ASK') 1 4851
1712538233285272293 ('IGM', 'ASK') 1 5174
1712538233285272563 ('BRV', 'BID') 1 6060
1712538233285272553 ('BRV', 'BID') 1 6057
1712538233285272538 ('BRV', 'BID') 1 6043
