1712718597860443907 ('IGM', <Side.BUY: 1>) 1 5797 6
[CANCELLED] 1712718597860443944 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860443946 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860443947 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860443948 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860443949 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860443940 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443950 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443951 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860443952 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443953 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860443954 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443955 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860443941 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443956 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443957 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718597860443958 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443959 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718597860443960 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443961 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718597860443963 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860443965 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860443966 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860443967 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860443968 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860443970 ('BRV', <Side.BUY: 1>)
1712718597860443975 ('BRV', <Side.BUY: 1>) 1 5688 5
1712718597860443995 ('IGM', <Side.SELL: 2>) 2 5787 0
1712718597860443971 ('EPT', <Side.BUY: 1>) 1 4817 0
1712718597860443997 ('IGM', <Side.SELL: 2>) 2 5807 0
1712718597860443976 ('EPT', <Side.BUY: 1>) 2 4797 0
1712718597860443972 ('DLO', <Side.BUY: 1>) 1 5161 0
1712718597860443999 ('IGM', <Side.SELL: 2>) 2 5827 0
1712718597860443973 ('MKU', <Side.BUY: 1>) 1 5410 0
[CANCELLED] 1712718597860443977 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860443978 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860443979 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860443980 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860443981 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860443982 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443983 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860443984 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443985 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860443986 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860443987 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860443988 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443989 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718597860443990 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443991 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718597860443992 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860443993 ('MKU', <Side.SELL: 2>)
1712718597860444008 ('MKU', <Side.BUY: 1>) 1 5408 3
[CANCELLED] 1712718597860443974 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860443994 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860443996 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860443998 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444000 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444001 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712718597860444002 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444003 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712718597860444004 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444005 ('BRV', <Side.SELL: 2>)
1712718597860444010 ('BRV', <Side.BUY: 1>) 1 5684 9
1712718597860444009 ('IGM', <Side.BUY: 1>) 1 5820 0
1712718597860444036 ('BRV', <Side.SELL: 2>) 2 5717 0
[CANCELLED] 1712718597860444006 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444011 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444012 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860444013 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444014 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860444015 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444016 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860444007 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444017 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444018 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860444019 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444020 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860444021 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444022 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860444023 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444024 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718597860444025 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444026 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718597860444027 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444028 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712718597860444029 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444030 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860444031 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444032 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860444033 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444034 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860444035 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444037 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444038 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712718597860444039 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444040 ('BRV', <Side.SELL: 2>)
1712718597860444071 ('BRV', <Side.SELL: 2>) 2 5730 0
1712718597860444065 ('IGM', <Side.SELL: 2>) 2 5834 0
1712718597860444041 ('EPT', <Side.BUY: 1>) 1 4809 0
1712718597860444067 ('IGM', <Side.SELL: 2>) 2 5854 0
1712718597860444053 ('DLO', <Side.SELL: 2>) 2 5198 0
1712718597860444059 ('MKU', <Side.SELL: 2>) 2 5452 0
1712718597860444061 ('MKU', <Side.SELL: 2>) 2 5472 0
1712718597860444055 ('DLO', <Side.SELL: 2>) 2 5218 0
1712718597860444063 ('MKU', <Side.SELL: 2>) 2 5492 0
[CANCELLED] 1712718597860444045 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444070 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444072 ('BRV', <Side.BUY: 1>)
1712718597860444073 ('BRV', <Side.BUY: 1>) 40 5828 20
1712718597860444073 ('BRV', <Side.BUY: 1>) 16 5829 19
1712718597860444074 ('BRV', <Side.BUY: 1>) 36 5829 18
1712718597860444074 ('BRV', <Side.BUY: 1>) 20 5830 17
[CANCELLED] 1712718597860444046 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444047 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860444048 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444049 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860444050 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444051 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860444042 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444052 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444054 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444056 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444057 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860444043 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444058 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444060 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444062 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444044 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444064 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444066 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444068 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444069 ('IGM', <Side.SELL: 2>)
1712718597860444078 ('IGM', <Side.BUY: 1>) 1 5898 0
1712718597860444105 ('BRV', <Side.SELL: 2>) 2 5894 0
1712718597860444093 ('MKU', <Side.SELL: 2>) 2 5549 0
1712718597860444107 ('BRV', <Side.SELL: 2>) 2 5914 0
1712718597860444109 ('BRV', <Side.SELL: 2>) 2 5934 0
1712718597860444095 ('MKU', <Side.SELL: 2>) 2 5569 0
1712718597860444097 ('MKU', <Side.SELL: 2>) 2 5589 0
1712718597860444087 ('DLO', <Side.SELL: 2>) 2 5280 0
[CANCELLED] 1712718597860444075 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444080 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444081 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860444082 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444083 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860444084 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712718597860444085 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712718597860444076 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444086 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444088 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444089 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860444090 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712718597860444091 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712718597860444077 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444092 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444094 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444096 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712718597860444098 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444099 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860444100 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444101 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860444102 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712718597860444103 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712718597860444079 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444104 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444106 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712718597860444108 ('BRV', <Side.BUY: 1>)
1712718597860444140 ('BRV', <Side.SELL: 2>) 2 5979 -2
1712718597860444128 ('MKU', <Side.SELL: 2>) 2 5608 0
