1712713890367047168 ('EPT', <Side.BUY: 1>) 1 4882 0
1712713890367047304 ('BRV', <Side.BUY: 1>) 2 5028 0
1712713890367047276 ('IGM', <Side.BUY: 1>) 1 5363 0
1712713890367047306 ('BRV', <Side.BUY: 1>) 2 5008 0
1712713890367047292 ('MKU', <Side.BUY: 1>) 2 4969 0
1712713890367047284 ('DLO', <Side.BUY: 1>) 2 4934 0
[CANCELLED] 1712713890367047273 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047278 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047279 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047280 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047281 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047282 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047283 ('EPT', <Side.SELL: 2>)
1712713890367047296 ('IGM', <Side.BUY: 1>) 2 5343 0
[CANCELLED] 1712713890367047285 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047286 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047287 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047288 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047289 ('DLO', <Side.SELL: 2>)
1712713890367047309 ('DLO', <Side.BUY: 1>) 1 4928 7
[CANCELLED] 1712713890367047291 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047293 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047294 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047295 ('MKU', <Side.SELL: 2>)
1712713890367047310 ('MKU', <Side.BUY: 1>) 1 4969 6
[CANCELLED] 1712713890367047298 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047299 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047300 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047301 ('IGM', <Side.SELL: 2>)
1712713890367047311 ('IGM', <Side.BUY: 1>) 1 5340 17
[CANCELLED] 1712713890367047303 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713890367047305 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713890367047307 ('BRV', <Side.SELL: 2>)
1712713890367047312 ('BRV', <Side.BUY: 1>) 1 4983 27
1712713890367047331 ('IGM', <Side.BUY: 1>) 2 5337 0
1712713890367047337 ('BRV', <Side.BUY: 1>) 2 4983 7
1712713890367047339 ('BRV', <Side.BUY: 1>) 2 4970 0
1712713890367047319 ('DLO', <Side.BUY: 1>) 2 4915 0
1712713890367047325 ('MKU', <Side.BUY: 1>) 2 4955 0
1712713890367047333 ('IGM', <Side.BUY: 1>) 2 5317 0
1712713890367047341 ('BRV', <Side.BUY: 1>) 2 4950 0
[CANCELLED] 1712713890367047308 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047313 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047314 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047315 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047316 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047317 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047318 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047320 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047321 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047322 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047323 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047324 ('DLO', <Side.SELL: 2>)
1712713890367047344 ('DLO', <Side.BUY: 1>) 1 4905 11
[CANCELLED] 1712713890367047326 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047327 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047328 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047329 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047330 ('MKU', <Side.SELL: 2>)
1712713890367047345 ('MKU', <Side.BUY: 1>) 1 4938 18
[CANCELLED] 1712713890367047332 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047334 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047335 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047336 ('IGM', <Side.SELL: 2>)
1712713890367047346 ('IGM', <Side.BUY: 1>) 1 5307 11
[CANCELLED] 1712713890367047338 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713890367047340 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713890367047342 ('BRV', <Side.SELL: 2>)
1712713890367047347 ('BRV', <Side.BUY: 1>) 1 4936 23
1712713890367047372 ('BRV', <Side.BUY: 1>) 2 4936 3
1712713890367047343 ('EPT', <Side.BUY: 1>) 1 4908 0
1712713890367047360 ('MKU', <Side.BUY: 1>) 2 4936 0
[CANCELLED] 1712713890367047348 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047349 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047350 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047351 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047352 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047353 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047354 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047355 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047356 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047357 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047358 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047359 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047361 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047362 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047363 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047364 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047365 ('MKU', <Side.SELL: 2>)
1712713890367047380 ('MKU', <Side.BUY: 1>) 1 4933 6
[CANCELLED] 1712713890367047366 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047367 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047368 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047369 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047370 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047371 ('IGM', <Side.SELL: 2>)
1712713890367047381 ('IGM', <Side.BUY: 1>) 1 5307 5
[CANCELLED] 1712713890367047373 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713890367047374 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047375 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713890367047376 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047377 ('BRV', <Side.SELL: 2>)
1712713890367047382 ('BRV', <Side.BUY: 1>) 1 4949 6
1712713890367047378 ('EPT', <Side.BUY: 1>) 1 4891 0
1712713890367047379 ('DLO', <Side.BUY: 1>) 1 4898 0
1712713890367047395 ('MKU', <Side.BUY: 1>) 2 4919 0
1712713890367047407 ('BRV', <Side.BUY: 1>) 2 4935 0
1712713890367047397 ('MKU', <Side.BUY: 1>) 2 4899 0
1712713890367047409 ('BRV', <Side.BUY: 1>) 2 4915 0
1712713890367047411 ('BRV', <Side.BUY: 1>) 1 4895 0
[CANCELLED] 1712713890367047383 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047384 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047385 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047386 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047387 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047388 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047389 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047390 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047391 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047392 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047393 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047394 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047396 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047398 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047399 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047400 ('MKU', <Side.SELL: 2>)
1712713890367047414 ('MKU', <Side.BUY: 1>) 1 4886 5
[CANCELLED] 1712713890367047401 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047402 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047403 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047404 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047405 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047406 ('IGM', <Side.SELL: 2>)
1712713890367047415 ('IGM', <Side.BUY: 1>) 1 5297 17
[CANCELLED] 1712713890367047408 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713890367047410 ('BRV', <Side.SELL: 2>)
1712713890367047416 ('BRV', <Side.BUY: 1>) 1 4891 9
1712713890367047430 ('MKU', <Side.SELL: 2>) 2 4915 0
1712713890367047432 ('MKU', <Side.SELL: 2>) 2 4935 0
1712713890367047434 ('MKU', <Side.SELL: 2>) 2 4955 0
[CANCELLED] 1712713890367047412 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047417 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047418 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047419 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047420 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047421 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047422 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047413 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047423 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047424 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047425 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047426 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047427 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047428 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047429 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047431 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047433 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047435 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047436 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047437 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047438 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047439 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047440 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047441 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047442 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713890367047443 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047444 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713890367047445 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047446 ('BRV', <Side.SELL: 2>)
1712713890367047447 ('EPT', <Side.BUY: 1>) 1 4901 0
1712713890367047477 ('BRV', <Side.SELL: 2>) 2 4993 0
1712713890367047465 ('MKU', <Side.SELL: 2>) 2 4991 0
1712713890367047450 ('IGM', <Side.BUY: 1>) 1 5322 0
1712713890367047479 ('BRV', <Side.SELL: 2>) 2 5013 0
[CANCELLED] 1712713890367047452 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047453 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047454 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047455 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047456 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047457 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047448 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047458 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047459 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047460 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047461 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047462 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047463 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047449 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047464 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047466 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047467 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047468 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047469 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047470 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047471 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047472 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047473 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047474 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047475 ('IGM', <Side.SELL: 2>)
1712713890367047485 ('IGM', <Side.BUY: 1>) 1 5322 5
[CANCELLED] 1712713890367047451 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047476 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047478 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047480 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047481 ('BRV', <Side.SELL: 2>)
1712713890367047512 ('BRV', <Side.SELL: 2>) 2 5021 -9
1712713890367047500 ('MKU', <Side.SELL: 2>) 2 4995 0
1712713890367047505 ('IGM', <Side.BUY: 1>) 2 5307 0
1712713890367047502 ('MKU', <Side.SELL: 2>) 2 5015 0
1712713890367047494 ('DLO', <Side.SELL: 2>) 2 4935 0
[CANCELLED] 1712713890367047482 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047487 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047488 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047489 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047490 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047491 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047492 ('EPT', <Side.SELL: 2>)
1712713890367047513 ('EPT', <Side.BUY: 1>) 1 4918 0
[CANCELLED] 1712713890367047483 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047493 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047495 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047496 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047497 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047498 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047484 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047499 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047501 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047503 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047504 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047506 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047507 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047508 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047509 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047510 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047486 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047511 ('BRV', <Side.BUY: 1>)
1712713890367047543 ('BRV', <Side.SELL: 2>) 2 5061 0
1712713890367047537 ('IGM', <Side.SELL: 2>) 2 5324 0
1712713890367047516 ('IGM', <Side.BUY: 1>) 1 5291 0
[CANCELLED] 1712713890367047518 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047519 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047520 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047521 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047522 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712713890367047523 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712713890367047514 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047524 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047525 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047526 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047527 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047528 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712713890367047529 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712713890367047515 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047530 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047531 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047532 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047533 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047534 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712713890367047535 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712713890367047536 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047538 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047539 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047540 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712713890367047541 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712713890367047517 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047542 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047544 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047545 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712713890367047546 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712713890367047547 ('BRV', <Side.SELL: 2>)
1712713890367047552 ('BRV', <Side.BUY: 1>) 1 5031 24
1712713890367047550 ('MKU', <Side.BUY: 1>) 1 5008 0
1712713890367047554 ('EPT', <Side.SELL: 2>) 2 4932 0
1712713890367047549 ('DLO', <Side.BUY: 1>) 1 4926 0
1712713890367047577 ('BRV', <Side.BUY: 1>) 2 5031 4
1712713890367047551 ('IGM', <Side.BUY: 1>) 1 5303 0
1712713890367047571 ('IGM', <Side.BUY: 1>) 2 5283 0
1712713890367047573 ('IGM', <Side.BUY: 1>) 2 5263 0
1712713890367047579 ('BRV', <Side.BUY: 1>) 2 5015 0
1712713890367047575 ('IGM', <Side.BUY: 1>) 2 5243 0
1712713890367047565 ('MKU', <Side.BUY: 1>) 2 4988 0
1712713890367047556 ('EPT', <Side.SELL: 2>) 2 4952 0
1712713890367047559 ('DLO', <Side.BUY: 1>) 2 4906 0
